GEN UID,Bus ID,Gen ID,Unit Group,Unit Type,Category,Fuel,PMax MW
308_RTPV_1,308,1,RTPV,RTPV,Solar RTPV,Solar,100.9
310_PV_1,310,1,PV,PV,Solar PV,Solar,51.7
310_PV_2,310,2,PV,PV,Solar PV,Solar,51.6
312_PV_1,312,1,PV,PV,Solar PV,Solar,94.1
313_PV_1,313,1,PV,PV,Solar PV,Solar,95.1
313_PV_2,313,2,PV,PV,Solar PV,Solar,93.3
313_RTPV_1,313,1,RTPV,RTPV,Solar RTPV,Solar,101.7
313_RTPV_10,313,10,RTPV,RTPV,Solar RTPV,Solar,66.9
313_RTPV_11,313,11,RTPV,RTPV,Solar RTPV,Solar,65.2
313_RTPV_12,313,12,RTPV,RTPV,Solar RTPV,Solar,27.8
313_RTPV_13,313,13,RTPV,RTPV,Solar RTPV,Solar,27.2
313_RTPV_2,313,2,RTPV,RTPV,Solar RTPV,Solar,63.1
313_RTPV_3,313,3,RTPV,RTPV,Solar RTPV,Solar,65.4
313_RTPV_4,313,4,RTPV,RTPV,Solar RTPV,Solar,67
313_RTPV_5,313,5,RTPV,RTPV,Solar RTPV,Solar,64.8
313_RTPV_6,313,6,RTPV,RTPV,Solar RTPV,Solar,63.8
313_RTPV_7,313,7,RTPV,RTPV,Solar RTPV,Solar,64.1
313_RTPV_8,313,8,RTPV,RTPV,Solar RTPV,Solar,66.6
313_RTPV_9,313,9,RTPV,RTPV,Solar RTPV,Solar,62.4
314_PV_1,314,1,PV,PV,Solar PV,Solar,51.6
314_PV_2,314,2,PV,PV,Solar PV,Solar,51.6
314_PV_3,314,3,PV,PV,Solar PV,Solar,92.7
314_PV_4,314,4,PV,PV,Solar PV,Solar,51.6
319_PV_1,319,1,PV,PV,Solar PV,Solar,188.2
320_PV_1,320,1,PV,PV,Solar PV,Solar,51.6
320_RTPV_1,320,1,RTPV,RTPV,Solar RTPV,Solar,27.3
320_RTPV_2,320,2,RTPV,RTPV,Solar RTPV,Solar,27
320_RTPV_3,320,3,RTPV,RTPV,Solar RTPV,Solar,28.3
320_RTPV_4,320,4,RTPV,RTPV,Solar RTPV,Solar,27
320_RTPV_5,320,5,RTPV,RTPV,Solar RTPV,Solar,28.2
320_RTPV_6,320,6,RTPV,RTPV,Solar RTPV,Solar,9.4
324_PV_1,324,1,PV,PV,Solar PV,Solar,49.7
324_PV_2,324,2,PV,PV,Solar PV,Solar,51.6
324_PV_3,324,3,PV,PV,Solar PV,Solar,51
303_WIND_1,303,1,WIND,WIND,Wind,Wind,847
309_WIND_1,309,1,WIND,WIND,Wind,Wind,148.3
317_WIND_1,317,1,WIND,WIND,Wind,Wind,799.1
