"","x"
"1",15
"2",46
"3",100
"4",155
"5",312
"6",342
"7",344
"8",346
"9",349
"10",373
"11",392
"12",434
"13",449
"14",456
"15",489
"16",490
"17",514
"18",677
"19",728
"20",806
"21",807
"22",829
"23",835
"24",851
"25",947
"26",962
"27",1001
"28",1050
"29",1052
"30",1087
"31",1094
"32",1103
"33",1104
"34",1105
"35",1108
"36",1138
"37",1146
"38",1178
"39",1192
"40",1194
"41",1241
"42",1247
"43",1393
"44",1401
"45",1402
"46",1405
"47",1417
"48",1422
"49",1429
"50",1431
"51",1437
"52",1445
"53",1461
"54",1482
"55",1484
"56",1530
"57",1554
"58",1641
"59",1672
"60",1753
"61",1754
"62",1797
"63",1813
"64",1846
"65",1853
"66",1865
"67",1896
"68",1901
"69",1958
"70",2100
"71",2106
"72",2134
"73",2135
"74",2139
"75",2154
"76",2158
"77",2176
"78",2183
"79",2199
"80",2205
"81",2297
"82",2306
"83",2331
"84",2375
"85",2429
"86",2522
"87",2533
"88",2553
"89",2554
"90",2580
"91",2620
"92",2672
"93",2720
"94",2724
"95",2887
"96",2889
"97",2890
"98",2899
"99",2910
"100",3206
"101",3227
"102",3231
"103",3245
"104",3250
"105",3266
"106",3277
"107",3322
"108",3357
"109",3451
"110",3466
"111",3599
"112",3640
"113",3642
"114",3688
"115",3704
"116",3706
"117",3720
"118",3742
"119",3756
"120",3908
"121",3983
"122",3996
"123",4026
"124",4053
"125",4058
"126",4059
"127",4066
"128",4072
"129",4073
"130",4323
"131",4331
"132",4338
"133",4367
"134",4382
"135",4385
"136",4392
"137",4423
"138",4455
"139",4491
"140",4662
"141",4675
"142",4717
"143",4733
"144",4755
"145",4841
"146",5044
"147",5080
"148",5105
"149",5134
"150",5189
"151",5270
"152",5285
"153",5411
"154",5412
"155",5443
"156",5462
"157",5467
"158",5468
"159",5479
"160",5497
"161",5500
"162",5505
"163",5558
"164",5561
"165",5799
"166",5802
"167",5823
"168",5825
"169",5833
"170",5908
"171",5923
"172",5942
"173",6001
"174",6128
"175",6144
"176",6149
"177",6172
"178",6186
"179",6195
"180",6198
"181",6199
"182",6216
"183",6218
"184",6219
"185",6222
"186",6230
"187",6261
"188",6290
"189",6481
"190",6504
"191",6519
"192",6548
"193",6549
"194",6579
"195",6581
"196",6591
"197",6620
"198",6621
"199",6631
"200",6650
"201",6651
"202",6708
"203",6717
"204",6877
"205",6878
"206",6885
"207",6919
"208",6938
"209",6990
"210",7201
"211",7228
"212",7263
"213",7324
"214",7580
"215",7603
"216",7610
"217",7620
"218",7640
"219",7648
"220",7687
"221",7725
"222",7727
"223",7734
"224",7799
"225",7848
"226",7849
"227",7955
"228",7957
"229",7972
"230",7973
"231",7985
"232",7998
"233",8045
"234",8081
"235",8105
"236",8106
"237",8207
"238",8336
"239",8389
"240",8392
"241",8396
"242",8398
"243",8403
"244",8405
"245",8414
"246",8415
"247",8437
"248",8444
"249",8445
"250",8458
"251",8464
"252",8552
"253",8668
"254",8732
"255",8733
"256",8763
"257",8769
"258",8782
"259",8793
"260",8802
"261",8822
"262",8834
"263",8860
"264",8896
"265",8897
"266",8955
"267",9105
"268",9115
"269",9117
"270",9133
"271",9158
"272",9190
"273",9241
"274",9428
"275",9448
"276",9451
"277",9462
"278",9469
"279",9471
"280",9472
"281",9477
"282",9488
"283",9500
"284",9559
"285",9561
"286",9567
"287",9578
"288",9781
"289",9783
"290",9787
"291",9801
"292",9816
"293",9831
"294",9860
"295",9880
"296",9885
"297",9904
"298",10012
"299",10186
"300",10190
"301",10194
"302",10241
"303",10275
"304",10282
"305",10283
"306",10287
"307",10304
"308",10307
"309",10374
"310",10533
"311",10541
"312",10544
"313",10550
"314",10551
"315",10572
"316",10575
"317",10577
"318",10578
"319",10603
"320",10609
"321",10667
"322",10684
"323",10701
"324",10722
"325",10850
"326",10879
"327",10881
"328",10923
"329",10940
"330",10944
"331",10972
"332",11014
"333",11016
"334",11021
"335",11031
"336",11081
"337",11139
"338",11222
"339",11249
"340",11267
"341",11269
"342",11282
"343",11293
"344",11313
"345",11328
"346",11343
"347",11373
"348",11379
"349",11382
"350",11390
"351",11407
"352",11626
"353",11643
"354",11649
"355",11660
"356",11670
"357",11676
"358",11687
"359",11709
"360",11723
"361",11726
"362",11756
"363",11828
"364",11836
"365",11989
"366",11991
"367",12058
"368",12062
"369",12073
"370",12143
"371",12144
"372",12196
"373",12239
"374",12336
"375",12373
"376",12378
"377",12383
"378",12391
"379",12429
"380",12431
"381",12470
"382",12478
"383",12495
"384",12623
"385",12739
"386",12757
"387",12758
"388",12856
"389",12908
"390",12964
"391",13096
"392",13097
"393",13117
"394",13155
"395",13205
"396",13288
"397",13301
"398",13456
"399",13462
"400",13464
"401",13469
"402",13482
"403",13483
"404",13485
"405",13487
"406",13539
"407",13546
"408",13552
"409",13565
"410",13584
"411",13817
"412",13819
"413",13824
"414",13832
"415",13844
"416",13845
"417",13849
"418",13872
"419",13904
"420",13925
"421",13937
"422",13981
"423",14158
"424",14162
"425",14180
"426",14184
"427",14235
"428",14272
"429",14286
"430",14293
"431",14314
"432",14534
"433",14556
"434",14559
"435",14593
"436",14604
"437",14625
"438",14643
"439",14659
"440",14667
"441",14669
"442",14698
"443",14714
"444",14835
"445",14893
"446",14901
"447",14922
"448",14931
"449",14939
