"January","February","March","April","May","June","July","August","September","October","November","December"
20,23,13,22,1,4,37,155,277,212,97,52
387,341,259,119,7,0,12,447,670,588,380,363
38,77,98,273,667,836,863,458,89,59,66,63
88,47,42,29,48,34,15,4,2,41,84,131
29,20,18,64,126,184,222,106,41,83,90,31
179,174,170,92,65,15,10,16,25,63,78,169
98,51,41,65,65,44,57,60,81,75,114,89
82,45,39,22,61,40,25,20,42,114,185,156
118,68,96,38,13,5,3,1,3,35,126,152
95,109,211,140,54,13,2,0,0,0,0,23
97,99,122,195,122,51,22,3,0,1,10,40
40,94,162,171,42,4,3,1,0,0,0,2
