"January","February","March","April","May","June","July","August","September","October","November","December"
33,26,25,23,13,3,9,16,13,27,50,34
49,39,49,36,81,68,38,16,16,36,52,54
44,28,29,16,28,18,12,7,8,30,56,59
58,33,47,38,21,15,9,3,7,39,65,86
26,20,51,63,135,159,103,45,18,24,34,30
72,50,44,15,2,0,0,9,11,50,79,97
68,41,60,25,18,16,8,5,6,33,81,88
76,37,61,35,25,19,14,7,9,42,85,89
90,91,215,744,948,932,1078,1037,195,110,105,115
71,84,91,54,0,0,0,21,67,96,105,78
179,216,346,180,0,0,0,105,695,237,174,147
505,483,253,1,0,0,0,0,185,547,344,394
