"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"V1",0,0,0,0,0,0.0037746444034611,0.0551941723067225,0.155836674422868,0.270527563605235,0.3957743250119,0.531930673235751,0.649422527463915,0.705404603623754,0.6782324247918,0.567334956280426,0.400628006383792,0.216328559585932,0.0608358071171443,0.00136654361852296,0,0,0,0,0
"V2",0,0,0,0,0,0.00271040185106211,0.0467192102034046,0.156330282689521,0.290040186332885,0.411008154080494,0.507190129256509,0.56047457217873,0.565712333458674,0.518119181935154,0.414911759595682,0.277568076518835,0.135201711336652,0.0297628747545124,0.000584100537595608,0,0,0,0,0
"V3",0,0,0,0,0,0.00320054824402103,0.0416411755396554,0.115428138634623,0.198083202089181,0.281924315564792,0.362676860313827,0.440052450580472,0.496014009359142,0.489910289496157,0.414143065277779,0.292838469715543,0.156377286060722,0.0431876362796658,0.00116194411622896,0,0,0,0,0
"V4",0,0,0,0,0,0.0032568746890982,0.0414396230096529,0.108897902506749,0.176163194837574,0.236464344651784,0.284066978293452,0.310365793133427,0.306291016155338,0.281581373476829,0.234571520288447,0.167504503390871,0.0939694073682868,0.0288090499986108,0.000775240683212116,0,0,0,0,0
"V5",0,0,0,0,0,0.00144767411166203,0.0422022318977291,0.179058843437054,0.353469525975279,0.513306475942477,0.62189184925145,0.657188096576061,0.619586888540082,0.518981815969321,0.385853154345862,0.24216963731938,0.11098274247105,0.0173078124361493,0.000235214471000766,0,0,0,0,0
"V6",0,0,0,0,0,0.00842148176417548,0.113660771188145,0.298396884318474,0.488587607142423,0.625064608039137,0.684807616224848,0.659017559389831,0.578246638477943,0.464228121179235,0.347855566281871,0.240353743897446,0.133897784703386,0.0423041097460524,0.00113761580957666,0,0,0,0,0
"V7",0,0,0,0,0,0.00652177007735341,0.0870284109029278,0.236626245034239,0.391674067165704,0.507089647693941,0.549076837818903,0.525308291386397,0.45536965656132,0.370874564543391,0.287102272995872,0.203537247114054,0.113440341826027,0.0347540940460351,0.000914789244696602,0,0,0,0,0
"V8",0,0,0,0,0,0.00408109470794945,0.0587830300638208,0.162094089623648,0.274444057761676,0.370617330036177,0.424973483421764,0.426564004738016,0.391762650162003,0.329699230872587,0.256537586496564,0.179102696970032,0.0987731376912386,0.0287390923803227,0.000699062881362761,0,0,0,0,0
"V13",0,0,0,0,0,0.000764590963833911,0.0460251249808357,0.212997634356212,0.409377862970834,0.575340553274619,0.69392224854621,0.749406729550029,0.741171477119996,0.6679358651499,0.537256573280808,0.363352585050999,0.169911162385981,0.0230644704388792,0.000163101059547939,0,0,0,0,0
"V10",0,0,0,0,0,0.00664464357022343,0.112030905445048,0.307737178767563,0.508445827104389,0.672269259454565,0.776155659824988,0.794455509868543,0.731352278029056,0.606211698830401,0.433361819597391,0.277879476279057,0.147976428650466,0.042553699848735,0.000826548895181572,0,0,0,0,0
"V11",0,0,0,0,0,0.00191171189628576,0.0861161655430226,0.288145982103829,0.499470369885484,0.676490142236743,0.800866914498826,0.862130974130213,0.853995955617737,0.778167059244329,0.6397548300828,0.451369477324208,0.234521038757374,0.0490580249567222,0.000315830699960435,0,0,0,0,0
"V16",0,0,0,0,0,0.0139781325045521,0.162056975292074,0.393707561131085,0.607108685139455,0.781308200954521,0.902985192667736,0.96056717103489,0.950075808792694,0.873078841244837,0.735973844006581,0.549638170733382,0.329053172836454,0.110713057190336,0.00284675590217577,0,0,0,0,0
