"January","February","March","April","May","June","July","August","September","October","November","December"
785,691,744,676,666,686,720,689,701,753,675,774
28,30,35,40,52,40,39,45,26,38,34,29
85,79,96,90,103,78,87,87,76,69,89,82
54,70,92,79,82,75,69,87,51,39,58,53
91,96,87,101,97,72,75,85,70,75,76,82
70,60,76,85,85,75,63,67,73,79,79,67
48,33,48,55,48,61,68,56,59,61,58,56
29,24,23,26,34,36,42,44,42,55,48,33
66,49,52,50,74,71,70,78,85,65,67,65
0,5,4,7,7,13,11,12,14,12,7,8
15,11,14,20,21,19,26,17,26,21,39,21
0,0,0,1,2,4,1,4,7,4,0,1
