"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
3.9158068,3.8506076,3.943707,4.1544814,4.6540413,5.050282,5.3109064,4.915,4.1896806,4.1820736,4.6761703,4.8934655,4.4313636,3.7855856,3.1005483,2.1740224,1.759308,2.1579552,3.1420295,3.2397718,3.6741304,3.64336,3.8554268,3.4868681
4.833338,3.739911,5.1143427,7.988833,8.133026,7.2595196,4.5686812,4.5407968,4.852656,5.2130322,4.951723,4.459977,4.1173525,4.081969,3.851612,3.7385647,3.6787121,4.001376,4.175945,3.4972453,3.5345423,3.7320273,3.9847336,4.5365
3.6550894,3.2565637,2.720162,2.3098602,2.3229673,2.4886513,2.6565979,2.3480594,2.2434747,2.5427506,2.5675488,2.738533,3.6244175,4.085557,4.2183003,4.3697367,4.363029,4.785994,4.608689,4.4783077,5.4007297,5.609378,5.1577144,4.6627727
3.406385,2.9515684,2.7762485,2.8975568,2.9492476,2.7042718,2.605084,2.937765,2.2545738,2.1279578,2.667247,2.5128608,2.5473745,3.629678,4.3431516,5.191378,4.8112226,4.9140887,4.3901978,5.3616486,6.000719,5.8735695,5.9789877,6.2669964
3.6202257,3.4282994,3.2858288,2.995989,2.8805106,2.8077767,2.8274975,2.8372667,2.5603695,2.2897227,2.3165655,2.2009737,2.1014752,1.0398883,3.251662,3.389072,4.9269166,4.708744,4.75282,3.6092734,3.3819268,3.4794729,3.6303349,3.9729283
4.1282864,4.807316,5.1939244,5.885247,6.1879945,6.5164704,6.713592,6.669374,6.5185075,6.6730485,6.7213154,6.0467415,5.113996,4.450156,3.8832765,3.7410455,4.198813,4.557146,4.5930896,5.6438093,5.977787,6.0930195,6.3700213,6.636842
5.237756,5.644147,5.6181197,5.4013186,5.02213,4.9105887,4.6553698,4.296842,3.8453841,3.1982753,2.8267672,2.5347881,2.1982763,2.423069,3.1845887,4.134894,4.771559,5.1163435,5.506062,6.056002,5.786945,5.5899277,5.158754,4.80361
4.858011,4.8615932,5.0823784,5.5245996,5.724105,5.227388,5.262144,5.745455,5.8047338,5.171784,5.461501,5.6276093,5.561203,5.803803,6.021419,6.4700418,6.7757015,6.990994,7.449469,7.3400936,7.435977,7.6938224,8.207122,8.393096
3.1215875,3.243163,3.7463422,3.7316785,3.502357,3.185762,2.775897,2.615077,2.344571,1.8208156,1.3342296,1.0610049,0.5118833,0.308814,1.2248192,2.0612414,2.7650657,3.1487281,3.685865,4.2016835,4.547278,4.5653234,4.137091,3.8517215
7.5649014,7.48348,7.6112785,7.4277554,6.8694043,6.660293,6.4820566,6.027339,5.1821356,4.276166,3.9146426,4.1955485,4.6301866,5.10219,4.9350996,5.0110583,5.3300147,5.775474,5.734678,4.8243265,4.4410067,3.8629732,4.4175773,5.1157923
1.7621553,2.1609194,2.8223448,3.6397784,4.0449634,3.9174583,3.479509,2.5769682,2.2134845,1.8598087,1.7980852,1.6301311,1.7640667,2.1595216,2.7165418,3.1516104,3.128143,3.326403,3.3554962,2.8092995,2.6140275,2.6977124,3.0039785,3.1400774
6.69779,6.9645014,6.9899726,6.9270616,6.89249,6.8292856,6.883759,6.527216,6.654523,6.35743,5.4020686,4.4639425,3.829416,3.425108,3.3414404,3.648054,4.0986056,4.698548,5.130919,5.121782,4.8620477,4.4450927,4.4172935,4.4758425
5.9706273,6.16017,6.1810255,5.937035,5.707507,5.6956506,5.7790675,5.9593143,6.229592,6.6030216,6.8599534,6.852385,6.5932336,6.5716,6.0529795,5.0220213,4.1625376,3.369122,2.6484947,2.0809352,2.533606,2.9378335,2.2791092,1.7196553
9.064797,9.002199,8.75578,8.406488,8.093534,7.916153,7.819743,7.7264266,7.6405444,7.651843,7.8893495,8.888312,8.225755,7.9783955,7.2579308,7.056765,6.9657245,7.054546,7.1464405,6.598342,6.5050797,6.631461,6.688969,6.6273656
4.0886264,4.2265825,4.1953983,3.9080403,3.8209827,3.7484818,3.5374098,3.5186417,3.8042123,3.516512,2.8102741,2.3673334,2.392158,2.3207788,2.3582354,2.4790318,2.6163292,3.0808907,2.9775975,2.2006826,2.1967824,2.489299,2.6285114,2.8090746
6.2193375,6.498731,6.782945,7.1453524,7.483102,7.822782,8.077766,7.9475417,7.6364694,7.067657,6.368589,6.549163,6.981799,7.245477,7.6715064,8.248332,8.791762,9.467677,9.738289,9.910193,9.637674,9.369732,9.21768,8.768035
3.8138993,4.0853233,4.3790364,4.2574244,3.9377995,3.5489144,2.9483967,2.6759257,2.6942859,2.5221357,3.2782962,3.4857576,3.65711,3.9481537,4.0316525,4.068373,4.3672624,4.572986,4.4453382,4.2675743,3.8933792,3.5006952,2.5637507,2.9155903
7.922119,7.750085,8.562531,8.536088,8.652751,8.750067,8.29154,9.156556,8.629938,8.682521,8.751657,9.216242,9.45032,9.097578,8.694934,8.795235,9.211119,8.905457,8.065124,7.873323,6.8122473,5.7591453,4.785883,3.9310331
3.2003524,3.3543265,3.8013563,4.2359266,4.377377,4.346672,4.4747114,4.914776,4.489603,5.8622937,6.229117,6.357181,5.9759016,5.6470428,5.3896413,5.6367965,6.378287,7.0659027,6.7299685,6.620011,6.707485,6.709321,6.6371617,6.5466776
8.481735,8.670356,8.764449,8.8424015,8.743058,8.939647,8.941295,8.519108,9.298569,10.16997,9.845041,9.330911,9.628526,9.918311,10.174141,10.417237,10.953415,11.085467,10.69929,10.425346,10.411611,10.2402315,10.417507,10.084055
