     Avg_Silhouette_Value
 [1,]            0.0000000
 [2,]            0.9458891
 [3,]            0.8828603
 [4,]            0.8662038
 [5,]            0.8604953
 [6,]            0.8642298
 [7,]            0.8631313
 [8,]            0.8640072
 [9,]            0.8657261
[10,]            0.8637702
[11,]            0.8625708
[12,]            0.8636953

      CH_Value
 [1,]  0.000000
 [2,] 11.669079
 [3,]  7.602923
 [4,] 13.560688 esse
 [5,] 13.099842
 [6,] 10.580702
 [7,] 11.926248
 [8,] 10.538671
 [9,]  9.483228
[10,]  8.526284
[11,]  8.638287
[12,]  7.964774

     DB_Value
 [1,] 0.000000
 [2,] 1.998094
 [3,] 1.993340
 [4,] 1.989258
 [5,] 1.988412
 [6,] 1.989619
 [7,] 1.985552
 [8,] 1.988339
 [9,] 1.982997
[10,] 1.985873
[11,] 1.982970 esse
[12,] 1.985757
