"","x"
"1",41.0749687962471
"2",61.7977928756972
"3",49.3145234812883
"4",50.7316595805347
"5",61.634935710564
"6",62.2112968378757
"7",43.6580726555951
"8",41.5905996946044
"9",44.6211066053162
"10",41.3190010639773
"11",51.878466380227
"12",34.3059042201073
"13",46.2561544537173
"14",67.6293558966691
"15",51.0255429678397
"16",42.2254416056717
"17",39.6195445289782
"18",38.5346865994238
"19",37.8402614098254
"20",38.7741978354136
"21",41.4699404724032
"22",43.4145250970988
"23",42.0024073258262
"24",42.1070828751325
"25",48.2912705689458
"26",72.8256908996005
"27",31.961598143825
"28",46.7008658604854
"29",40.7274464960671
"30",36.5758125616116
"31",37.6311023197044
"32",40.663001554691
"33",46.1323309406925
"34",59.1909553852541
"35",45.1579502148803
"36",44.8026063367571
"37",45.9836527041746
"38",53.6407470802385
"39",41.2380779676933
"40",71.9759948984255
"41",47.3584675033164
"42",53.0308117227225
"43",36.3152244134632
"44",40.6035685696844
"45",42.5798180180009
"46",54.6524403617526
"47",34.4507492049368
"48",34.3026120471403
"49",66.8651050224006
"50",53.3318303906176
"51",40.7336566990897
"52",62.686540249086
"53",68.9988223225597
"54",50.7914803995387
"55",55.437647869043
"56",56.8816869383251
"57",50.615456914028
"58",49.1891585289332
"59",40.5048010086638
"60",48.6454015085077
"61",41.3543183674894
"62",50.1817885988501
"63",52.7570359806272
"64",48.6667816776896
"65",49.1665783324018
"66",45.1987093164521
"67",68.5942334829567
"68",46.3232151208329
"69",44.0063495628057
"70",45.7544751242785
"71",54.3382656920457
"72",37.2434624347948
"73",36.3746673772846
"74",90.4328007241763
"75",52.1857879817405
"76",55.7279201439182
"77",43.6683824072411
"78",47.1131847382642
"79",52.6184446338502
"80",41.5044393699704
"81",49.6189500779541
"82",38.4859902221586
"83",58.5806996585306
"84",49.1986693836441
"85",51.4780027411922
"86",38.9497992299785
"87",50.1054560930421
"88",41.2769560674114
"89",51.7621958019942
"90",56.9409790069273
"91",56.7081804764139
"92",55.8134717146078
"93",49.1345676269997
"94",59.6133028146094
"95",48.4738472256415
"96",60.6706483144802
"97",40.2386370380191
"98",57.7020941362799
"99",39.515665688482
"100",46.3884493149248
"101",39.4099727741944
"102",58.0975101250361
"103",51.7562701268204
"104",57.6212758790328
"105",64.1172500012569
"106",49.7871781265332
"107",49.7885323637222
"108",41.5650991738859
"109",48.15434244456
"110",45.0527823847176
"111",64.4227012336903
"112",43.2329454105817
"113",47.7420678978034
"114",43.2575171813395
"115",54.4226178307117
"116",50.5608008514128
"117",43.3703833239497
"118",45.396298688481
"119",47.0076433525026
"120",57.6866456520753
"121",51.287227231699
"122",51.5182763643829
"123",63.040094777714
"124",64.3316240199342
"125",32.8674193383101
"126",51.0059750631681
"127",40.2664058563628
"128",63.8141522023474
"129",58.7455686520449
"130",42.2397180867315
"131",41.045480457771
"132",55.7742911114604
"133",65.0742957780193
"134",65.817052118429
"135",49.6247457947984
"136",34.2130192217557
"137",56.4832132558137
"138",49.4436418112395
"139",52.7832587340365
"140",68.4942557236192
"141",39.1336868129474
"142",47.8314255231454
"143",42.5506100588733
"144",45.2634252805401
"145",57.0178225284586
"146",51.2845924755086
"147",57.2962579810131
"148",40.9123671568793
"149",42.7500156090186
"150",31.8012680112523
"151",45.1375916230201
"152",41.934861707328
"153",55.200325546879
"154",43.0703930175734
"155",37.137342181343
"156",48.8625698962844
"157",57.6791988795166
"158",49.3315405444586
"159",53.8512294418246
"160",53.7898830031537
"161",69.1239421095306
"162",54.0515270206466
"163",40.1002326911424
"164",46.7708439365537
"165",45.9894847716989
"166",34.6270854839222
"167",44.0936501483274
"168",43.4105061243307
"169",50.5457211479408
"170",37.5592765451233
"171",61.5591717250707
"172",57.862369045501
"173",47.8737969699036
"174",55.3829198345348
"175",56.4941716482181
"176",48.2814974483297
"177",40.4366479133179
"178",28.6228143550382
"179",33.8691145023517
"180",44.9056462638863
"181",41.0525842259544
"182",55.8970447194826
"183",73.1100444364344
"184",64.853888641532
"185",73.3119010268455
"186",49.7126324011965
"187",38.8638959476342
"188",57.133087792854
"189",34.514888379891
"190",50.1845355439871
"191",41.6996474460941
"192",55.3588217183209
"193",56.4507044069258
"194",61.7169702921745
"195",44.8259495482646
"196",24.7044902781693
"197",33.452888872519
"198",62.7462625784306
"199",38.4721500016962
"200",39.7205599654832
"201",25.119278843891
"202",41.5284770795633
"203",42.8627326813326
"204",62.189860265813
"205",49.2518201813579
"206",43.309348407144
"207",36.6338867823457
"208",41.6570618752782
"209",36.0191301222001
"210",37.2725722750492
"211",46.9852690039965
"212",49.5352266313939
"213",40.996510493068
"214",39.197460676342
"215",66.6697738991372
"216",45.7110219852867
"217",44.1806828485967
"218",45.6392513256249
"219",44.5989363631029
"220",58.6235883176549
"221",49.9140700979014
"222",55.0131233875484
"223",59.9799537903717
"224",37.8351334763882
"225",42.123201456268
"226",42.9542364640148
"227",40.2398164007041
"228",45.0009110062748
"229",32.0570338159867
"230",47.9184292704149
"231",42.4376622194976
"232",60.2789912598223
"233",38.135813725664
"234",42.4290482132281
"235",47.2844949539178
"236",56.208575248942
"237",49.8867254339746
"238",35.8322629372079
"239",46.3203046333919
"240",43.6090546354096
"241",39.5173822357855
"242",42.0864364113324
"243",29.0692308855551
"244",49.2970927359876
"245",43.0212543449718
"246",30.7107934076546
"247",40.1422229819308
"248",49.8596694503402
"249",41.913267034431
"250",76.6173210000688
"251",38.2407598740737
"252",53.5000748315186
"253",45.4470224297039
"254",52.1504671973555
"255",43.4750194819959
"256",61.455299162314
"257",35.6996695710134
"258",49.1207838172648
"259",48.4538496554795
"260",37.0135785116541
"261",55.9847426250281
"262",49.0038795189981
"263",55.6934769017858
"264",47.5998146224784
"265",48.2348290521396
"266",48.2591373254394
