"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
7.228286,6.7695804,6.344759,6.285822,6.334545,6.605634,6.949175,8.333538,8.260467,7.65513,7.3077736,6.7272553,6.1679296,5.0762906,3.6641865,2.6004848,3.524983,4.8614974,5.0764117,5.2693644,4.7354,4.695953,5.0482674,5.1667366
10.220977,10.098282,9.547946,8.9488535,8.595864,8.432597,8.2387085,6.9538493,5.9089723,5.39363,4.6420383,4.622424,4.3526196,4.128337,4.4155545,5.322909,6.376514,6.1368995,5.6381207,4.729041,4.61728,4.8822865,5.2019963,5.590543
9.287802,9.225223,9.2117,8.907699,8.513188,8.659806,8.562602,7.9882264,6.574295,6.2075524,5.5396867,4.2508335,2.7934337,2.4694157,3.347682,3.5508525,4.7666936,5.235749,6.077762,4.2623777,2.8936934,2.8328054,3.1024146,2.2532344
7.5287538,7.509519,7.5795207,7.249821,7.884071,8.644998,8.5212555,7.369071,7.344272,7.4784384,7.4699254,7.304745,7.199181,7.277732,7.250782,7.105837,6.869282,6.517415,5.961025,5.6494436,5.303799,5.195388,5.2367444,5.09939
8.066171,7.8748074,7.1838703,6.4124284,5.9299903,5.298827,4.7006645,5.566225,6.1009336,7.1117797,7.678799,7.7025213,6.5534,5.9536905,5.8796654,5.724783,5.46167,5.046884,4.4562287,5.1872735,5.3700128,5.7974524,4.3577676,2.5387506
9.258428,9.077763,8.731665,8.597674,8.309054,8.163226,8.130322,7.3858457,6.373873,6.339511,6.3637276,6.6973577,6.8895555,7.230719,7.5137343,7.2911143,6.4976144,5.942262,5.7326093,5.492949,5.541938,5.8049636,6.2960186,6.595276
8.489631,7.89121,7.435706,7.097607,7.0511928,6.8881435,6.8482757,6.3305097,6.4597936,6.585173,6.2347503,5.56487,5.219776,5.128449,5.054068,5.0470104,5.2494583,5.6504173,5.796447,6.030656,6.212082,5.828377,6.4684486,7.555089
6.8703413,6.894571,6.910873,7.762333,7.5229487,6.8496175,5.969845,5.5772905,6.14622,6.8220367,6.952738,6.4358597,6.303882,6.53653,7.098711,7.63747,7.7242885,7.0973096,5.977474,4.9301076,4.484942,4.158651,4.0718274,4.0463147
8.699677,9.154363,8.798959,8.038634,6.6588326,5.689328,4.7672806,4.8219543,4.7283177,5.265991,5.8055153,6.313097,6.6550083,6.7113338,6.8584104,6.670107,6.5789857,6.550716,6.5318437,5.8056526,5.544015,5.619732,5.8068423,5.7531214
9.161121,9.100324,8.887199,8.775867,8.743048,8.529448,8.344216,8.4245205,8.1580715,7.0936975,6.619405,6.2221246,5.54395,4.8947916,4.439178,3.9723716,3.5370073,3.3222537,3.5428953,3.55417,2.7229106,1.7030851,0.4537514,1.0322174
7.5649014,7.48348,7.6112785,7.4277554,6.8694043,6.660293,6.4820566,6.027339,5.1821356,4.276166,3.9146426,4.1955485,4.6301866,5.10219,4.9350996,5.0110583,5.3300147,5.775474,5.734678,4.8243265,4.4410067,3.8629732,4.4175773,5.1157923
8.547985,8.364648,8.049816,7.8696527,7.870974,7.6627927,7.702966,7.8597307,7.740458,7.1943994,7.265316,6.7092457,6.033394,5.619905,5.3627386,5.010276,4.5148416,3.9465373,3.6181085,3.0666118,2.2599554,1.3077356,0.6198101,0.94480276
9.7655325,10.5365,10.5436,9.146175,8.367574,8.133863,7.905589,8.655094,8.648881,7.9303412,7.369341,6.3733444,5.3734736,4.887356,3.9257224,2.8649035,2.0381963,1.8511829,2.4770288,2.8645828,3.542243,4.637067,6.106545,7.1341057
