"January","February","March","April","May","June","July","August","September","October","November","December"
47,32,40,83,84,79,97,95,96,106,77,70
102,132,114,126,167,171,125,127,68,64,60,85
95,144,136,134,143,133,91,79,54,45,64,70
131,120,147,89,113,111,103,87,86,86,118,139
161,98,129,95,69,60,86,131,133,168,174,152
94,74,85,75,74,73,93,94,104,105,106,98
131,117,138,144,129,117,104,106,119,113,124,129
200,167,160,151,129,104,126,138,137,161,149,184
120,97,124,102,77,79,119,110,98,102,82,111
61,63,70,63,80,93,116,120,137,113,90,83
99,80,113,130,159,150,139,130,75,101,86,99
30,24,15,38,47,60,72,54,123,107,100,51
