     Avg_Silhouette_Value
 [1,]           0.00000000
 [2,]           0.34855717
 [3,]           0.25062472
 [4,]           0.23701157
 [5,]           0.18587727
 [6,]           0.14388130
 [7,]           0.09432514
 [8,]           0.06538414
 [9,]           0.04482236
[10,]           0.01049954
[11,]           0.03404065
[12,]           0.05144611

      CH_Value
 [1,]  0.000000
 [2,] 15.313326
 [3,] 13.796783
 [4,] 14.104234
 [5,] 12.643849
 [6,] 12.002398
 [7,] 10.249157
 [8,]  8.879253
 [9,]  8.920741
[10,]  8.007417
[11,]  8.642549
[12,]  9.788745

      DB_Value
 [1,] 0.0000000
 [2,] 1.2040058
 [3,] 1.3466136
 [4,] 1.1863478
 [5,] 1.0369504
 [6,] 1.1126695
 [7,] 1.0970437
 [8,] 0.9109891
 [9,] 0.8708365
[10,] 0.8413744
[11,] 0.8175294
[12,] 0.7951740 esse
