"","x"
"1",49
"2",75
"3",142
"4",172
"5",196
"6",200
"7",202
"8",219
"9",229
"10",235
"11",252
"12",265
"13",309
"14",313
"15",323
"16",339
"17",371
"18",372
"19",382
"20",397
"21",438
"22",500
"23",524
"24",530
"25",539
"26",566
"27",591
"28",606
"29",607
"30",624
"31",634
"32",638
"33",644
"34",645
"35",653
"36",690
"37",722
"38",783
"39",792
"40",912
"41",925
"42",978
"43",1001
"44",1010
"45",1017
"46",1033
"47",1038
"48",1040
"49",1125
"50",1141
"51",1161
"52",1188
"53",1190
"54",1203
"55",1225
"56",1234
"57",1251
"58",1283
"59",1301
"60",1323
"61",1340
"62",1343
"63",1346
"64",1354
"65",1369
"66",1421
"67",1549
"68",1555
"69",1621
"70",1639
"71",1646
"72",1650
"73",1698
"74",1714
"75",1719
"76",1732
"77",1743
"78",1754
"79",1772
"80",1774
"81",1796
"82",1806
"83",1831
"84",1895
"85",1921
"86",1956
"87",1967
"88",1993
"89",2013
"90",2059
"91",2065
"92",2085
"93",2087
"94",2117
"95",2168
"96",2172
"97",2195
"98",2209
"99",2244
"100",2284
"101",2295
"102",2298
"103",2320
"104",2331
"105",2372
"106",2392
"107",2438
"108",2455
"109",2505
"110",2547
"111",2558
"112",2592
"113",2602
"114",2660
"115",2678
"116",2697
"117",2700
"118",2725
"119",2749
"120",2762
"121",2772
"122",2785
"123",2792
"124",2797
"125",2802
"126",2839
"127",2880
"128",2884
"129",2885
"130",2901
"131",2905
"132",3011
"133",3044
"134",3066
"135",3072
"136",3098
"137",3109
"138",3126
"139",3142
"140",3172
"141",3183
"142",3236
"143",3247
"144",3251
"145",3338
"146",3364
"147",3376
"148",3392
"149",3412
"150",3446
"151",3472
"152",3491
"153",3502
"154",3508
"155",3520
"156",3522
"157",3530
"158",3551
"159",3553
"160",3569
"161",3583
"162",3628
"163",3668
"164",3696
"165",3698
"166",3701
"167",3708
"168",3734
"169",3736
"170",3758
"171",3792
"172",3799
"173",3802
"174",3808
"175",3810
"176",3856
"177",3861
"178",3906
"179",3911
"180",3937
"181",3938
"182",3942
"183",3957
"184",3974
"185",3991
"186",4045
"187",4046
"188",4140
"189",4158
"190",4172
"191",4220
"192",4226
"193",4236
"194",4285
"195",4289
"196",4325
"197",4327
"198",4382
"199",4443
"200",4462
"201",4466
"202",4478
"203",4500
"204",4510
"205",4514
"206",4520
"207",4523
"208",4563
"209",4584
"210",4594
"211",4600
"212",4602
"213",4623
"214",4625
"215",4656
"216",4658
"217",4732
"218",4737
"219",4810
"220",4856
"221",4870
"222",4880
"223",4897
"224",4906
"225",4915
"226",4926
"227",4937
"228",4941
"229",4962
"230",4975
"231",4991
"232",4996
"233",5006
"234",5038
"235",5068
"236",5075
"237",5078
"238",5080
"239",5120
"240",5136
"241",5192
"242",5195
"243",5218
"244",5225
"245",5284
"246",5291
"247",5298
"248",5301
"249",5314
"250",5388
"251",5396
"252",5414
"253",5416
"254",5429
"255",5444
"256",5488
"257",5492
"258",5562
"259",5589
"260",5650
"261",5672
"262",5677
"263",5691
"264",5698
"265",5700
"266",5706
"267",5733
"268",5737
"269",5744
"270",5748
"271",5755
"272",5789
"273",5816
"274",5852
"275",5924
"276",5948
"277",5977
"278",5993
"279",6012
"280",6020
"281",6030
"282",6055
"283",6088
"284",6092
"285",6095
"286",6098
"287",6102
"288",6111
"289",6119
"290",6127
"291",6234
"292",6256
"293",6324
"294",6348
"295",6375
