"January","February","March","April","May","June","July","August","September","October","November","December"
199,247,252,222,274,242,180,166,124,115,157,176
254,227,266,282,310,358,329,323,205,217,201,233
30,31,39,50,55,64,78,73,98,70,59,39
119,120,130,126,127,109,92,80,91,107,100,115
83,59,61,54,41,41,65,75,87,86,67,83
185,202,221,185,172,142,178,164,151,157,164,199
141,99,129,84,62,37,67,89,78,117,120,118
19,14,14,50,56,42,63,48,55,67,56,29
86,69,87,69,68,70,85,87,95,99,109,100
73,36,38,49,52,50,56,73,76,85,57,75
81,42,31,47,28,42,47,66,118,119,119,98
1,2,3,12,26,33,31,27,52,32,21,6
