"January","February","March","April","May","June","July","August","September","October","November","December"
8,4,2,15,46,107,138,133,121,64,22,1
87,143,120,210,305,405,487,520,460,386,171,106
153,101,98,26,3,6,0,0,1,25,77,123
111,108,166,67,38,11,5,3,1,14,71,121
40,27,36,59,104,135,161,176,115,63,43,28
137,99,77,47,11,10,1,2,4,34,77,145
87,80,126,71,56,13,12,13,25,52,101,112
281,283,293,382,380,356,308,273,309,334,281,246
82,46,73,76,70,34,33,41,54,87,122,97
61,75,90,96,108,78,54,54,57,57,53,62
163,145,121,119,102,59,62,46,60,108,168,160
61,37,69,62,48,16,10,10,23,47,44,70
