"","x"
"1",8
"2",4
"3",3
"4",4
"5",4
"6",6
"7",2
"8",10
"9",10
"10",12
"11",8
"12",3
"13",4
"14",3
"15",4
"16",16
"17",11
"18",10
"19",10
"20",15
"21",7
"22",13
"23",15
"24",15
"25",7
"26",8
"27",8
"28",4
"29",3
"30",3
"31",3
"32",3
"33",3
"34",4
"35",7
"36",7
"37",7
"38",3
"39",3
"40",4
"41",11
"42",10
"43",7
"44",13
"45",10
"46",2
"47",10
"48",7
"49",8
"50",3
"51",3
"52",3
"53",15
"54",15
"55",13
"56",7
"57",7
"58",13
"59",11
"60",10
"61",10
"62",10
"63",11
"64",10
"65",2
"66",10
"67",15
"68",11
"69",11
"70",10
"71",11
"72",15
"73",7
"74",13
"75",15
"76",6
"77",2
"78",2
"79",2
"80",10
"81",10
"82",5
"83",2
"84",10
"85",2
"86",10
"87",11
"88",15
"89",13
"90",13
"91",16
"92",13
"93",14
"94",10
"95",12
"96",8
"97",8
"98",8
"99",8
"100",16
"101",13
"102",15
"103",15
"104",16
"105",8
"106",13
"107",2
"108",1
"109",2
"110",2
"111",5
"112",5
"113",2
"114",2
"115",10
"116",9
"117",10
"118",10
"119",10
"120",10
"121",15
"122",12
"123",12
"124",13
"125",11
"126",6
"127",2
"128",10
"129",10
"130",14
"131",6
"132",2
"133",1
"134",5
"135",10
"136",10
"137",10
"138",10
"139",10
"140",11
"141",6
"142",10
"143",6
"144",10
"145",11
"146",10
"147",2
"148",2
"149",6
"150",2
"151",10
"152",10
"153",15
"154",12
"155",13
"156",2
"157",5
"158",5
"159",5
"160",1
"161",1
"162",2
"163",10
"164",7
"165",8
"166",11
"167",5
"168",2
"169",2
"170",10
"171",11
"172",15
"173",12
"174",13
"175",11
"176",10
"177",13
"178",11
"179",5
"180",2
"181",5
"182",2
"183",2
"184",2
"185",10
"186",11
"187",6
"188",5
"189",2
"190",6
"191",2
"192",5
"193",2
"194",10
"195",15
"196",16
"197",5
"198",2
"199",10
"200",11
"201",10
"202",15
"203",11
"204",15
"205",6
"206",2
"207",2
"208",11
"209",6
"210",2
"211",15
"212",13
"213",5
"214",5
"215",5
"216",1
"217",5
"218",14
"219",14
"220",14
"221",5
"222",2
"223",14
"224",11
"225",5
"226",2
"227",2
"228",13
"229",15
"230",11
"231",6
"232",14
"233",14
"234",9
"235",14
"236",6
"237",6
"238",15
"239",11
"240",1
"241",1
"242",5
"243",9
"244",14
"245",15
"246",12
"247",12
"248",11
"249",9
"250",5
"251",1
"252",5
"253",2
"254",9
"255",5
"256",9
"257",9
"258",14
"259",15
"260",11
"261",1
"262",9
"263",10
"264",12
"265",8
"266",13
"267",9
"268",12
"269",8
"270",6
"271",14
"272",13
"273",6
"274",1
"275",1
"276",14
"277",14
"278",14
"279",9
"280",1
"281",1
"282",9
"283",13
"284",11
"285",15
"286",8
"287",13
"288",5
"289",9
"290",1
"291",1
"292",5
"293",9
"294",9
"295",14
"296",11
"297",9
"298",9
"299",14
"300",14
"301",11
"302",13
"303",12
"304",16
"305",4
"306",10
"307",14
"308",10
"309",15
"310",7
"311",8
"312",7
"313",6
"314",9
"315",15
"316",7
"317",7
"318",12
"319",7
"320",8
"321",16
"322",11
"323",14
"324",15
"325",13
"326",11
"327",15
"328",7
"329",4
"330",8
"331",16
"332",15
"333",10
"334",15
"335",7
"336",7
"337",7
"338",3
"339",16
"340",12
"341",7
"342",7
"343",7
"344",3
"345",7
"346",7
"347",7
"348",3
"349",4
"350",4
"351",4
"352",7
"353",15
"354",10
"355",15
"356",11
"357",11
"358",11
"359",15
"360",7
"361",7
"362",7
"363",8
"364",3
"365",16
"366",4
"367",16
"368",15
"369",10
"370",11
"371",15
"372",15
"373",7
"374",12
"375",7
"376",7
"377",7
"378",15
"379",12
"380",13
"381",15
"382",11
"383",6
"384",12
"385",8
"386",4
"387",3
"388",7
"389",6
"390",15
"391",11
"392",6
"393",2
"394",2
"395",15
"396",7
"397",13
"398",2
"399",2
"400",6
"401",15
"402",13
"403",15
"404",7
"405",11
"406",11
"407",11
"408",6
"409",6
"410",2
"411",5
"412",5
"413",5
"414",1
"415",9
"416",9
"417",5
"418",5
"419",9
"420",5
"421",5
"422",9
"423",14
"424",14
"425",15
"426",15
"427",14
"428",12
"429",8
"430",12
"431",7
"432",4
"433",4
"434",3
"435",3
"436",3
"437",3
"438",4
"439",4
"440",4
"441",3
"442",4
"443",3
"444",16
"445",7
"446",3
"447",4
"448",3
"449",7
"450",16
"451",8
"452",8
"453",4
"454",4
"455",4
"456",4
"457",4
"458",8
"459",15
"460",10
"461",2
"462",2
"463",10
"464",15
"465",13
"466",15
"467",15
"468",7
"469",12
"470",8
"471",4
"472",4
"473",4
"474",6
"475",2
"476",2
"477",10
"478",10
"479",10
"480",2
"481",2
"482",2
"483",10
"484",7
"485",16
"486",16
"487",11
"488",10
"489",10
"490",2
"491",2
"492",1
