    Avg_Silhouette_Value
 [1,]           0.00000000
 [2,]           0.49536699
 [3,]           0.39384173
 [4,]           0.28818538
 [5,]           0.25147197
 [6,]           0.17482552
 [7,]           0.16057912
 [8,]           0.11978566
 [9,]           0.08927002
[10,]           0.09238658
[11,]           0.04420160
[12,]           0.02146697

     CH_Value
 [1,]  0.00000
 [2,] 26.89061
 [3,] 28.98706
 [4,] 25.11029
 [5,] 20.14198
 [6,] 20.62133
 [7,] 17.97233
 [8,] 15.20054
 [9,] 12.99885
[10,] 17.03510
[11,] 16.00318
[12,] 15.22172

      DB_Value
 [1,] 0.0000000
 [2,] 0.9057622
 [3,] 1.0442426
 [4,] 1.2619069
 [5,] 1.4435147
 [6,] 1.5187911
 [7,] 1.1101773
 [8,] 0.9427380
 [9,] 0.7732712
[10,] 0.7518220
[11,] 0.7558283
[12,] 0.5786628 esse
