"","x"
"1",6
"2",76
"3",126
"4",131
"5",141
"6",143
"7",149
"8",187
"9",190
"10",205
"11",209
"12",231
"13",236
"14",237
"15",270
"16",273
"17",313
"18",383
"19",389
"20",392
"21",400
"22",408
"23",409
"24",474
"25",502
"26",525
"27",528
"28",550
"29",570
"30",571
"31",572
"32",573
"33",576
"34",577
"35",579
"36",586
"37",593
"38",594
"39",607
"40",608
"41",611
"42",619
"43",630
"44",661
"45",759
"46",778
"47",838
"48",848
"49",860
"50",861
"51",864
"52",872
"53",873
"54",874
"55",878
"56",886
"57",889
"58",908
"59",909
"60",943
"61",946
"62",950
"63",953
"64",965
"65",966
"66",967
"67",980
"68",985
"69",994
"70",1018
"71",1021
"72",1035
"73",1069
"74",1080
"75",1145
"76",1160
"77",1186
"78",1194
"79",1228
"80",1241
"81",1254
"82",1257
"83",1259
"84",1262
"85",1280
"86",1288
"87",1289
"88",1317
"89",1341
"90",1342
"91",1347
"92",1351
"93",1352
"94",1353
"95",1358
"96",1364
"97",1388
"98",1447
"99",1457
"100",1460
"101",1488
"102",1491
"103",1516
"104",1520
"105",1558
"106",1587
"107",1622
"108",1625
"109",1648
"110",1654
"111",1655
"112",1656
"113",1677
"114",1694
"115",1699
"116",1723
"117",1724
"118",1725
"119",1734
"120",1739
"121",1818
"122",1822
"123",1905
"124",1961
"125",1973
"126",1974
"127",1975
"128",1994
"129",1999
"130",2009
"131",2015
"132",2051
"133",2062
"134",2063
"135",2066
"136",2070
"137",2075
"138",2229
"139",2241
"140",2258
"141",2260
"142",2293
"143",2297
"144",2314
"145",2378
"146",2384
"147",2393
"148",2400
"149",2450
"150",2452
"151",2468
"152",2469
"153",2493
"154",2526
"155",2561
"156",2601
"157",2605
"158",2701
"159",2751
"160",2752
"161",2753
"162",2771
"163",2779
"164",2780
"165",2782
"166",2805
"167",2824
"168",2842
"169",2870
"170",2933
"171",2937
"172",2946
"173",2978
"174",3002
"175",3038
"176",3088
"177",3114
"178",3127
"179",3143
"180",3159
"181",3179
"182",3193
"183",3210
"184",3212
"185",3234
"186",3238
"187",3312
"188",3316
"189",3375
"190",3379
"191",3382
"192",3398
"193",3436
"194",3449
"195",3454
"196",3506
"197",3519
"198",3521
"199",3537
"200",3546
"201",3549
"202",3557
"203",3710
"204",3759
"205",3812
"206",3819
"207",3825
"208",3854
"209",3855
"210",3862
"211",3881
"212",3883
"213",3896
"214",3900
"215",3904
"216",3910
"217",3919
"218",3923
"219",3960
"220",3971
"221",3974
"222",3988
"223",4007
"224",4122
"225",4153
"226",4173
"227",4175
"228",4185
"229",4190
"230",4195
"231",4202
"232",4219
"233",4221
"234",4230
"235",4239
"236",4254
"237",4260
"238",4267
"239",4283
"240",4300
"241",4442
"242",4449
"243",4462
"244",4470
"245",4480
"246",4492
"247",4503
"248",4510
"249",4521
"250",4522
"251",4525
"252",4526
"253",4564
"254",4568
"255",4578
"256",4581
"257",4612
"258",4613
"259",4614
"260",4618
"261",4619
"262",4632
"263",4647
"264",4648
"265",4652
"266",4655
"267",4667
"268",4677
"269",4699
"270",4757
"271",4769
"272",4796
"273",4816
"274",4853
"275",4862
"276",4887
"277",4898
"278",4903
"279",4906
"280",4907
"281",4937
"282",4954
"283",4969
"284",4978
"285",4986
"286",4996
"287",5017
"288",5028
"289",5043
"290",5057
"291",5064
"292",5081
"293",5111
"294",5197
"295",5220
"296",5236
"297",5244
"298",5246
"299",5260
"300",5263
"301",5267
"302",5271
"303",5278
"304",5288
"305",5301
"306",5306
"307",5311
"308",5312
"309",5327
"310",5334
"311",5338
"312",5339
"313",5350
"314",5351
"315",5352
"316",5363
"317",5369
"318",5388
"319",5395
"320",5402
"321",5404
