"January","February","March","April","May","June","July","August","September","October","November","December"
61,53,61,59,67,82,98,73,67,67,61,75
710,666,801,794,768,731,704,722,749,782,721,719
72,49,63,61,43,51,53,55,56,62,67,64
18,25,33,27,15,10,15,20,19,24,18,20
44,45,40,20,27,27,37,30,30,33,39,45
86,70,68,68,93,86,89,95,91,73,74,81
84,81,63,64,89,74,84,71,67,79,71,80
93,60,54,62,66,67,82,67,59,59,69,73
67,59,51,41,41,36,46,58,50,49,62,71
17,10,14,11,6,5,11,10,4,7,8,6
16,26,22,22,52,60,51,68,37,35,39,32
3,4,1,1,4,1,1,2,1,1,1,5
