"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
6.3386683,5.6827836,5.4059815,5.217019,5.5633388,5.5395904,5.1832213,5.196296,6.023983,6.195545,6.0486436,6.034568,5.9151883,6.189961,6.8095756,6.6185527,7.0525007,7.101546,6.7668524,5.7386165,5.4764647,5.3948445,5.573909,5.3334575
5.4678154,5.371914,5.161389,4.946421,4.6832714,4.806882,5.024055,4.769382,5.097663,5.661864,6.4612656,6.8067045,6.862625,7.177544,7.494835,7.4913907,7.798603,8.044806,7.5586233,6.559296,6.801936,6.6921635,6.6719427,6.621526
6.2707496,5.9781075,5.87654,5.8100677,5.8853087,5.9089775,5.9716887,5.75065,6.002617,6.251722,6.5119524,6.687951,6.765419,6.9293404,7.255562,7.721153,8.075421,8.063086,7.62437,7.0402565,6.827593,6.5127907,6.3205924,6.353462
4.361785,3.9774156,3.9628046,4.0180182,3.6570587,3.9025924,4.2213535,4.145941,4.7819333,4.982844,5.1567926,5.5307455,5.5995154,5.6849427,5.826855,6.035986,6.1381125,5.7499137,5.2605515,4.5469117,4.910357,5.0708003,5.054746,4.5123625
4.2777967,4.592451,4.7902794,4.9822664,5.3659215,5.6431594,5.881603,6.0826077,5.8209014,5.702664,5.355094,5.15768,5.046246,5.017583,5.2353444,5.820717,5.4201283,5.799611,5.66502,5.452502,5.067913,5.097527,5.002572,5.095104
5.2324195,5.462537,5.7465334,5.9899764,6.0183797,6.1007304,6.089212,5.32216,4.8375998,3.6491117,3.042176,3.0201828,3.566305,4.338204,4.3811946,4.332321,3.6880424,3.269418,3.5881758,3.502977,3.4490812,3.7478685,3.8519528,4.304386
5.495104,5.56125,5.480922,5.3356867,4.929338,4.7042994,4.8718786,4.7714553,4.576136,4.491833,4.2760363,4.7497096,5.024682,6.0430365,5.001707,4.315747,4.4911456,3.7698984,3.8590698,3.6716633,3.4497783,3.5406122,3.8647187,4.0118465
8.11218,8.129324,8.118315,7.964828,7.837012,7.696135,7.253091,7.9986596,8.402964,8.274282,7.341695,6.96066,6.595321,6.1533113,6.038186,6.1418734,6.4133415,6.63432,6.9272857,7.2390223,7.541088,7.411313,7.317043,7.1901946
6.807851,6.6900973,6.648471,6.68694,6.720276,6.7646484,6.615419,7.208704,7.347036,7.182854,6.8294377,6.468775,7.662891,7.044526,6.704043,7.1387997,6.4620214,6.4620543,6.612127,6.1074133,6.321548,6.259216,6.2792597,6.128748
7.1117315,7.089535,7.2425585,7.325226,7.463448,7.5129757,7.4616094,7.431156,7.043564,6.744869,6.533172,6.37487,6.365055,6.4949417,6.4248257,6.788596,6.9543457,6.869162,7.6829367,7.674564,7.6636543,6.896149,6.839648,6.47009
