HMM

      Avg_Silhouette_Value
 [1,]            0.0000000
 [2,]            0.9617686
 [3,]            0.8916694
 [4,]            0.8742184
 [5,]            0.8723353
 [6,]            0.8719666
 [7,]            0.8691414
 [8,]            0.8696031
 [9,]            0.8701647
[10,]            0.8733355
[11,]            0.8724677
[12,]            0.8717273

      CH_Value
 [1,]  0.00000
 [2,] 12.85810
 [3,] 37.90396
 [4,] 32.17464
 [5,] 30.39879
 [6,] 25.25161
 [7,] 21.12971
 [8,] 19.63780
 [9,] 17.25800
[10,] 15.78441
[11,] 14.69771
[12,] 13.10648

     DB_Value
 [1,] 0.000000
 [2,] 1.997550
 [3,] 1.989114
 [4,] 1.988671
 [5,] 1.985150 este
 [6,] 1.987568
 [7,] 1.988794
 [8,] 1.989078
 [9,] 1.991345
[10,] 1.991804
[11,] 1.994909
[12,] 1.995465
