"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
5.4887156,5.405533,5.574267,5.563855,5.088164,4.914842,4.889888,5.9532113,6.2165513,6.4525156,6.648991,6.7442446,6.718124,6.6212597,6.4936566,6.5153356,6.529386,6.435066,6.3604,5.8849325,5.686981,5.3453794,5.4522977,5.6787457
5.1996436,4.873532,4.7416053,4.8282027,4.4681706,4.5472193,4.498102,4.9456587,6.059964,5.995432,5.785849,6.120217,6.584369,7.0033183,7.325405,7.555447,7.300467,7.113032,6.4249296,5.912023,5.9006114,5.890944,5.6422915,5.3268504
4.9542627,4.771529,5.0739517,5.373969,4.7419753,4.549765,4.8039303,5.206774,6.3559103,6.5889864,6.7431803,7.1578794,7.3279033,7.5975237,8.385558,7.8272686,7.623447,7.6885495,7.2884417,6.3964596,5.9082723,5.5723085,5.7871394,5.844603
7.35271,7.2946415,7.024884,6.7704325,6.29464,5.8737245,5.4390993,7.7480044,7.904453,7.3712177,7.642205,7.892326,8.32545,8.390958,8.340884,8.493126,8.714057,8.445858,7.953617,7.4166417,7.392661,7.2021236,7.2849073,7.1896815
6.969561,6.814954,6.625322,6.517831,6.510877,6.5171976,6.383281,7.896108,7.3979697,6.8188963,6.2491994,5.8412094,6.0747056,6.757698,7.264992,7.5633073,7.7022185,7.7184224,7.5440326,7.3010936,7.013659,6.0834255,5.748015,5.544153
6.3386683,5.6827836,5.4059815,5.217019,5.5633388,5.5395904,5.1832213,5.196296,6.023983,6.195545,6.0486436,6.034568,5.9151883,6.189961,6.8095756,6.6185527,7.0525007,7.101546,6.7668524,5.7386165,5.4764647,5.3948445,5.573909,5.3334575
5.81064,5.858376,6.3325877,6.656156,6.76346,6.4211245,6.013528,6.575243,7.1818414,7.3170094,7.6772904,7.872475,8.065883,8.370665,8.403456,8.666168,9.164923,9.0929365,8.343072,7.0955534,7.424911,7.128831,6.579091,6.6629453
7.297441,7.052987,6.894191,6.7873683,6.8337784,7.08405,7.1853766,8.467855,8.525056,8.346237,8.14821,7.8129644,7.6495113,7.6150103,7.6802416,7.6549287,8.1925535,8.35243,7.972974,7.779284,7.607364,7.646473,7.919206,7.9300895
7.6004434,7.012589,7.067788,6.9287667,6.899504,6.4821944,6.4293966,6.470158,6.9682508,6.8406734,7.7659154,8.153083,8.185694,8.257974,8.396305,8.961901,8.990968,8.97578,8.216021,7.434903,7.507617,7.679574,7.281558,6.96898
6.779601,6.73063,6.98645,6.9481792,6.8734827,6.6054792,6.7936177,8.3984785,8.78823,8.797894,8.699357,8.711241,8.327284,8.481957,9.329181,9.43128,9.247502,8.4831705,7.42479,6.8309484,6.8691173,7.181854,7.256527,7.4476824
7.324472,7.0858064,6.612098,6.4882083,6.2387466,6.1422687,6.604168,6.639166,7.673252,7.6831923,7.678322,7.6942425,7.6689353,7.778642,8.248616,8.850192,9.148738,8.6827345,8.134865,7.3603277,7.285706,7.2880425,7.317955,7.1517715
6.7697234,6.5604634,6.3380356,6.228854,6.0266423,6.3599386,6.373,7.139142,7.2826943,7.183261,7.1735735,7.3745384,7.651822,7.9146123,8.130337,8.352911,8.723749,8.627348,8.134215,7.3395967,6.943805,6.8308926,6.815926,6.7999344
4.65799,4.2035356,4.0124373,4.13045,4.3531356,4.5468144,4.8616295,5.2515817,5.491229,6.02589,6.224018,6.102579,5.9511266,6.121186,6.433336,7.182913,7.6499453,7.7316074,7.322354,6.175168,5.884622,5.787211,5.4961042,5.4791293
5.4156365,5.1875863,4.7846293,4.251593,3.954476,4.306848,5.02431,5.711639,6.8050995,6.8165336,7.1464834,7.3972774,7.414882,7.3067417,7.51662,8.124245,8.014145,7.745672,7.2438755,5.840315,5.838845,6.177682,6.3653135,6.5980706
7.093781,6.513802,5.8250527,5.053085,5.0117583,5.1243324,4.955168,5.413284,5.9443617,5.9274373,6.0997515,6.4005857,6.7208567,6.834313,6.809629,7.066016,7.299207,7.197233,6.8820105,6.0186486,5.9903913,5.4764895,5.4496927,5.4708
5.4678154,5.371914,5.161389,4.946421,4.6832714,4.806882,5.024055,4.769382,5.097663,5.661864,6.4612656,6.8067045,6.862625,7.177544,7.494835,7.4913907,7.798603,8.044806,7.5586233,6.559296,6.801936,6.6921635,6.6719427,6.621526
6.2707496,5.9781075,5.87654,5.8100677,5.8853087,5.9089775,5.9716887,5.75065,6.002617,6.251722,6.5119524,6.687951,6.765419,6.9293404,7.255562,7.721153,8.075421,8.063086,7.62437,7.0402565,6.827593,6.5127907,6.3205924,6.353462
6.0723352,5.924018,5.961479,6.0345163,5.9745264,5.9026704,5.7668266,5.9958506,5.611797,5.5261517,5.3631883,5.3411713,5.760642,6.323461,6.7297835,6.7233458,6.8156514,6.783933,6.6840096,5.9706388,5.795141,5.3571534,5.3942075,5.296712
4.361785,3.9774156,3.9628046,4.0180182,3.6570587,3.9025924,4.2213535,4.145941,4.7819333,4.982844,5.1567926,5.5307455,5.5995154,5.6849427,5.826855,6.035986,6.1381125,5.7499137,5.2605515,4.5469117,4.910357,5.0708003,5.054746,4.5123625
3.8692124,3.711149,3.5407324,3.7756658,3.9466345,4.0136776,3.6873424,3.5926955,4.2830386,4.574566,4.5474215,4.159895,4.720181,5.142724,5.03524,5.440056,5.9832,5.8045573,5.475459,5.564147,5.3317275,5.3321514,5.010022,4.5336447
5.079142,5.0389776,5.0339313,5.152627,5.0887847,5.046444,5.3876634,6.29169,6.5786595,6.6255546,6.623384,6.654108,6.9185467,7.154219,7.592402,7.0348396,7.034652,6.684406,7.2445874,4.9163036,4.503333,5.7590775,6.4275618,5.9914036
6.0314193,5.627345,5.528592,4.6579447,4.377728,4.6080527,4.6372414,5.3433595,7.150725,7.193342,7.005804,6.680097,6.9105115,7.196501,7.5115623,7.5064216,6.916584,6.410079,6.9435577,6.3154025,6.6913233,6.1479173,5.587559,5.6623693
0.82293177,1.1455398,1.6149724,2.0809276,2.944003,3.1436532,3.2815537,2.975703,4.5812755,4.169837,3.5732315,3.3207693,3.040748,3.2249684,4.192997,5.7037034,5.7184577,5.647981,4.8602057,4.0152497,3.9034975,3.5642064,3.181695,3.196258
4.697796,4.058179,4.63985,4.6451335,4.719896,4.55266,4.806523,6.1379685,6.5471263,5.892925,4.6680913,4.2900076,4.168812,4.5563164,5.70398,3.9487424,3.8275957,3.0340178,2.3625002,1.5728004,2.5032344,3.3423448,3.8170443,4.2558274
4.2777967,4.592451,4.7902794,4.9822664,5.3659215,5.6431594,5.881603,6.0826077,5.8209014,5.702664,5.355094,5.15768,5.046246,5.017583,5.2353444,5.820717,5.4201283,5.799611,5.66502,5.452502,5.067913,5.097527,5.002572,5.095104
5.048073,4.570876,4.1917644,4.9878693,5.6369634,5.776675,4.846761,4.9332867,4.2787585,3.35102,2.9229004,3.3784623,3.4267812,3.5733557,4.801469,5.3786917,6.4802136,5.994784,5.857471,5.5739684,6.3236322,6.5191603,6.430571,5.468353
6.9955134,6.005702,5.31311,4.8806815,4.1090903,4.3980255,4.356887,4.02,4.314987,4.925003,4.1625614,3.467793,3.4965003,5.1645412,5.2387815,5.0967503,4.395385,5.328616,5.6386747,5.616097,5.1984377,5.240271,5.2545643,5.481455
5.344475,4.826727,4.717364,4.888317,5.053745,5.1314645,5.1277432,4.528306,5.348643,5.9523234,5.5309687,4.982154,4.6197968,4.324468,4.4813433,5.0361543,5.40467,5.1674867,5.9303083,6.4986525,6.797002,6.60933,6.534811,6.493624
6.587882,6.6782246,6.9325113,6.832352,6.7926517,7.0211926,6.720675,7.654585,7.005666,6.23267,5.646292,5.414678,5.435103,5.505255,5.5681252,5.5414844,5.535162,5.615919,5.447399,4.6875343,4.2905874,4.6832886,5.0048065,5.1703806
5.2324195,5.462537,5.7465334,5.9899764,6.0183797,6.1007304,6.089212,5.32216,4.8375998,3.6491117,3.042176,3.0201828,3.566305,4.338204,4.3811946,4.332321,3.6880424,3.269418,3.5881758,3.502977,3.4490812,3.7478685,3.8519528,4.304386
5.232709,5.394952,5.752958,6.4638357,6.293165,5.818041,6.262536,7.405244,7.9766054,7.509836,6.2946286,5.333664,4.384586,4.2286816,5.3969665,4.15774,4.074461,4.353933,4.6409974,4.211972,4.5710454,5.5301104,6.1599927,6.505574
6.194127,5.986136,6.0890093,6.1829305,6.5052094,6.6756706,6.7329664,5.9268084,5.7252774,5.465219,5.028299,4.709206,4.412006,4.3205237,4.295723,4.603964,5.1230016,5.4730167,6.2623897,6.3959618,6.7868443,7.036873,7.1234035,6.966127
6.815565,6.6880674,6.432004,6.124821,5.999454,5.8740807,5.90249,5.1425185,6.9015217,6.72864,6.262711,5.6887407,4.9640336,4.7318597,5.0248647,5.5532227,6.3365,6.80931,7.4176345,7.1654077,7.4358053,7.471079,7.413472,7.278517
5.495104,5.56125,5.480922,5.3356867,4.929338,4.7042994,4.8718786,4.7714553,4.576136,4.491833,4.2760363,4.7497096,5.024682,6.0430365,5.001707,4.315747,4.4911456,3.7698984,3.8590698,3.6716633,3.4497783,3.5406122,3.8647187,4.0118465
7.072791,7.084875,7.0324345,6.9204383,6.892322,6.674632,6.376989,6.738687,7.035241,6.619532,5.7537932,5.550338,5.612475,6.0082183,5.844163,5.707216,5.5782413,6.3093457,6.4811015,6.575088,6.5816975,6.6497574,7.2167015,7.572738
8.775121,8.549145,8.796048,8.671212,8.325974,7.9568667,7.790499,7.8395915,9.777635,9.311274,9.458726,9.469951,9.187042,8.751109,8.534128,8.569014,8.628647,7.7277746,7.3826513,7.5355725,8.060741,8.400868,8.29583,8.143152
8.8448925,8.694247,8.372623,7.824453,7.164748,7.336296,7.6246195,8.713215,9.266306,8.930335,9.341971,9.553165,9.584236,9.335328,9.236701,8.841268,8.780479,8.0713005,8.231652,7.848795,8.05464,8.261478,8.252008,7.978005
7.039367,6.8896685,6.836345,6.6244946,6.4144287,6.235916,6.1811113,7.373027,7.5777183,7.9058967,8.282746,8.532252,8.877057,8.896703,8.598952,8.491906,8.659125,8.15472,8.051596,8.353766,8.225678,8.068043,7.6420565,7.169145
8.095875,7.622195,7.2628317,7.05864,6.9617357,7.063684,7.192625,6.9672766,7.265206,6.422777,5.4804125,4.8933687,4.646694,4.8271594,4.912401,5.0190034,5.4696445,6.4441333,7.3922477,7.5780597,7.575384,6.9742503,6.5717654,5.9273567
5.7017164,5.628252,5.6482997,5.6664577,5.5483274,5.554202,5.5975084,5.8124666,6.1021376,6.1975884,6.5091996,6.5597997,6.4381123,6.344075,6.353337,6.8862267,7.6409497,7.8905177,7.239387,6.2629933,6.0042043,6.0159426,5.931592,5.7539353
5.6235676,4.9519954,4.7515936,5.053472,5.012342,5.056903,5.0101943,6.214729,6.483923,6.504666,6.999452,7.1343417,6.8339047,6.710893,6.9314175,7.355609,7.6363487,7.539651,7.442833,7.0573287,6.7904663,6.715764,6.3706775,5.975817
6.020397,5.6911526,5.3446884,5.5477343,4.8006306,4.8968115,5.4003468,4.888891,5.2002482,5.1427956,5.006787,5.226393,5.5615106,5.983717,6.896107,8.188366,8.625495,7.672149,6.913145,6.4838533,6.6291685,6.627219,6.499471,6.793213
4.2291417,4.1395607,4.171227,4.342001,4.7782636,4.9365497,5.0137115,5.285905,6.5957184,6.6377554,6.462962,6.3697815,6.2316384,6.3607774,6.4813294,6.997296,7.490925,7.416545,7.6618857,7.7918053,7.9922414,8.030393,8.046192,8.24964
8.11218,8.129324,8.118315,7.964828,7.837012,7.696135,7.253091,7.9986596,8.402964,8.274282,7.341695,6.96066,6.595321,6.1533113,6.038186,6.1418734,6.4133415,6.63432,6.9272857,7.2390223,7.541088,7.411313,7.317043,7.1901946
8.6905365,8.95942,9.214622,9.409172,9.096867,8.772709,8.417588,9.854567,10.262286,9.989446,9.524998,9.506499,9.433954,9.253674,9.238417,8.823159,8.956962,8.526056,8.80617,8.532972,8.656072,8.741631,8.76462,8.640006
8.608933,8.512685,8.375691,8.101494,7.8542824,7.684275,7.628125,8.155487,8.357205,7.3423247,6.4559355,5.750144,5.546514,5.5577874,5.9270673,6.526619,7.5770555,8.326879,9.156883,9.083417,9.156392,9.213531,8.962266,8.539128
6.930535,6.9120426,7.0080576,7.062442,6.920938,6.958744,7.0282025,7.65491,8.174914,7.705579,7.5120916,7.234504,7.0989075,7.4537187,7.6923137,8.094182,7.9269648,7.67301,7.568604,7.182267,6.861575,6.4979486,6.375324,6.541521
6.9578714,7.282855,7.458819,7.5756526,7.605666,7.6593227,7.485454,8.453057,8.58093,8.388654,8.632328,8.556446,8.534456,8.736109,8.687652,8.6513405,8.662152,7.95312,7.8482027,7.5567827,7.0972733,6.985841,6.851674,6.736618
9.163137,9.312697,9.201778,9.331802,9.419344,9.581386,9.445435,8.8311825,9.314342,9.7593355,9.592581,9.527536,9.2619505,8.883913,8.896929,9.034803,9.001009,8.358709,8.232534,8.192818,8.00399,8.268066,8.159272,7.854648
9.447021,9.335322,9.111064,9.032691,8.918462,8.985042,8.765955,8.263962,9.924325,10.05975,9.852689,9.665693,9.845569,9.722188,9.553191,9.24916,9.208439,8.435544,8.269162,8.09886,8.088226,8.123783,8.095125,8.058183
6.807851,6.6900973,6.648471,6.68694,6.720276,6.7646484,6.615419,7.208704,7.347036,7.182854,6.8294377,6.468775,7.662891,7.044526,6.704043,7.1387997,6.4620214,6.4620543,6.612127,6.1074133,6.321548,6.259216,6.2792597,6.128748
6.768337,6.84058,6.905408,7.122441,7.1645513,7.227612,7.2486167,7.6967716,8.057251,7.936413,7.9596505,7.859596,7.771232,7.7300873,7.8024907,7.9086246,7.9743595,7.355103,7.54462,6.9499464,6.972748,6.949543,6.795937,6.7669826
6.6798096,6.725944,6.9367776,7.155138,7.5402527,7.9656,7.9256306,7.9905386,7.3026133,7.0298424,6.958754,6.782663,6.5631647,6.521648,6.563667,6.7626796,7.331059,7.3231444,7.63826,7.1067963,7.221868,7.3538046,7.3848467,7.405118
9.805372,9.8779335,9.880053,9.849153,9.794258,9.762699,9.70712,9.176079,10.385612,10.294516,9.896354,9.552789,9.496245,9.721712,10.029963,10.191767,10.094929,9.177992,9.117257,8.68968,8.971231,8.980009,8.903648,8.685329
7.1117315,7.089535,7.2425585,7.325226,7.463448,7.5129757,7.4616094,7.431156,7.043564,6.744869,6.533172,6.37487,6.365055,6.4949417,6.4248257,6.788596,6.9543457,6.869162,7.6829367,7.674564,7.6636543,6.896149,6.839648,6.47009
6.648659,6.63147,6.4580393,6.468855,6.506686,6.6896396,6.6710405,7.4695177,7.339347,7.168483,6.8787293,6.4436107,6.1872573,5.9617834,5.4836354,5.6597533,5.6866374,6.015959,6.7370315,7.332488,7.3282747,7.2551055,7.1579137,6.9996343
6.8585663,6.907008,7.1393046,7.2748075,7.430778,7.575699,7.783682,7.400772,8.172747,8.978877,8.714931,8.617639,8.387879,8.066449,7.7780747,7.5539675,7.8382106,7.215174,7.6666317,7.7876716,7.99703,8.197673,8.294733,8.296515
8.342276,8.535077,8.699435,8.854305,8.917232,8.792008,8.59874,8.195205,8.59766,8.975581,8.822433,8.281127,7.2171297,6.686205,6.38009,6.574039,7.5297837,8.0942745,8.85217,8.992207,9.486979,9.784355,9.974425,9.805796
8.542316,8.533229,8.570103,8.59886,8.253603,8.273077,8.360972,9.619595,9.639199,9.433868,9.511362,9.3729105,9.136106,8.60311,8.423972,8.218306,7.9498715,7.8679957,8.012917,7.4715447,7.167277,7.0338087,7.0044,7.1309133
7.5752788,7.276056,7.103633,6.970331,6.671579,6.555184,6.6811495,7.7224917,7.8305407,7.042447,6.239473,5.879062,5.2794957,5.0548506,5.1320577,5.5687504,6.1818204,6.532625,7.5917473,7.823056,7.844989,7.7675047,7.605406,7.3413315
8.038182,7.869122,7.891522,7.871988,7.597007,7.4298105,7.0548964,7.442569,7.1744204,6.8139243,6.34937,6.1023455,6.1761794,7.411672,7.378232,7.25886,7.450233,6.6584864,7.1111927,7.044211,7.0490603,7.0200953,7.091074,7.0860686
6.817906,6.32131,6.3869123,6.863014,6.2408767,5.8352604,5.6989827,6.542255,7.012205,8.16414,8.091106,8.0975895,7.8388247,7.9366198,7.846988,7.883343,8.001025,7.216541,7.267351,7.196234,7.462792,7.294995,7.0346656,6.68921
6.4628367,6.472934,6.504822,6.5906076,6.8353786,6.86297,6.8154573,8.354372,9.165571,9.052905,8.520891,7.7685223,7.5683646,7.7061696,7.913873,8.083621,7.957704,7.625201,7.9425855,8.041607,7.8673506,7.6404963,7.4393516,7.4455953
