"January","February","March","April","May","June","July","August","September","October","November","December"
215,203,209,124,63,43,16,4,10,36,50,137
318,203,178,180,169,105,59,27,33,76,130,241
82,79,49,73,143,210,199,123,102,147,208,189
196,152,100,69,85,88,76,35,55,106,223,253
114,158,261,283,193,73,24,4,1,1,5,34
90,152,315,237,67,9,3,0,0,0,1,10
119,69,48,51,104,124,133,113,114,181,177,162
45,65,68,152,295,246,153,25,8,17,23,47
55,41,34,42,102,176,211,237,213,191,180,118
17,20,6,15,25,88,169,213,186,154,106,41
18,5,2,4,21,50,129,263,267,204,94,36
2,1,1,0,4,18,99,227,241,158,33,3
