"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
7.584846,7.340968,6.9814763,6.881307,6.9493756,7.161693,7.1214347,7.2517347,7.050353,7.563159,7.5555167,7.6118946,7.5181427,7.096867,7.186179,7.5897536,8.395114,8.810472,9.063475,8.183575,8.046949,7.824997,7.588218,7.565736
7.297441,7.052987,6.894191,6.7873683,6.8337784,7.08405,7.1853766,8.467855,8.525056,8.346237,8.14821,7.8129644,7.6495113,7.6150103,7.6802416,7.6549287,8.1925535,8.35243,7.972974,7.779284,7.607364,7.646473,7.919206,7.9300895
6.951261,6.856754,6.893517,6.816837,6.9042077,6.6466355,5.835439,6.0537677,6.7961397,6.990867,7.091888,7.206386,6.9850407,6.5582085,6.525581,6.8951154,7.62541,8.078629,8.5313,8.345969,8.393697,8.526714,8.69852,8.500131
8.443747,8.6368475,8.825903,8.718252,8.527207,8.452162,8.418881,8.555901,8.576394,8.189874,7.952374,7.8628044,7.437711,7.1348834,6.9555726,7.232264,7.712701,7.8284297,8.387717,8.335738,8.355882,8.294737,8.283078,8.189109
8.850299,8.981492,8.936333,8.811289,8.554825,8.2605505,7.8781013,7.7433667,7.9949226,7.542976,7.0963635,6.9764423,7.2006793,7.586174,7.448216,7.4657784,7.7050557,7.643331,8.039109,8.259568,7.8425965,7.618016,7.3918686,7.2245436
7.267655,7.4382,7.8117914,7.9875555,8.054926,7.964645,7.8051906,7.7917895,7.926869,8.046775,7.518395,7.2592883,7.203996,7.2897363,7.4015737,7.900796,8.295736,8.075644,8.076117,7.4237666,7.360983,7.2843747,7.2330914,7.243456
7.9447165,8.183904,8.392718,8.292381,8.172129,8.192632,7.8566685,8.89873,9.619397,8.808156,7.883084,7.398482,7.156185,7.166537,7.395932,7.7378364,8.338315,8.34341,8.626714,9.062821,8.92369,8.5706,8.354498,8.520821
8.250292,8.42077,8.613739,8.682846,8.474919,8.077386,7.7081904,6.6679273,6.5975223,6.739832,6.361499,6.0291047,5.9088173,5.9981775,6.218492,6.497496,7.0009713,7.1683106,7.740034,8.165633,8.487091,8.5380535,8.574669,8.610725
8.608933,8.512685,8.375691,8.101494,7.8542824,7.684275,7.628125,8.155487,8.357205,7.3423247,6.4559355,5.750144,5.546514,5.5577874,5.9270673,6.526619,7.5770555,8.326879,9.156883,9.083417,9.156392,9.213531,8.962266,8.539128
8.327894,8.085623,8.054787,7.963609,7.844752,7.546461,7.179394,7.8517084,7.5088825,6.9212685,6.329431,5.9059863,5.728997,6.1426334,6.5510883,7.1105313,7.537943,7.714456,8.229784,7.700939,7.9338136,8.0685425,8.119848,7.8840785
7.4231944,7.528458,7.1422815,6.7908897,7.3488803,7.7297807,7.4971128,7.5847154,8.219551,8.38791,7.867371,7.52217,7.3869376,7.6660604,8.095879,8.4682045,8.852809,8.65404,8.72914,8.358858,8.17876,8.081371,7.8926897,7.7668576
7.396518,7.569265,7.8043594,8.048355,8.167264,8.317052,8.398053,7.941031,8.191141,8.123077,7.738999,7.3094563,7.007813,6.908061,7.075983,7.456795,7.9865375,7.8313537,8.164367,7.971388,8.402685,8.624115,8.706684,8.687773
8.683317,8.819445,8.944402,9.019489,9.074591,9.05043,8.737627,8.01316,7.8078365,7.625248,7.3897767,7.2972126,7.2255654,7.3231955,7.370848,7.7448564,7.9888177,7.9790797,8.8277,9.052236,9.282563,9.453016,9.601908,9.704345
8.0999155,8.158172,8.257908,8.32294,8.38034,8.421904,8.348196,7.113899,7.2890043,7.8044777,8.141642,8.208472,8.084085,8.039874,8.040265,8.042703,8.497775,8.166594,8.280396,8.031784,8.086296,8.3075905,8.245491,8.179416
8.209286,8.128181,8.208899,8.313634,8.261548,7.952962,7.3661375,7.1688356,7.310503,7.3232756,6.9009542,6.3098865,6.218988,6.276013,6.0070744,6.3516216,6.8842144,7.058941,7.800366,8.2344,8.494172,8.371772,8.163242,7.8769507
7.4152856,7.5801086,7.668932,7.824239,7.781662,7.7672873,7.7461705,7.314469,7.6065764,7.4964485,7.645618,7.4418383,7.320134,7.233828,7.1550803,7.187697,7.3608522,7.0690165,7.377324,7.8273735,8.270688,8.430902,8.531796,8.664342
8.322013,8.294766,8.167855,8.10141,8.1123085,8.14543,8.001646,7.258226,7.9387736,8.120343,7.972759,7.5718265,7.2524104,7.082067,7.187132,7.3622885,7.763461,8.127181,8.796255,8.327044,8.318587,8.463995,8.639756,8.823842
9.657207,9.808123,9.6283045,9.312991,8.808811,8.517105,8.214878,7.18498,7.305548,7.209612,7.1505523,7.054102,6.903057,6.807756,7.2160053,7.9558144,8.273635,7.7132235,7.6194434,7.191839,7.5603714,7.95023,8.228837,8.353508
7.4945984,7.3734446,7.394655,7.657594,7.8947735,8.22398,8.354793,7.9560633,8.347953,8.3886385,7.789434,7.6408415,7.653152,7.5840135,7.513369,7.456775,7.6522717,7.561961,7.948298,8.625288,9.025391,9.243226,9.257656,9.014584
7.8203588,7.8488793,7.9451494,8.07836,8.13093,8.126215,7.999036,7.859372,7.0765195,6.7036266,6.433801,6.3080025,6.039172,5.8134475,5.9984837,6.376493,7.0199213,7.556841,8.572609,8.93299,9.386528,9.571378,9.647414,9.483914
9.056001,9.17899,9.305973,9.3365345,9.23445,9.042228,8.662614,7.847341,8.036995,7.8967023,7.7395954,6.9900513,6.1397653,5.8907547,6.461537,7.645374,8.546847,8.511171,8.744222,8.629749,8.728567,9.057456,9.283005,9.416246
9.380825,9.371748,9.28757,9.1593685,8.892735,8.754567,8.52829,7.933737,8.248038,8.235376,7.57804,6.9288173,6.4957743,6.4926767,6.7191563,7.0095882,7.9956846,8.8238325,9.3767605,8.981674,9.161867,9.204089,9.187322,9.062233
6.9415083,7.1906886,7.399642,7.7110314,7.8572903,7.81386,7.8062935,7.308372,7.664749,7.415224,7.170567,6.9345765,6.453503,6.275473,6.53423,7.0457144,7.810792,8.541381,8.979455,9.436104,9.630267,9.747117,9.816368,9.741451
7.0214624,6.8723526,6.9336715,7.1568594,7.321953,7.6299014,7.7671833,8.166282,8.659293,8.4972515,8.149344,8.221172,8.253744,8.313954,8.277003,8.217651,8.468714,8.4374275,8.513912,8.662665,8.701733,8.638686,8.429258,8.29912
8.154431,8.101048,8.21835,8.310119,8.3914385,8.540559,8.546786,8.083241,7.9084196,7.7166142,7.4202538,7.01756,6.6856637,6.59012,6.5722256,6.885233,7.9574475,8.692582,9.499248,9.611422,9.797824,9.846851,9.858512,9.897098
9.798413,9.745631,9.731125,9.633158,9.320844,9.029428,8.636254,7.7433224,7.2671432,7.027017,7.029296,7.0304065,7.1089087,7.2243032,7.4093556,8.135313,8.335607,8.278992,8.28251,7.5231576,7.70733,7.894706,7.9639673,8.081925
7.744096,7.55377,7.4467316,7.332907,7.3080783,7.3689504,7.389798,8.082914,8.44398,8.37215,7.7811885,7.389759,7.286254,7.2173223,7.28705,7.285038,7.6067486,8.132826,8.461113,8.4770775,8.726896,8.81931,8.897336,8.911773
7.8531656,7.583983,7.4920006,7.5505886,7.5878615,7.71679,7.648817,6.7512417,7.56367,7.890925,8.101906,7.903437,7.7371774,7.734326,7.891085,8.790526,9.02653,9.226476,9.3425865,8.8528595,8.831713,8.8365,8.76674,8.6809845
9.162187,9.18888,9.1232,8.807246,8.4462805,8.178865,7.8669496,8.095505,8.646565,8.355641,7.8911266,7.707948,7.5693665,7.335339,7.3399477,7.258923,7.491405,7.6318226,8.268683,8.510758,8.966857,9.200133,9.252782,9.239473
9.062806,9.076842,8.962461,8.8303795,8.531885,8.259596,7.9915476,7.6073895,7.6793933,7.440913,7.1632957,7.0743647,6.9517536,6.8544025,7.1154118,7.495344,8.036609,7.8236513,7.8768015,7.318519,7.4811287,7.7252903,7.979902,8.068659
7.106895,7.3458467,7.579641,7.7077136,7.5182476,7.3603525,7.2900786,7.75735,7.9489717,7.842907,7.621146,7.4166975,7.3102217,7.6670337,7.7704196,8.267973,9.493124,9.637842,9.529014,8.400602,8.197926,8.325135,8.374902,8.171983
7.2709947,7.211655,7.205247,7.294305,7.2207794,7.247272,7.6567454,8.303281,7.9023523,7.4126906,7.025141,6.8042283,6.824135,7.3515964,8.003135,8.904693,9.199302,8.87457,8.863833,8.006653,8.14713,8.2473135,8.163298,7.955057
7.6992455,7.442272,7.180027,6.8433323,6.553439,6.2930107,5.9837813,7.2788196,7.375747,7.038746,6.7154813,6.8436785,7.2741065,7.9378963,8.541066,8.764966,9.050055,8.807661,8.3978615,8.568891,8.514875,8.653779,8.642559,8.359373
7.907717,7.3830023,6.9658003,6.7307525,6.6923885,6.668176,6.1569343,7.6495695,7.71541,7.810877,7.854155,7.640033,7.4803414,7.6604247,7.7681055,7.7814965,8.05136,8.44408,9.11153,9.14941,9.125346,9.080197,8.9174795,8.622321
7.735451,7.634889,7.487181,7.2925634,6.752566,6.247847,5.7340107,5.976334,7.636574,7.456479,7.084551,6.8638477,6.6371727,7.1538043,6.9685717,7.537602,8.554803,9.390001,9.845552,8.847384,8.457228,8.329628,8.106268,7.8026924
6.4436407,6.4667125,6.531689,6.5635266,6.554286,6.6390033,6.449605,7.483008,7.4029145,6.729938,6.2679243,5.8020864,5.559627,5.581201,5.6565595,6.280614,7.9039407,9.312449,9.496409,9.082845,8.980562,8.736672,8.46078,8.056231
7.037577,7.083424,6.9825916,6.861235,6.8537927,6.9426675,7.156762,7.7300124,7.6110973,7.2196884,7.0162544,6.9492955,7.03387,7.333629,7.840313,8.381334,8.76508,8.617407,8.529525,8.7311735,8.126253,7.878522,7.7799993,7.7533903
8.492118,7.978156,7.7145014,7.47403,7.240192,7.1203175,6.875796,7.90873,7.7382617,7.585142,7.0664663,6.7968187,6.823998,7.025046,7.02506,6.8858337,7.4178047,8.57635,9.574315,9.054108,8.397364,7.953542,7.4520955,7.170142
6.996304,6.9716954,7.101109,7.2739763,7.470778,7.663049,7.625731,9.289793,9.036327,8.47596,7.689652,7.5279303,7.4030776,7.317537,7.363538,7.6426983,7.926388,7.7895103,7.8007846,7.6298037,7.698853,7.7109365,7.8619943,7.991842
7.465785,7.3701787,7.326469,7.342864,7.171298,7.1266637,7.7877846,8.140458,7.8699007,7.457081,6.997105,6.7669525,6.6487503,6.7894626,6.968707,7.240556,8.016503,8.167548,8.135895,8.395091,7.985372,7.9737105,8.011098,7.9033036
7.572955,7.2565646,6.9697137,6.8727293,6.816122,6.823602,7.374102,8.58374,8.720272,8.356804,7.8582425,7.4305873,7.280602,7.9007764,8.279688,8.341775,9.168029,9.230119,8.781965,8.707399,8.496951,8.469884,8.297293,8.140422
7.727899,7.701716,7.5115323,7.4259005,7.485576,7.52833,7.6068745,7.444466,7.415671,7.357162,7.2163754,7.078469,7.147627,7.351255,7.7181273,8.5385275,9.633135,9.739786,9.391951,8.787234,8.880491,8.70801,8.467548,8.026367
7.877998,7.84155,7.849966,7.912561,7.938424,7.9588094,7.2740865,8.270305,7.8422074,7.377482,7.19462,7.0815935,7.0788784,7.4207954,7.9972143,8.533423,8.897559,8.897868,8.55347,8.293361,8.410708,8.573911,8.580944,8.485016
8.247306,8.051467,7.86802,7.644304,7.4659057,7.4915657,6.955841,6.5968814,6.40413,6.4351516,6.4121857,6.2130427,6.5715303,7.087132,7.9014077,8.826535,8.846127,8.934869,8.623241,7.8763337,8.127712,8.128664,8.056689,7.635393
7.0204687,6.7822275,6.7639866,6.6679144,6.7858934,7.0050898,7.1058125,7.883982,7.5581055,7.2365165,6.8914366,6.7587104,6.689216,6.8085556,6.9858093,7.3577642,7.890394,8.433181,8.25049,7.8470073,7.9112515,7.6990037,7.6175776,7.776798
7.7546563,7.4933186,7.1547785,6.891378,6.7992444,7.0050845,7.3924885,8.490052,7.8421016,7.7016377,7.115514,6.828007,6.9973865,7.3584175,7.579076,8.423467,8.711634,8.73828,8.305724,7.4494724,7.2935405,7.121571,7.150037,7.4276323
7.3000636,7.355079,7.524422,7.420429,7.4568434,7.4939604,7.38762,7.8459053,7.3515778,6.704834,6.6840134,7.327449,7.660625,7.365769,7.6873713,7.9341245,8.693248,8.493739,7.7487407,7.0385394,6.9194136,7.2519374,7.4792886,7.791106
8.293902,8.133336,7.845904,7.5269446,7.3971,7.3559194,7.2967033,7.851433,8.499396,8.720093,8.518734,8.336894,7.8848696,7.633783,7.501712,7.958348,8.2118845,8.373868,8.606882,8.713337,9.069239,9.243059,9.303188,9.183201
8.427515,8.177026,8.128696,8.180071,8.192408,8.093417,7.946656,9.030487,9.236183,8.341325,7.82195,7.4887033,7.500748,7.4915285,7.568685,7.85725,8.145623,8.054444,8.039165,7.7872853,8.021806,8.033738,7.9780545,7.8229246
7.278017,7.23573,7.2865496,7.3728237,7.35813,7.3478136,7.19668,5.730034,7.647262,7.732021,7.5204625,7.2284656,7.149448,7.155647,7.450189,7.9315987,8.318136,8.14937,8.558769,8.353604,8.347775,8.3870125,8.087377,7.728298
6.850646,6.920322,7.274194,7.4558144,7.4618006,7.403607,7.230203,7.584929,7.658033,7.4221306,7.1500406,6.9637756,6.7836237,6.7924643,7.0732026,7.4231467,7.676626,7.661307,8.2479105,8.359179,8.418716,8.122694,7.640239,7.2697873
7.4144473,7.525846,7.578464,7.8243933,8.069143,8.233032,8.310358,8.808931,9.091741,8.740289,7.635662,6.2994742,5.2656417,5.1274414,5.6299186,6.644834,7.6942277,8.491287,9.164633,8.783233,8.712969,8.608308,8.478636,8.168689
7.993889,8.040861,8.051936,7.9280047,7.8566127,7.8139815,7.655635,8.957154,9.598974,8.948151,8.273008,7.940877,7.6427393,7.200792,6.74669,7.1074886,7.581015,7.356436,7.5095468,7.6650333,7.6230536,7.8857913,7.836717,7.477364
7.1606016,7.056043,7.2320538,7.4294047,7.707481,7.8565516,7.845959,7.356291,8.181993,8.075713,7.5851808,6.909702,6.193635,6.0357766,6.3693795,7.0923357,7.577194,7.841736,8.105287,8.063265,7.9808526,7.8489513,7.9833746,7.717883
8.579946,8.5755825,8.455332,8.312435,8.384856,8.152915,7.797171,6.9184456,8.154407,8.215508,8.393197,8.071137,7.9774013,7.987207,7.856176,7.533898,7.111591,6.7717566,7.1334844,8.379835,8.935754,9.016245,9.104443,9.15041
6.975539,7.192902,6.9764705,6.846806,6.8333855,6.860645,6.76914,7.8883166,8.0899105,7.8032746,7.5382395,7.4895782,7.461643,7.3403974,7.1067243,7.4241424,7.506043,7.5095916,8.0257,7.8192325,8.083231,8.460581,8.606036,8.547158
8.563653,8.512191,8.561835,8.690987,8.7530775,8.874072,8.822271,7.612277,7.9635015,8.107534,8.107622,7.5560565,7.634175,7.6977787,7.611191,7.7855124,8.045383,7.7380166,8.002815,7.601888,7.5789504,7.541628,7.6000943,7.823465
8.833325,8.648722,8.473549,8.3533,8.309742,8.433119,8.517871,8.147123,8.701324,8.370968,8.311787,7.697505,7.13771,6.8938017,7.1296225,7.3635745,7.824897,7.7071624,8.308857,8.28217,8.5166445,8.770994,9.06082,9.1670885
9.625424,9.5753565,9.4164295,9.238442,9.091041,9.012528,8.800566,7.796236,7.753751,7.5747857,7.0024014,6.3293257,5.877668,5.7883506,6.4035087,6.8886943,8.003282,8.492025,9.359282,9.814757,9.634391,9.43716,9.259859,9.189666
