"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
5.4887156,5.405533,5.574267,5.563855,5.088164,4.914842,4.889888,5.9532113,6.2165513,6.4525156,6.648991,6.7442446,6.718124,6.6212597,6.4936566,6.5153356,6.529386,6.435066,6.3604,5.8849325,5.686981,5.3453794,5.4522977,5.6787457
5.6705265,5.0525923,4.590889,4.658181,4.65895,4.6566744,4.5258484,5.666852,5.663073,5.661384,5.9982586,6.711745,7.028987,6.9619126,6.905385,6.647021,6.8122807,6.9227304,6.5339537,5.927366,5.947758,5.425223,5.0282507,4.970569
5.1996436,4.873532,4.7416053,4.8282027,4.4681706,4.5472193,4.498102,4.9456587,6.059964,5.995432,5.785849,6.120217,6.584369,7.0033183,7.325405,7.555447,7.300467,7.113032,6.4249296,5.912023,5.9006114,5.890944,5.6422915,5.3268504
4.9542627,4.771529,5.0739517,5.373969,4.7419753,4.549765,4.8039303,5.206774,6.3559103,6.5889864,6.7431803,7.1578794,7.3279033,7.5975237,8.385558,7.8272686,7.623447,7.6885495,7.2884417,6.3964596,5.9082723,5.5723085,5.7871394,5.844603
5.673323,5.38977,5.2414246,4.6232924,5.155917,6.982084,6.445121,6.6359477,6.621417,6.6651287,6.7545366,6.6726937,6.002734,6.217646,6.7273173,8.170694,8.756865,8.72273,7.998276,6.8531294,6.4260445,6.3709135,6.4331274,6.81917
7.211236,6.723928,6.344068,6.377363,6.6537924,6.7831106,6.4914007,6.730103,6.490669,6.4732895,6.7873087,7.1956854,7.555538,7.930906,8.127518,8.107328,8.462478,8.530092,7.877016,6.866672,7.1095843,7.1748543,7.0910735,7.2120523
6.969561,6.814954,6.625322,6.517831,6.510877,6.5171976,6.383281,7.896108,7.3979697,6.8188963,6.2491994,5.8412094,6.0747056,6.757698,7.264992,7.5633073,7.7022185,7.7184224,7.5440326,7.3010936,7.013659,6.0834255,5.748015,5.544153
5.505016,5.4177146,5.1129546,4.944944,5.0755477,5.3411694,5.7909923,6.922152,6.844224,5.6878695,4.634751,4.467861,4.7891145,5.6061444,6.696566,6.7396784,7.8110566,8.455458,7.7795444,6.2099524,5.5969963,6.0141463,8.082214,7.246717
5.2456264,4.6931376,4.70501,5.8274274,6.3332067,4.373151,4.1955667,3.6512318,4.2819724,4.4334846,5.265569,5.8493094,5.702451,5.5034995,6.197694,5.00774,4.872702,5.1459312,5.5155454,5.8343296,5.661247,4.452231,5.298394,5.606757
6.3386683,5.6827836,5.4059815,5.217019,5.5633388,5.5395904,5.1832213,5.196296,6.023983,6.195545,6.0486436,6.034568,5.9151883,6.189961,6.8095756,6.6185527,7.0525007,7.101546,6.7668524,5.7386165,5.4764647,5.3948445,5.573909,5.3334575
5.533239,4.8342686,5.6729193,5.3984656,5.1476045,4.441293,4.670945,4.914974,6.05979,6.1356115,5.8244805,5.784759,5.6183133,5.6729083,6.380998,6.226809,6.4063387,6.756123,6.4486938,6.4744406,6.933734,7.3379946,6.1844783,5.2361164
4.8561172,4.7319894,5.114328,5.253394,4.975499,4.828886,4.709826,5.6872644,6.3332653,6.2599316,5.5110197,4.768394,4.459095,4.617235,4.9257755,5.3511147,6.0391154,5.758828,5.555375,5.1806273,5.342268,5.1306844,5.0501604,4.963039
4.7062764,4.4300814,4.2140064,4.2350345,4.158623,4.037079,3.9545984,4.3494086,4.873258,4.406816,3.980712,3.9407678,4.1655946,4.4313354,4.4797926,5.1730313,5.4855337,5.479473,4.763742,3.537884,4.0378776,4.201802,4.2716436,4.665361
4.1001678,3.9630234,3.7750294,3.1774995,2.765482,2.8370972,3.0596743,1.971123,2.883643,3.6439452,4.427931,4.8869815,5.2871337,5.4964547,5.6220536,6.1687303,6.4667997,6.7851906,7.0165873,7.175059,7.042693,6.642544,6.3571744,5.957433
5.81064,5.858376,6.3325877,6.656156,6.76346,6.4211245,6.013528,6.575243,7.1818414,7.3170094,7.6772904,7.872475,8.065883,8.370665,8.403456,8.666168,9.164923,9.0929365,8.343072,7.0955534,7.424911,7.128831,6.579091,6.6629453
6.810452,5.8021655,5.975069,5.961348,5.9034977,6.294877,6.6866574,6.819018,7.3690124,6.745722,6.3790393,5.670522,7.5472007,4.557352,6.4384446,7.8913255,6.83891,6.90695,6.582103,7.2904053,7.2823925,7.438895,6.9607487,6.3882365
6.7241063,6.2262483,5.85023,5.6897473,5.8293858,6.006614,6.1118646,6.5014877,7.3563857,7.5593634,7.9662066,8.074796,8.024643,8.064305,8.11879,8.362543,8.351897,8.595291,8.061578,7.497952,7.325931,7.209962,7.265678,7.101588
6.7697234,6.5604634,6.3380356,6.228854,6.0266423,6.3599386,6.373,7.139142,7.2826943,7.183261,7.1735735,7.3745384,7.651822,7.9146123,8.130337,8.352911,8.723749,8.627348,8.134215,7.3395967,6.943805,6.8308926,6.815926,6.7999344
6.569842,6.4910355,6.2169566,6.3591747,6.3553686,6.4533052,6.514176,6.2414966,6.151725,6.46965,6.653082,6.305734,5.9966917,6.0323043,6.2315288,6.438582,7.4834824,7.4099007,6.8759065,5.996561,5.926261,5.7611685,5.4314337,5.174058
4.65799,4.2035356,4.0124373,4.13045,4.3531356,4.5468144,4.8616295,5.2515817,5.491229,6.02589,6.224018,6.102579,5.9511266,6.121186,6.433336,7.182913,7.6499453,7.7316074,7.322354,6.175168,5.884622,5.787211,5.4961042,5.4791293
5.3728533,5.0157833,4.681465,4.511975,4.318485,4.377738,4.472566,5.0021086,5.885294,6.3103356,6.333457,6.2042546,6.0545936,6.018473,6.2395406,7.1537886,8.449263,8.918897,8.170429,7.1272025,6.8960323,6.5601864,6.3336854,5.8288565
5.4156365,5.1875863,4.7846293,4.251593,3.954476,4.306848,5.02431,5.711639,6.8050995,6.8165336,7.1464834,7.3972774,7.414882,7.3067417,7.51662,8.124245,8.014145,7.745672,7.2438755,5.840315,5.838845,6.177682,6.3653135,6.5980706
7.093781,6.513802,5.8250527,5.053085,5.0117583,5.1243324,4.955168,5.413284,5.9443617,5.9274373,6.0997515,6.4005857,6.7208567,6.834313,6.809629,7.066016,7.299207,7.197233,6.8820105,6.0186486,5.9903913,5.4764895,5.4496927,5.4708
5.4678154,5.371914,5.161389,4.946421,4.6832714,4.806882,5.024055,4.769382,5.097663,5.661864,6.4612656,6.8067045,6.862625,7.177544,7.494835,7.4913907,7.798603,8.044806,7.5586233,6.559296,6.801936,6.6921635,6.6719427,6.621526
6.2707496,5.9781075,5.87654,5.8100677,5.8853087,5.9089775,5.9716887,5.75065,6.002617,6.251722,6.5119524,6.687951,6.765419,6.9293404,7.255562,7.721153,8.075421,8.063086,7.62437,7.0402565,6.827593,6.5127907,6.3205924,6.353462
6.0723352,5.924018,5.961479,6.0345163,5.9745264,5.9026704,5.7668266,5.9958506,5.611797,5.5261517,5.3631883,5.3411713,5.760642,6.323461,6.7297835,6.7233458,6.8156514,6.783933,6.6840096,5.9706388,5.795141,5.3571534,5.3942075,5.296712
5.271168,5.262288,4.9557333,4.5996842,4.5389943,4.446054,4.6764607,4.5170755,5.2334785,5.467781,5.7684207,6.1800785,6.5942755,6.78485,6.683257,7.171232,7.686963,7.7530246,6.9973774,5.271603,5.523157,5.3719473,4.6963654,5.034854
4.361785,3.9774156,3.9628046,4.0180182,3.6570587,3.9025924,4.2213535,4.145941,4.7819333,4.982844,5.1567926,5.5307455,5.5995154,5.6849427,5.826855,6.035986,6.1381125,5.7499137,5.2605515,4.5469117,4.910357,5.0708003,5.054746,4.5123625
3.7845657,3.590244,3.993073,3.9263542,4.4679456,4.8588185,4.537715,5.761425,5.6221333,5.6614428,5.5347705,5.1851444,5.0835743,5.741218,6.3563113,5.410308,5.3032475,5.201108,5.3571067,4.798537,4.678952,4.498685,4.294249,4.0959444
3.8692124,3.711149,3.5407324,3.7756658,3.9466345,4.0136776,3.6873424,3.5926955,4.2830386,4.574566,4.5474215,4.159895,4.720181,5.142724,5.03524,5.440056,5.9832,5.8045573,5.475459,5.564147,5.3317275,5.3321514,5.010022,4.5336447
4.204462,4.048347,4.159434,3.7751696,3.9867187,4.408755,5.2393723,4.801282,4.764314,5.1014996,5.82634,6.205158,6.377615,6.4107366,6.326462,5.987605,5.9763937,6.138585,5.999872,4.8849,5.1208825,5.1876926,5.2334404,5.1851115
4.73614,4.17982,4.586263,4.563876,4.301661,4.489841,4.795373,4.625222,5.7774744,6.298262,6.6115084,7.3501816,7.311445,7.339768,7.624631,7.6113825,7.8851643,7.800612,7.0200496,6.410321,6.510365,5.6852393,5.023296,5.0265775
5.079142,5.0389776,5.0339313,5.152627,5.0887847,5.046444,5.3876634,6.29169,6.5786595,6.6255546,6.623384,6.654108,6.9185467,7.154219,7.592402,7.0348396,7.034652,6.684406,7.2445874,4.9163036,4.503333,5.7590775,6.4275618,5.9914036
6.0314193,5.627345,5.528592,4.6579447,4.377728,4.6080527,4.6372414,5.3433595,7.150725,7.193342,7.005804,6.680097,6.9105115,7.196501,7.5115623,7.5064216,6.916584,6.410079,6.9435577,6.3154025,6.6913233,6.1479173,5.587559,5.6623693
5.6992364,5.4749203,5.416069,5.3730493,5.551949,5.767113,6.173932,6.113872,6.2522464,6.0988297,6.312085,6.770844,6.7501173,6.1303153,5.953112,5.8082356,6.348079,5.5721793,7.0791745,7.474076,7.0144434,7.6425953,7.6210346,6.903548
6.418406,5.8027,5.2483478,5.158953,5.724069,5.957726,5.772255,6.46067,6.1158586,5.5781574,5.2045226,5.3235965,5.72491,5.949193,7.275905,5.0559826,5.282025,6.772141,5.6774,4.53537,5.6761537,5.4459853,5.007969,4.9134307
4.8698926,4.6555624,4.3637977,4.8655076,5.500304,4.8050976,3.6291373,3.423381,4.0806026,4.504428,5.3955398,6.582677,6.7768493,7.291119,6.590613,6.286109,7.0293875,6.6051345,6.115983,4.7351236,5.832879,6.160665,5.595388,5.7775974
6.406113,6.7164903,6.197822,5.721452,5.3142405,5.2783422,6.185823,7.8272605,7.506482,6.609117,6.2732153,5.8448515,6.552757,6.661421,5.836288,6.3128715,7.108095,6.757634,6.4982634,5.8042827,6.0479016,5.4206657,5.389714,5.4910684
