"January","February","March","April","May","June","July","August","September","October","November","December"
444,399,368,262,275,289,358,421,433,528,636,603
592,493,515,342,225,185,146,196,290,417,389,452
109,150,231,364,434,531,540,421,305,182,129,121
126,106,157,262,337,225,227,233,202,144,76,95
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
