"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
6.569842,6.4910355,6.2169566,6.3591747,6.3553686,6.4533052,6.514176,6.2414966,6.151725,6.46965,6.653082,6.305734,5.9966917,6.0323043,6.2315288,6.438582,7.4834824,7.4099007,6.8759065,5.996561,5.926261,5.7611685,5.4314337,5.174058
6.418406,5.8027,5.2483478,5.158953,5.724069,5.957726,5.772255,6.46067,6.1158586,5.5781574,5.2045226,5.3235965,5.72491,5.949193,7.275905,5.0559826,5.282025,6.772141,5.6774,4.53537,5.6761537,5.4459853,5.007969,4.9134307
6.406113,6.7164903,6.197822,5.721452,5.3142405,5.2783422,6.185823,7.8272605,7.506482,6.609117,6.2732153,5.8448515,6.552757,6.661421,5.836288,6.3128715,7.108095,6.757634,6.4982634,5.8042827,6.0479016,5.4206657,5.389714,5.4910684
5.39357,5.49238,5.6381865,5.8823476,5.921711,5.755394,5.3916636,5.4970846,6.2124386,6.6431804,6.4109983,5.540276,5.1847754,5.5704446,5.9053073,4.962045,5.4595113,5.1881948,5.4395094,6.3083596,6.3216777,5.90904,5.6409483,5.342155
4.849189,4.79879,4.7245617,4.66196,4.423513,4.8523192,5.3298078,6.142802,6.4840527,6.0709734,5.487808,4.9330344,4.414943,4.734505,5.5578375,5.2984357,5.127574,4.256745,4.1085367,4.3230257,4.1689014,3.6683877,2.7648997,1.4642797
4.9612308,5.3585405,5.454619,5.2206054,5.3864083,5.685964,5.703786,5.1202574,4.627577,4.120876,4.621575,5.9471116,4.834755,4.585789,4.884087,5.056652,4.804292,4.770806,3.5201144,5.101921,5.4702234,5.818171,4.4373198,3.8088648
4.697796,4.058179,4.63985,4.6451335,4.719896,4.55266,4.806523,6.1379685,6.5471263,5.892925,4.6680913,4.2900076,4.168812,4.5563164,5.70398,3.9487424,3.8275957,3.0340178,2.3625002,1.5728004,2.5032344,3.3423448,3.8170443,4.2558274
6.587882,6.6782246,6.9325113,6.832352,6.7926517,7.0211926,6.720675,7.654585,7.005666,6.23267,5.646292,5.414678,5.435103,5.505255,5.5681252,5.5414844,5.535162,5.615919,5.447399,4.6875343,4.2905874,4.6832886,5.0048065,5.1703806
5.2324195,5.462537,5.7465334,5.9899764,6.0183797,6.1007304,6.089212,5.32216,4.8375998,3.6491117,3.042176,3.0201828,3.566305,4.338204,4.3811946,4.332321,3.6880424,3.269418,3.5881758,3.502977,3.4490812,3.7478685,3.8519528,4.304386
5.232709,5.394952,5.752958,6.4638357,6.293165,5.818041,6.262536,7.405244,7.9766054,7.509836,6.2946286,5.333664,4.384586,4.2286816,5.3969665,4.15774,4.074461,4.353933,4.6409974,4.211972,4.5710454,5.5301104,6.1599927,6.505574
7.195399,7.0493803,6.7036934,6.4216843,6.1728525,5.9456544,5.957259,5.711841,6.400848,6.005439,5.699783,5.132843,5.128634,6.3124437,4.230252,6.0017505,5.3654385,4.7724733,5.956507,5.2886133,5.455545,5.30076,5.386975,5.447127
5.495104,5.56125,5.480922,5.3356867,4.929338,4.7042994,4.8718786,4.7714553,4.576136,4.491833,4.2760363,4.7497096,5.024682,6.0430365,5.001707,4.315747,4.4911456,3.7698984,3.8590698,3.6716633,3.4497783,3.5406122,3.8647187,4.0118465
7.9517527,7.688195,7.534301,7.463937,7.6036086,7.691351,7.782632,8.141517,7.722977,7.4629707,7.2694397,7.3892646,6.423924,5.7867866,6.009538,5.902006,4.5889335,5.53664,5.912693,5.960027,5.7288156,6.225839,6.750675,6.9915376
8.775121,8.549145,8.796048,8.671212,8.325974,7.9568667,7.790499,7.8395915,9.777635,9.311274,9.458726,9.469951,9.187042,8.751109,8.534128,8.569014,8.628647,7.7277746,7.3826513,7.5355725,8.060741,8.400868,8.29583,8.143152
8.076085,8.119446,7.984901,7.7594514,7.4400883,7.39869,7.77499,8.513148,10.261665,9.549574,9.420048,9.269374,9.015627,8.671206,8.338072,7.919674,7.416828,7.3257046,8.435724,8.74781,8.651154,8.397324,8.232935,8.027124
7.3122144,6.578471,6.2631674,6.654726,7.3381114,7.4150114,7.1516848,8.00674,8.555903,8.357001,8.517909,7.552051,7.0097175,6.8577275,7.200614,7.6289744,7.386336,6.9802547,7.4667377,7.344421,7.661376,7.7356815,7.7705894,7.721828
