"January","February","March","April","May","June","July","August","September","October","November","December"
292,190,147,120,69,49,30,11,22,56,116,215
411,350,274,340,600,594,431,163,148,275,424,535
103,83,53,65,152,281,324,313,283,264,338,217
174,170,235,127,44,25,5,1,7,19,17,80
60,94,153,133,43,6,0,0,0,0,1,7
77,103,128,169,184,83,37,9,0,1,5,34
68,35,20,26,44,54,74,101,113,164,136,104
7,1,2,1,10,21,85,201,211,148,51,24
26,46,135,79,11,1,0,0,0,0,0,1
34,54,114,153,87,22,10,1,0,0,0,7
19,22,10,17,27,94,275,471,446,344,142,47
0,0,0,0,0,0,0,0,0,0,0,0
