"","x"
"1",1
"2",5
"3",1
"4",1
"5",1
"6",7
"7",3
"8",3
"9",2
"10",1
"11",5
"12",1
"13",5
"14",14
"15",9
"16",5
"17",3
"18",1
"19",3
"20",3
"21",7
"22",3
"23",4
"24",3
"25",3
"26",3
"27",10
"28",5
"29",1
"30",1
"31",1
"32",1
"33",1
"34",10
"35",5
"36",5
"37",5
"38",5
"39",5
"40",1
"41",1
"42",1
"43",1
"44",10
"45",5
"46",10
"47",5
"48",10
"49",14
"50",9
"51",9
"52",14
"53",14
"54",14
"55",5
"56",5
"57",10
"58",14
"59",10
"60",5
"61",10
"62",14
"63",14
"64",5
"65",1
"66",10
"67",10
"68",10
"69",10
"70",10
"71",10
"72",14
"73",9
"74",1
"75",3
"76",3
"77",6
"78",10
"79",2
"80",2
"81",6
"82",4
"83",15
"84",8
"85",8
"86",7
"87",8
"88",8
"89",8
"90",8
"91",6
"92",6
"93",3
"94",6
"95",10
"96",10
"97",1
"98",1
"99",1
"100",5
"101",3
"102",7
"103",2
"104",10
"105",10
"106",1
"107",11
"108",8
"109",7
"110",7
"111",4
"112",4
"113",6
"114",2
"115",2
"116",11
"117",15
"118",8
"119",6
"120",11
"121",6
"122",2
"123",7
"124",3
"125",7
"126",2
"127",7
"128",4
"129",8
"130",8
"131",8
"132",15
"133",15
"134",7
"135",2
"136",2
"137",7
"138",6
"139",11
"140",11
"141",16
"142",8
"143",8
"144",6
"145",2
"146",2
"147",7
"148",11
"149",8
"150",8
"151",4
"152",11
"153",6
"154",6
"155",6
"156",2
"157",7
"158",8
"159",8
"160",2
"161",3
"162",7
"163",7
"164",7
"165",6
"166",11
"167",8
"168",11
"169",8
"170",7
"171",2
"172",2
"173",3
"174",2
"175",1
"176",2
"177",3
"178",11
"179",8
"180",15
"181",7
"182",7
"183",2
"184",6
"185",7
"186",8
"187",12
"188",12
"189",12
"190",16
"191",15
"192",15
"193",7
"194",7
"195",7
"196",11
"197",12
"198",11
"199",11
"200",11
"201",8
"202",8
"203",15
"204",7
"205",11
"206",12
"207",12
"208",12
"209",16
"210",8
"211",12
"212",12
"213",12
"214",12
"215",12
"216",16
"217",12
"218",12
"219",15
"220",15
"221",15
"222",8
"223",4
"224",11
"225",12
"226",12
"227",11
"228",6
"229",11
"230",12
"231",12
"232",11
"233",8
"234",15
"235",15
"236",15
"237",8
"238",8
"239",8
"240",16
"241",16
"242",12
"243",11
"244",7
"245",8
"246",11
"247",7
"248",3
"249",4
"250",4
"251",16
"252",8
"253",8
"254",12
"255",12
"256",12
"257",12
"258",8
"259",7
"260",4
"261",15
"262",4
"263",7
"264",3
"265",11
"266",3
"267",11
"268",6
"269",1
"270",1
"271",3
"272",6
"273",4
"274",4
"275",7
"276",6
"277",4
"278",4
"279",15
"280",15
"281",16
"282",15
"283",7
"284",3
"285",4
"286",6
"287",3
"288",4
"289",4
"290",15
"291",16
"292",16
"293",4
"294",6
"295",6
"296",1
"297",4
"298",4
"299",7
"300",8
"301",6
"302",11
"303",7
"304",2
"305",1
"306",3
"307",7
"308",4
"309",3
"310",3
"311",7
"312",4
"313",4
"314",4
"315",7
"316",4
"317",4
"318",2
"319",10
"320",9
"321",1
"322",1
"323",1
"324",1
"325",6
"326",3
"327",11
"328",6
"329",3
"330",3
"331",3
"332",3
"333",7
"334",3
"335",11
"336",6
"337",3
"338",1
"339",3
"340",4
"341",3
"342",2
"343",3
"344",3
"345",1
"346",1
"347",3
"348",1
"349",2
"350",1
"351",1
"352",1
"353",1
"354",1
"355",10
"356",2
"357",2
"358",1
"359",3
"360",2
"361",1
"362",1
"363",1
"364",1
"365",5
"366",1
"367",3
"368",4
"369",6
"370",7
"371",7
"372",3
"373",1
"374",1
"375",1
"376",1
"377",3
"378",4
"379",2
"380",2
"381",3
"382",1
"383",7
"384",10
"385",14
"386",5
"387",1
"388",1
"389",4
"390",2
"391",5
"392",5
"393",3
"394",3
"395",1
"396",5
"397",3
"398",4
"399",2
"400",10
"401",10
"402",1
"403",3
"404",4
"405",3
"406",3
"407",1
"408",3
"409",3
"410",11
"411",15
"412",15
"413",7
"414",4
"415",7
"416",8
"417",16
"418",15
"419",8
"420",15
"421",15
"422",15
"423",15
"424",15
"425",11
"426",4
"427",8
"428",2
"429",1
"430",3
"431",3
"432",2
"433",1
"434",5
"435",5
"436",5
"437",13
"438",13
"439",13
"440",13
"441",9
"442",14
"443",14
"444",13
"445",13
"446",13
"447",9
"448",13
"449",13
"450",14
"451",10
"452",13
"453",13
"454",13
"455",13
"456",13
"457",9
"458",5
"459",3
"460",4
"461",7
"462",7
"463",7
"464",7
"465",2
"466",6
"467",2
"468",2
"469",7
"470",7
"471",7
"472",2
"473",10
"474",1
"475",6
"476",7
"477",6
"478",6
"479",2
"480",1
"481",3
"482",12
"483",8
"484",6
"485",10
"486",1
"487",7
"488",2
"489",11
"490",8
"491",12
"492",8
"493",6
"494",7
"495",7
"496",6
"497",6
"498",11
"499",7
"500",2
"501",7
"502",4
"503",4
"504",15
"505",4
"506",7
"507",8
"508",8
"509",7
"510",7
"511",8
"512",8
"513",7
"514",7
"515",6
"516",8
"517",15
"518",15
"519",7
"520",2
"521",3
"522",8
"523",2
"524",2
"525",4
"526",7
"527",6
"528",7
"529",8
"530",15
"531",15
"532",4
"533",8
"534",11
"535",8
"536",11
"537",11
"538",12
"539",12
"540",16
"541",16
"542",16
"543",15
"544",15
"545",8
"546",8
"547",8
"548",8
"549",7
"550",11
"551",8
"552",4
"553",15
"554",15
"555",15
"556",15
"557",4
"558",8
"559",15
"560",15
"561",16
"562",8
"563",12
"564",8
"565",4
"566",12
"567",8
"568",11
"569",11
"570",11
"571",16
"572",15
"573",16
"574",8
"575",16
"576",16
"577",16
"578",16
"579",15
"580",16
"581",15
"582",4
"583",16
"584",16
"585",15
"586",16
"587",16
"588",12
"589",16
"590",12
"591",6
"592",11
"593",4
"594",7
"595",11
"596",6
"597",11
"598",16
"599",16
"600",15
"601",15
"602",8
"603",12
"604",12
"605",12
"606",8
"607",15
"608",16
"609",12
"610",12
"611",16
"612",12
"613",6
"614",11
"615",12
"616",15
"617",15
"618",16
"619",15
"620",15
"621",16
"622",12
"623",15
"624",15
"625",15
"626",16
"627",16
"628",16
"629",12
"630",16
"631",16
"632",16
"633",16
"634",12
"635",8
"636",8
"637",4
"638",7
"639",11
"640",8
"641",8
"642",16
"643",8
"644",8
"645",11
"646",11
"647",6
"648",6
"649",3
"650",4
"651",3
"652",1
"653",4
"654",4
"655",7
"656",3
"657",15
"658",15
"659",7
"660",3
"661",4
"662",4
"663",15
"664",16
"665",11
"666",7
"667",4
"668",4
"669",15
"670",4
"671",3
"672",15
"673",8
"674",6
"675",1
"676",1
"677",3
"678",4
"679",3
"680",11
"681",4
"682",4
"683",7
"684",4
"685",4
"686",11
"687",8
"688",8
"689",4
"690",3
"691",4
"692",4
"693",15
"694",8
"695",7
"696",11
"697",7
"698",4
"699",7
"700",4
"701",7
"702",6
"703",7
"704",4
"705",8
"706",7
"707",7
"708",7
"709",4
"710",15
"711",8
"712",7
"713",3
"714",7
"715",4
"716",4
"717",4
"718",7
"719",3
"720",14
"721",1
"722",1
"723",2
"724",2
"725",2
"726",10
"727",1
"728",1
"729",1
"730",4
"731",15
"732",4
"733",4
"734",3
"735",3
"736",3
"737",6
"738",1
"739",1
"740",6
"741",3
"742",1
"743",1
"744",1
"745",1
"746",1
"747",3
"748",6
"749",1
"750",1
"751",3
"752",3
"753",1
"754",3
"755",3
"756",6
"757",1
"758",6
"759",6
"760",1
"761",3
"762",4
"763",4
"764",7
"765",3
"766",11
"767",7
"768",3
"769",3
"770",6
"771",6
"772",10
"773",2
"774",3
"775",2
"776",3
"777",3
"778",3
"779",1
"780",2
"781",7
"782",3
"783",1
"784",2
"785",10
"786",9
"787",9
"788",5
"789",5
"790",6
"791",10
"792",5
"793",5
"794",1
"795",10
"796",10
"797",10
"798",5
"799",5
"800",14
"801",14
"802",5
"803",10
"804",14
"805",10
"806",5
"807",10
"808",5
"809",5
"810",2
"811",10
"812",10
"813",1
"814",5
"815",1
"816",5
"817",10
"818",3
"819",7
"820",7
"821",3
"822",3
"823",7
"824",6
"825",2
"826",1
"827",1
"828",1
"829",3
"830",3
"831",6
"832",10
"833",14
"834",9
"835",9
"836",5
"837",9
"838",5
"839",14
"840",9
"841",14
"842",9
"843",9
"844",14
"845",5
"846",1
"847",10
"848",6
"849",2
"850",7
"851",2
"852",2
"853",10
"854",1
"855",7
"856",7
"857",7
"858",7
"859",10
"860",2
"861",2
"862",2
"863",1
"864",7
