   Avg_Silhouette_Value
 [1,]           0.00000000
 [2,]           0.52060206
 [3,]           0.40570079
 [4,]           0.30465732
 [5,]           0.26455967
 [6,]           0.19564636
 [7,]           0.15522097
 [8,]           0.13319414
 [9,]           0.10483127
[10,]           0.06980441
[11,]           0.04533703
[12,]           0.03560253

     CH_Value
 [1,]  0.00000
 [2,] 28.44284
 [3,] 30.34789
 [4,] 28.49720
 [5,] 27.13259
 [6,] 27.40725
 [7,] 23.98557
 [8,] 21.81966
 [9,] 20.45500
[10,] 18.52969
[11,] 17.60973
[12,] 16.73292

     DB_Value
 [1,] 0.0000000
 [2,] 0.8993252
 [3,] 1.0098702
 [4,] 1.1407136
 [5,] 1.0715658
 [6,] 1.2135101
 [7,] 0.9908430
 [8,] 0.9635356
 [9,] 0.9304047
[10,] 0.7463934
[11,] 0.7357583 esse
[12,] 0.7526105
