"","x"
"1",1
"2",3
"3",4
"4",5
"5",10
"6",12
"7",18
"8",29
"9",30
"10",31
"11",32
"12",33
"13",40
"14",41
"15",42
"16",43
"17",65
"18",74
"19",97
"20",98
"21",99
"22",106
"23",175
"24",269
"25",270
"26",296
"27",305
"28",321
"29",322
"30",323
"31",324
"32",338
"33",345
"34",346
"35",348
"36",350
"37",351
"38",352
"39",353
"40",354
"41",358
"42",361
"43",362
"44",363
"45",364
"46",366
"47",373
"48",374
"49",375
"50",376
"51",382
"52",387
"53",388
"54",395
"55",402
"56",407
"57",429
"58",433
"59",474
"60",480
"61",486
"62",652
"63",675
"64",676
"65",721
"66",722
"67",727
"68",728
"69",729
"70",738
"71",739
"72",742
"73",743
"74",744
"75",745
"76",746
"77",749
"78",750
"79",753
"80",757
"81",760
"82",779
"83",783
"84",794
"85",813
"86",815
"87",826
"88",827
"89",828
"90",846
"91",854
"92",863
"93",1018
"94",1060
"95",1061
"96",1086
"97",1090
"98",1096
"99",1097
"100",1098
"101",1099
"102",1100
"103",1107
"104",1108
"105",1109
"106",1110
"107",1113
"108",1114
"109",1118
"110",1119
"111",1120
"112",1123
"113",1124
"114",1129
"115",1137
"116",1139
"117",1140
"118",1142
"119",1144
"120",1155
"121",1179
"122",1185
"123",1186
"124",1189
"125",1190
"126",1191
"127",1193
"128",1308
"129",1315
"130",1426
"131",1427
"132",1428
"133",1429
"134",1432
"135",1433
"136",1438
"137",1453
"138",1454
"139",1458
"140",1463
"141",1464
"142",1466
"143",1471
"144",1472
"145",1474
"146",1475
"147",1478
"148",1479
"149",1480
"150",1481
"151",1484
"152",1485
"153",1486
"154",1487
"155",1490
"156",1495
"157",1496
"158",1497
"159",1499
"160",1504
"161",1506
"162",1510
"163",1511
"164",1512
"165",1513
"166",1514
"167",1524
"168",1595
"169",1616
"170",1663
"171",1778
"172",1779
"173",1791
"174",1792
"175",1808
"176",1810
"177",1816
"178",1819
"179",1820
"180",1830
"181",1831
"182",1837
"183",1838
"184",1840
"185",1891
"186",1905
"187",2099
"188",2133
"189",2134
"190",2135
"191",2136
"192",2154
"193",2157
"194",2158
"195",2161
"196",2162
"197",2167
"198",2168
"199",2170
"200",2183
"201",2185
"202",2190
"203",2196
"204",2197
"205",2198
"206",2199
