"","x"
"V1",1
"V2",1
"V3",1
"V4",1
"V5",1
"V6",1
"V7",1
"V8",1
"V9",1
"V10",1
"V11",1
"V12",1
"V13",1
"V14",1
"V15",1
"V16",1
"V17",1
"V18",1
"V19",1
"V20",1
"V21",1
"V22",1
"V23",1
"V24",1
"V25",1
"V26",1
"V27",1
"V28",1
"V29",1
"V30",1
"V31",1
"V32",1
"V33",1
"V34",1
"V35",1
"V36",1
"V37",1
"V38",1
"V39",2
"V40",2
"V41",2
"V42",2
"V43",2
"V44",2
"V45",2
"V46",2
"V47",2
"V48",1
"V49",1
"V50",1
"V51",1
"V52",1
"V53",1
"V54",1
"V55",1
"V56",1
"V57",1
"V58",1
"V59",1
"V60",1
"V61",1
"V62",1
"V63",1
"V64",1
"V65",1
"V66",1
"V67",1
"V68",1
"V69",1
"V70",1
"V71",1
"V72",1
"V73",1
"V74",1
"V75",1
"V76",1
"V77",1
"V78",1
"V79",1
"V80",1
"V81",1
"V82",1
"V83",1
"V84",1
"V85",1
"V86",2
"V87",2
"V88",2
"V89",2
"V90",2
"V91",2
"V92",2
"V93",2
"V94",2
"V95",1
"V96",1
"V97",1
"V98",1
"V99",1
"V100",1
"V101",1
"V102",1
"V103",1
"V104",1
"V105",1
"V106",1
"V107",1
"V108",1
"V109",1
"V110",1
"V111",1
"V112",1
"V113",1
"V114",1
"V115",1
"V116",1
"V117",1
"V118",1
"V119",1
"V120",1
"V121",1
"V122",1
"V123",1
"V124",1
"V125",1
"V126",1
"V127",1
"V128",1
"V129",1
"V130",1
"V131",1
"V132",2
"V133",2
"V134",2
"V135",2
"V136",2
"V137",2
"V138",2
"V139",2
"V140",2
"V141",2
"V142",1
"V143",1
"V144",1
"V145",1
"V146",1
"V147",1
"V148",1
"V149",1
"V150",1
"V151",1
"V152",1
"V153",1
"V154",1
"V155",1
"V156",1
"V157",1
"V158",1
"V159",1
"V160",1
"V161",1
"V162",1
"V163",1
"V164",1
"V165",1
"V166",1
"V167",1
"V168",1
"V169",1
"V170",1
"V171",1
"V172",1
"V173",1
"V174",1
"V175",1
"V176",1
"V177",1
"V178",1
"V179",2
"V180",2
"V181",2
"V182",2
"V183",2
"V184",2
"V185",2
"V186",2
"V187",2
"V188",2
"V189",1
"V190",1
"V191",1
"V192",1
"V193",1
"V194",1
"V195",1
"V196",1
"V197",1
"V198",1
"V199",1
"V200",1
"V201",1
"V202",1
"V203",1
"V204",1
"V205",1
"V206",1
"V207",1
"V208",1
"V209",1
"V210",1
"V211",1
"V212",1
"V213",1
"V214",1
"V215",1
"V216",1
"V217",1
"V218",1
"V219",1
"V220",1
"V221",1
"V222",1
"V223",1
"V224",1
"V225",2
"V226",2
"V227",2
"V228",2
"V229",2
"V230",2
"V231",2
"V232",2
"V233",2
"V234",2
"V235",2
"V236",1
"V237",1
"V238",1
"V239",1
"V240",1
"V241",1
"V242",1
"V243",1
"V244",1
"V245",1
"V246",1
"V247",1
"V248",1
"V249",1
"V250",1
"V251",1
"V252",1
"V253",1
"V254",1
"V255",1
"V256",1
"V257",1
"V258",1
"V259",1
"V260",1
"V261",1
"V262",1
"V263",1
"V264",1
"V265",1
"V266",1
"V267",1
"V268",1
"V269",1
"V270",1
"V271",2
"V272",2
"V273",2
"V274",2
"V275",2
"V276",2
"V277",2
"V278",2
"V279",2
"V280",2
"V281",2
"V282",2
"V283",1
"V284",1
"V285",1
"V286",1
"V287",1
"V288",1
"V289",1
"V290",1
"V291",1
"V292",1
"V293",1
"V294",1
"V295",1
"V296",1
"V297",1
"V298",1
"V299",1
"V300",1
"V301",1
"V302",1
"V303",1
"V304",1
"V305",1
"V306",1
"V307",1
"V308",1
"V309",1
"V310",1
"V311",1
"V312",1
"V313",1
"V314",1
"V315",1
"V316",1
"V317",1
"V318",1
"V319",2
"V320",2
"V321",2
"V322",2
"V323",2
"V324",2
"V325",2
"V326",2
"V327",2
"V328",2
"V329",2
"V330",1
"V331",1
"V332",1
"V333",1
"V334",1
"V335",1
"V336",1
"V337",1
"V338",1
"V339",1
"V340",1
"V341",1
"V342",1
"V343",1
"V344",1
"V345",1
"V346",1
"V347",1
"V348",1
"V349",1
"V350",1
"V351",1
"V352",1
"V353",1
"V354",1
"V355",1
"V356",1
"V357",1
"V358",1
"V359",1
"V360",1
"V361",1
"V362",1
"V363",1
"V364",1
"V365",2
"V366",2
"V367",2
"V368",2
"V369",2
"V370",2
"V371",2
"V372",2
"V373",2
"V374",2
"V375",2
"V376",2
"V377",1
"V378",1
"V379",1
"V380",1
"V381",1
"V382",1
"V383",1
"V384",1
"V385",1
"V386",1
"V387",1
"V388",1
"V389",1
"V390",1
"V391",1
"V392",1
"V393",1
"V394",1
"V395",1
"V396",1
"V397",1
"V398",1
"V399",1
"V400",1
"V401",1
"V402",1
"V403",1
"V404",1
"V405",1
"V406",1
"V407",1
"V408",1
"V409",1
"V410",1
"V411",1
"V412",2
"V413",2
"V414",2
"V415",2
"V416",2
"V417",2
"V418",2
"V419",2
"V420",2
"V421",2
"V422",2
"V423",2
"V424",1
"V425",1
"V426",1
"V427",1
"V428",1
"V429",1
"V430",1
"V431",1
"V432",1
"V433",1
"V434",1
"V435",1
"V436",1
"V437",1
"V438",1
"V439",1
"V440",1
"V441",1
"V442",1
"V443",1
"V444",1
"V445",1
"V446",1
"V447",1
"V448",1
"V449",1
"V450",1
"V451",1
"V452",1
"V453",1
"V454",1
"V455",1
"V456",1
"V457",2
"V458",2
"V459",2
"V460",2
"V461",2
"V462",2
"V463",2
"V464",2
"V465",2
"V466",2
"V467",2
"V468",2
"V469",2
"V470",2
"V471",1
"V472",1
"V473",1
"V474",1
"V475",1
"V476",1
"V477",1
"V478",1
"V479",1
"V480",1
"V481",1
"V482",1
"V483",1
"V484",1
"V485",1
"V486",1
"V487",1
"V488",1
"V489",1
"V490",1
"V491",1
"V492",1
"V493",1
"V494",1
"V495",1
"V496",1
"V497",1
"V498",1
"V499",1
"V500",1
"V501",1
"V502",2
"V503",2
"V504",2
"V505",2
"V506",2
"V507",2
"V508",2
"V509",2
"V510",2
"V511",2
"V512",2
"V513",2
"V514",2
"V515",2
"V516",2
"V517",2
"V518",1
"V519",1
"V520",1
"V521",1
"V522",1
"V523",1
"V524",1
"V525",1
"V526",1
"V527",1
"V528",1
"V529",1
"V530",1
"V531",1
"V532",1
"V533",1
"V534",1
"V535",1
"V536",1
"V537",1
"V538",1
"V539",1
"V540",1
"V541",1
"V542",1
"V543",1
"V544",1
"V545",1
"V546",1
"V547",1
"V548",1
"V549",2
"V550",2
"V551",2
"V552",2
"V553",2
"V554",2
"V555",2
"V556",2
"V557",2
"V558",2
"V559",2
"V560",2
"V561",2
"V562",2
"V563",2
"V564",2
"V565",1
"V566",1
"V567",1
"V568",1
"V569",1
"V570",1
"V571",1
"V572",1
"V573",1
"V574",1
"V575",1
"V576",1
"V577",1
"V578",1
"V579",1
"V580",1
"V581",1
"V582",1
"V583",1
"V584",1
"V585",1
"V586",1
"V587",1
"V588",1
"V589",1
"V590",1
"V591",1
"V592",1
"V593",1
"V594",1
"V595",2
"V596",2
"V597",2
"V598",2
"V599",2
"V600",2
"V601",2
"V602",2
"V603",2
"V604",2
"V605",2
"V606",2
"V607",2
"V608",2
"V609",2
"V610",2
"V611",2
"V612",1
"V613",1
"V614",1
"V615",1
"V616",1
"V617",1
"V618",1
"V619",1
"V620",1
"V621",1
"V622",1
"V623",1
"V624",1
"V625",1
"V626",1
"V627",1
"V628",1
"V629",1
"V630",1
"V631",1
"V632",1
"V633",1
"V634",1
"V635",1
"V636",1
"V637",1
"V638",1
"V639",1
"V640",1
"V641",1
"V642",2
"V643",2
"V644",2
"V645",2
"V646",2
"V647",2
"V648",2
"V649",2
"V650",2
"V651",2
"V652",2
"V653",2
"V654",2
"V655",2
"V656",2
"V657",2
"V658",2
"V659",1
"V660",1
"V661",1
"V662",1
"V663",1
"V664",1
"V665",1
"V666",1
"V667",1
"V668",1
"V669",1
"V670",1
"V671",1
"V672",1
"V673",1
"V674",1
"V675",1
"V676",1
"V677",1
"V678",1
"V679",1
"V680",1
"V681",1
"V682",1
"V683",1
"V684",1
"V685",1
"V686",1
"V687",1
"V688",2
"V689",2
"V690",2
"V691",2
"V692",2
"V693",2
"V694",2
"V695",2
"V696",2
"V697",2
"V698",2
"V699",2
"V700",2
"V701",2
"V702",2
"V703",2
"V704",2
"V705",2
"V706",1
"V707",1
"V708",1
"V709",1
"V710",1
"V711",1
"V712",1
"V713",1
"V714",1
"V715",1
"V716",1
"V717",1
"V718",1
"V719",1
"V720",1
"V721",1
"V722",1
"V723",1
"V724",1
"V725",1
"V726",1
"V727",1
"V728",1
"V729",1
"V730",1
"V731",1
"V732",1
"V733",1
"V734",1
"V735",2
"V736",2
"V737",2
"V738",2
"V739",2
"V740",2
"V741",2
"V742",2
"V743",2
"V744",2
"V745",2
"V746",2
"V747",2
"V748",2
"V749",2
"V750",2
"V751",2
"V752",2
"V753",1
"V754",1
"V755",1
"V756",1
"V757",1
"V758",1
"V759",1
"V760",1
"V761",1
"V762",1
"V763",1
"V764",1
"V765",1
"V766",1
"V767",1
"V768",1
"V769",1
