"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0,0,25.0625,198.4375,405.875,553.75,606.75,616.25,586.5,598.75,612.25,562.25,404.5,185,21.7734375,0,0,0,0,0,0
0,0,0,0,0,15.50390625,101.8125,220.75,346.25,486.75,677.75,885,891.75,825.5,671.5,451.625,213.5,24.046875,0,0,0,0,0,0
0,0,0,0,0,9.484375,74.40625,178.375,353.25,644.25,845.25,903.5,889,790.75,571.5,331.25,126.09375,14.8359375,0,0,0,0,0,0
0,0,0,0,0,27.6953125,210.9375,425.625,639,813.75,912.25,880.5,855.5,738.25,531,350.375,166.6875,18.7265625,0,0,0,0,0,0
0,0,0,0,0,23.7421875,171.6875,358.375,548.75,754.25,884.25,924.5,880,769.5,588,379.5,143.125,16.703125,0,0,0,0,0,0
0,0,0,0,0,26.3125,198.1875,418.125,618.5,780.25,881,913.5,875.5,714.25,422.375,223.6875,91.875,12.49609375,0,0,0,0,0,0
0,0,0,0,0,27.171875,211.0625,421.125,639.75,811.75,905.75,912.5,828.25,644.5,415.875,255.5625,113.3125,10.47265625,0,0,0,0,0,0
0,0,0,0,0,27.7734375,209.625,437.75,603.25,797.25,896,923,860.75,707.75,517.5,306,131,14.95703125,0,0,0,0,0,0
0,0,0,0,0,22.875,175.5625,399.375,615.5,772,893.25,959.5,863.5,752.25,589.25,377.875,165,16.1484375,0,0,0,0,0,0
0,0,0,0,0,24.3203125,187.5,404.5,594.25,746.5,843.25,800.75,545.25,361.5,214.6875,130.0625,61.1875,7.9921875,0,0,0,0,0,0
0,0,0,0,0,9.359375,84.34375,270.375,553.75,783.75,894.25,873.5,783,637.75,483.875,325.125,160.5625,15.61328125,0,0,0,0,0,0
0,0,0,0,0,26.2265625,190.6875,388.125,573.5,707.25,750.25,716.75,709.5,570.25,393,215.875,71.28125,5.265625,0,0,0,0,0,0
0,0,0,0,0,19.1015625,132.1875,301.125,521.25,739.75,877.25,784.5,735.75,624.5,482.25,311.375,126.53125,12.83203125,0,0,0,0,0,0
0,0,0,0,0,26.15625,205.9375,411.375,592.25,774,909,939.25,896.75,775.25,570.5,399,184,17.640625,0,0,0,0,0,0
0,0,0,0,0,23.15625,173.6875,382.75,624,792.5,868.5,874,824,706.75,543.75,299.625,108.3125,9.59765625,0,0,0,0,0,0
0,0,0,0,0,17.3515625,169.0625,370,534.75,680,773,786,669,542.75,415,285.5,144.0625,13.046875,0,0,0,0,0,0
0,0,0,0,0,20.78125,168.9375,359.625,563,713.5,828.5,900,869.75,754.5,530.75,339.125,132.4375,11.078125,0,0,0,0,0,0
0,0,0,0,0,24.203125,206,435.125,643.75,809.5,923.75,940.25,844.75,700.25,522,304,140.1875,13.4609375,0,0,0,0,0,0
0,0,0,0,0,22.9296875,187.125,395.375,570.75,700.75,757.75,690.75,567.5,453.625,334.875,219.5625,127.28125,13.19921875,0,0,0,0,0,0
0,0,0,0,0,18.4375,117.09375,274.5,431.5,655.25,782.25,833.25,790.25,619.75,428.125,203.8125,86.40625,9.61328125,0,0,0,0,0,0
0,0,0,0,0,13.7421875,108.71875,268.875,488,698.75,773.25,794.75,768.5,688.75,510.25,335.625,148.75,12.92578125,0,0,0,0,0,0
