"January","February","March","April","May","June","July","August","September","October","November","December"
68,88,113,121,125,101,54,12,0,1,14,50
210,151,169,146,3,0,0,348,431,118,164,316
165,141,146,214,184,1,102,653,74,36,76,155
95,109,137,176,112,54,26,4,0,2,8,53
76,66,128,176,90,44,18,0,0,0,2,16
90,81,116,131,266,505,392,51,4,6,11,45
78,88,102,129,387,414,607,182,13,11,27,80
269,160,154,27,0,0,0,5,554,365,398,357
137,167,118,1,0,0,0,0,150,728,508,136
83,97,88,109,104,111,72,16,4,4,22,63
