"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0,0,25.0625,198.4375,405.875,553.75,606.75,616.25,586.5,598.75,612.25,562.25,404.5,185,21.7734375,0,0,0,0,0,0
0,0,0,0,0,15.50390625,101.8125,220.75,346.25,486.75,677.75,885,891.75,825.5,671.5,451.625,213.5,24.046875,0,0,0,0,0,0
0,0,0,0,0,12.0859375,88.53125,226.25,409.125,470.75,489,706.75,776.75,666.25,522,380.875,164.4375,19.4921875,0,0,0,0,0,0
0,0,0,0,0,15.00390625,113.25,243.25,371.25,484.125,579.5,611.25,643.5,627.5,474,259.875,108.59375,13.74609375,0,0,0,0,0,0
0,0,0,0,0,18.4375,117.09375,274.5,431.5,655.25,782.25,833.25,790.25,619.75,428.125,203.8125,86.40625,9.61328125,0,0,0,0,0,0
0,0,0,0,0,8.77734375,79.5625,201.75,334.375,386.625,421.375,554.25,773.75,700,523.25,334.375,147.375,11.421875,0,0,0,0,0,0
0,0,0,0,0,12.859375,120.96875,320.25,503.5,611,597,606.5,619.5,588.75,436.375,267.625,109.40625,10.3203125,0,0,0,0,0,0
0,0,0,0,0,16.125,153.4375,326.75,462,570.5,635.5,653.5,603.75,548.5,423,245.25,104.65625,9.2265625,0,0,0,0,0,0
0,0,0,0,0,7.873046875,78.4375,204.8125,396.875,645.5,798,809.5,741,567,408,205.75,76.625,5.74609375,0,0,0,0,0,0
0,0,0,0,0,6.673828125,86.625,220.3125,415,600.5,746,806.5,796,691.75,521,325.625,138.0625,7.91015625,0,0,0,0,0,0
0,0,0,0,0,11.13671875,120.5625,223.625,342.25,475.75,613.25,735,750,639.75,503,325.5,125.0625,7.16796875,0,0,0,0,0,0
0,0,0,0,0,5.814453125,73.125,178.9375,296.25,425.5,571,714.25,811.25,746.75,565.5,349.25,119.53125,6.55859375,0,0,0,0,0,0
0,0,0,0,0,9.17578125,135.8125,318.875,499.75,636.5,737.75,764,721.75,617.75,483.5,317,114.28125,5.271484375,0,0,0,0,0,0
0,0,0,0,0,8.2734375,107.34375,240.25,372.375,500.875,601.75,659.25,678,629,495,308.625,116.59375,4.337890625,0,0,0,0,0,0
0,0,0,0,0,3.78125,72.0625,203.9375,384.75,573.25,689,669.5,636.25,542.5,377.625,222.0625,94.5,3.9765625,0,0,0,0,0,0
0,0,0,0,0,6.38671875,110.71875,272.875,416.375,496,561.25,617.25,674.75,589.25,443.5,207.1875,60.65625,2.659179688,0,0,0,0,0,0
0,0,0,0,0,7.9375,142.3125,362.75,562.25,622,613.25,601.5,606,572,494.625,296.75,113.65625,4.828125,0,0,0,0,0,0
0,0,0,0,0,12.828125,112.875,292,455.25,526,552.5,640,740.25,750.75,607.75,393.375,158.5625,12.546875,0,0,0,0,0,0
0,0,0,0,0,25.828125,184.6875,314.375,434.125,541.5,633.75,689.75,732.5,736.25,625.25,444.125,215.3125,24.0859375,0,0,0,0,0,0
0,0,0,0,0,8.828125,78.375,224.0625,384.375,506,647.75,697,661.5,589.75,479.5,302.25,128.25,13.96484375,0,0,0,0,0,0
0,0,0,0,0,25.8046875,190.3125,266,354.75,487.125,617.75,695.5,706.25,576.75,403.5,216.875,87.96875,9.01171875,0,0,0,0,0,0
