"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0,0,29.7109375,199,407.25,637,800.5,966.75,1026,994.25,879.75,702.75,475.625,226.125,26.1796875,0,0,0,0,0,0
0,0,0,0,0,31.8671875,230.6875,478.25,700.75,875.25,982.5,1010.5,957,809,619,357.375,176.5,20.5859375,0,0,0,0,0,0
0,0,0,0,0,22.84375,152.5625,356.125,602.5,782,912.5,968.25,944.75,830,666.25,437.625,189.5625,21.5078125,0,0,0,0,0,0
0,0,0,0,0,32.75,226.375,452.875,655,827.75,931.25,982.25,970,856,647.5,386.5,169.6875,19.046875,0,0,0,0,0,0
0,0,0,0,0,22.71875,125.71875,351.625,666.75,869.25,976.25,1019.5,978,850.25,638.25,352.25,154.6875,16.859375,0,0,0,0,0,0
0,0,0,0,0,23.96875,183.25,428.625,653,829.75,940.25,973.25,934.75,807.5,629.75,355.125,153,16.875,0,0,0,0,0,0
0,0,0,0,0,25.953125,186.9375,429.25,667.25,853.5,975.25,1015.75,974,855.5,669.5,429.875,184.8125,19.34375,0,0,0,0,0,0
0,0,0,0,0,27.375,206.8125,439.75,653.25,821.75,930.75,966.25,928.5,816.75,648.75,426.875,188.25,19.75,0,0,0,0,0,0
0,0,0,0,0,28.71875,221.875,468.125,692,873.75,991.25,1028.5,983.25,865.75,671.75,389.125,154.375,17.03125,0,0,0,0,0,0
0,0,0,0,0,27.609375,210,466.125,712,893.25,1004,1041.5,1002.25,882.25,700,468,217.625,23.6953125,0,0,0,0,0,0
0,0,0,0,0,33.09375,241.1875,488.625,714,892.5,1009.5,1048,1008.25,890,706.25,473.625,219.375,22.828125,0,0,0,0,0,0
0,0,0,0,0,27.046875,204.25,438.625,667.25,847.5,976.5,1011.5,966.75,846.5,659.25,421.625,156.5,16.453125,0,0,0,0,0,0
0,0,0,0,0,25.7265625,196.1875,449.875,676,848,973.75,1032.5,995.5,865.75,684,459.25,199.3125,23.0625,0,0,0,0,0,0
0,0,0,0,0,27.8359375,207.75,451.875,708.75,882.5,993,1032.5,957,807.75,590,397.75,177.75,20.75,0,0,0,0,0,0
0,0,0,0,0,29.0078125,218.0625,490.875,717.5,879.5,986.75,1025.5,976.5,856.5,665.25,425.25,189.125,18.6796875,0,0,0,0,0,0
