"January","February","March","April","May","June","July","August","September","October","November","December"
49,45,39,50,57,50,37,16,3,1,17,39
45,60,61,74,51,34,15,0,0,2,7,33
39,42,47,50,36,21,7,1,0,1,1,14
10,21,41,73,43,21,7,0,0,0,0,5
38,65,77,85,96,115,62,7,1,0,8,29
24,34,38,50,43,18,19,4,0,1,6,20
48,46,65,92,57,24,17,4,0,1,2,23
63,48,91,108,48,21,11,0,0,0,3,13
230,185,242,378,782,912,1061,844,50,31,68,192
43,37,49,36,28,13,21,13,4,8,7,31
632,497,460,180,0,0,0,327,1163,1219,1085,823
50,68,61,54,30,1,14,55,9,7,26,49
