"","x"
"1",1
"2",53
"3",58
"4",63
"5",101
"6",132
"7",134
"8",138
"9",161
"10",179
"11",366
"12",397
"13",437
"14",439
"15",442
"16",453
"17",457
"18",473
"19",497
"20",501
"21",509
"22",515
"23",544
"24",708
"25",723
"26",729
"27",764
"28",768
"29",780
"30",788
"31",793
"32",799
"33",808
"34",812
"35",820
"36",826
"37",829
"38",868
"39",887
"40",898
"41",1127
"42",1171
"43",1203
"44",1204
"45",1231
"46",1511
"47",1526
"48",1542
"49",1551
"50",1570
"51",1574
"52",1577
"53",1579
"54",1582
"55",1596
"56",1607
"57",1639
"58",1672
"59",1813
"60",1825
"61",1847
"62",1871
"63",1872
"64",1889
"65",1904
"66",1911
"67",1922
"68",1942
"69",1943
"70",1945
"71",1946
"72",1947
"73",1951
"74",1953
"75",1970
"76",1979
"77",1984
"78",1985
"79",1987
"80",1996
"81",2006
"82",2019
"83",2027
"84",2029
"85",2168
"86",2186
"87",2218
"88",2228
"89",2241
"90",2244
"91",2248
"92",2253
"93",2276
"94",2283
"95",2285
"96",2286
"97",2292
"98",2308
"99",2321
"100",2340
"101",2341
"102",2342
"103",2349
"104",2352
"105",2353
"106",2354
"107",2360
"108",2374
"109",2516
"110",2532
"111",2547
"112",2608
"113",2624
"114",2625
"115",2654
"116",2655
"117",2658
"118",2679
"119",2760
"120",2942
"121",2980
"122",3017
"123",3033
"124",3037
"125",3046
"126",3062
"127",3067
"128",3088
"129",3096
"130",3097
"131",3108
"132",3112
"133",3265
"134",3276
"135",3278
"136",3307
"137",3337
"138",3347
"139",3370
"140",3385
"141",3392
"142",3394
"143",3395
"144",3396
"145",3401
"146",3405
"147",3412
"148",3418
"149",3432
"150",3443
"151",3444
"152",3465
"153",3475
"154",3489
"155",3502
"156",3637
"157",3692
"158",3698
"159",3705
"160",3717
"161",3718
"162",3729
"163",3730
"164",3739
"165",3831
"166",3832
"167",3835
"168",3836
"169",3844
"170",3851
"171",3977
"172",4005
"173",4071
"174",4087
"175",4100
"176",4124
"177",4133
"178",4135
"179",4136
"180",4140
"181",4149
"182",4163
"183",4164
"184",4182
"185",4202
"186",4209
"187",4406
"188",4407
"189",4431
"190",4432
"191",4459
"192",4470
"193",4475
"194",4541
"195",4840
"196",4887
"197",4904
"198",4975
"199",5062
"200",5131
"201",5155
"202",5206
"203",5208
"204",5213
"205",5216
"206",5224
"207",5231
"208",5233
"209",5235
"210",5244
"211",5252
"212",5259
"213",5260
"214",5261
"215",5277
"216",5279
"217",5281
"218",5282
"219",5284
"220",5285
"221",5286
"222",5300
"223",5511
"224",5569
"225",5571
"226",5598
"227",5612
"228",5621
"229",5624
"230",5626
"231",5627
"232",5652
"233",5657
"234",5658
"235",5670
"236",5809
"237",5820
"238",5923
"239",5930
"240",5931
"241",5946
"242",5950
"243",5965
"244",5992
"245",5995
"246",5997
"247",6003
"248",6004
"249",6043
"250",6068
"251",6160
"252",6267
"253",6285
"254",6286
"255",6288
"256",6292
"257",6306
"258",6321
"259",6328
"260",6330
"261",6347
"262",6350
"263",6561
"264",6589
"265",6600
"266",6630
"267",6640
"268",6699
"269",6708
"270",6709
"271",6730
"272",6734
"273",6740
"274",6757
"275",6780
"276",6992
"277",7009
"278",7060
"279",7075
"280",7095
"281",7097
"282",7132
"283",7298
"284",7318
"285",7322
"286",7339
"287",7348
"288",7360
"289",7368
"290",7408
"291",7427
"292",7459
"293",7461
"294",7476
"295",7477
"296",7478
"297",7485
"298",7486
"299",7488
"300",7494
"301",7519
"302",7623
"303",7716
"304",7724
"305",7726
"306",7734
"307",7746
"308",7749
"309",7764
"310",7810
"311",7818
"312",7829
"313",8028
"314",8046
"315",8047
"316",8100
"317",8167
"318",8176
"319",8194
"320",8207
"321",8215
"322",8241
"323",8444
"324",8446
"325",8449
"326",8476
"327",8480
"328",8491
"329",8531
"330",8557
"331",8562
"332",8758
"333",8773
"334",8786
"335",8788
"336",8799
"337",8817
"338",8857
"339",8904
"340",8915
"341",8918
"342",8929
"343",8930
"344",8931
"345",8933
"346",8940
"347",8941
"348",9147
"349",9168
"350",9213
"351",9249
"352",9264
"353",9267
"354",9269
"355",9270
"356",9295
"357",9300
"358",9305
"359",9456
"360",9492
"361",9531
"362",9547
"363",9552
"364",9573
"365",9576
"366",9586
"367",9600
"368",9618
"369",9620
"370",9622
"371",9630
"372",9645
"373",9650
"374",9651
"375",9653
"376",9654
"377",9657
"378",9666
"379",9669
"380",9677
"381",9682
"382",9869
"383",9879
"384",9903
"385",9910
"386",9911
"387",9915
"388",9922
"389",9931
"390",9932
"391",9955
"392",9976
"393",9978
"394",10015
"395",10021
"396",10024
"397",10047
"398",10194
"399",10205
"400",10251
"401",10252
"402",10276
"403",10282
"404",10285
"405",10297
"406",10300
"407",10311
"408",10312
"409",10362
"410",10374
"411",10380
"412",10398
"413",10402
"414",10416
"415",10417
"416",10419
"417",10609
"418",10638
"419",10647
"420",10669
"421",10700
"422",10715
"423",10735
"424",10740
"425",10742
"426",10749
"427",10758
"428",10762
"429",10787
"430",10934
"431",10938
"432",10952
"433",10959
"434",10970
"435",10987
"436",10991
"437",10996
"438",11048
"439",11058
"440",11063
"441",11099
"442",11110
"443",11131
"444",11132
"445",11134
"446",11139
"447",11140
"448",11141
"449",11157
"450",11333
"451",11398
"452",11413
"453",11433
"454",11437
"455",11453
"456",11455
"457",11457
"458",11472
"459",11473
"460",11486
"461",11500
"462",11501
"463",11502
"464",11506
"465",11509
"466",11538
"467",11541
"468",11696
"469",11786
"470",11791
"471",11839
"472",11850
"473",11851
"474",11854
"475",11908
"476",12098
"477",12123
"478",12150
"479",12151
"480",12178
"481",12188
"482",12191
"483",12202
"484",12225
"485",12238
"486",12242
"487",12398
"488",12460
"489",12461
"490",12503
"491",12507
"492",12530
"493",12555
"494",12578
"495",12593
"496",12662
"497",12775
"498",12811
"499",12827
"500",12828
"501",12829
"502",12839
"503",12857
"504",12883
"505",12886
"506",12897
"507",12898
"508",12914
"509",12915
"510",12930
"511",12933
"512",12978
"513",13148
"514",13158
"515",13160
"516",13161
"517",13179
"518",13193
"519",13213
"520",13244
"521",13267
"522",13318
"523",13495
"524",13515
"525",13557
"526",13562
"527",13563
"528",13567
"529",13586
"530",13596
"531",13605
"532",13628
"533",13682
"534",13683
"535",13686
"536",13687
"537",13692
"538",13693
"539",13700
"540",13701
"541",13860
"542",13879
"543",13881
"544",13891
"545",13896
"546",13914
"547",13932
"548",13968
"549",13973
"550",13986
"551",13987
"552",14012
"553",14020
"554",14024
"555",14028
"556",14039
"557",14069
"558",14220
"559",14221
"560",14271
"561",14303
"562",14304
"563",14339
"564",14366
"565",14398
"566",14413
"567",14416
"568",14438
"569",14566
"570",14634
"571",14635
"572",14636
"573",14649
"574",14664
"575",14681
"576",14697
"577",14699
"578",14724
"579",14749
"580",14761
"581",14770
"582",14775
"583",14790
