      Avg_Silhouette_Value
 [1,]           0.00000000
 [2,]           0.50021093
 [3,]           0.37397450
 [4,]           0.32438812
 [5,]           0.26994462
 [6,]           0.22969285
 [7,]           0.21058746
 [8,]           0.17902491
 [9,]           0.18036701
[10,]           0.10339963
[11,]           0.08707839
[12,]           0.12007573

     CH_Value
 [1,]  0.00000
 [2,] 28.51989
 [3,] 28.33333
 [4,] 27.73805
 [5,] 24.49971
 [6,] 19.97077
 [7,] 18.27988
 [8,] 15.97581
 [9,] 20.76843
[10,] 18.52065
[11,] 18.73481
[12,] 26.41314

      DB_Value
 [1,] 0.0000000
 [2,] 0.9349707
 [3,] 1.0946806
 [4,] 1.1738276
 [5,] 1.1380253
 [6,] 0.8775459
 [7,] 0.7971828
 [8,] 0.5891629
 [9,] 0.7130594
[10,] 0.5777590
[11,] 0.6080608
[12,] 0.4981506 esse
