"January","February","March","April","May","June","July","August","September","October","November","December"
114,68,88,59,39,24,16,10,15,64,125,156
184,275,334,7,0,0,0,0,343,388,177,138
121,93,118,89,79,75,53,49,39,84,134,155
375,272,29,0,0,0,0,0,0,225,210,298
65,44,63,45,119,107,64,27,24,59,82,81
113,60,93,54,47,40,26,12,17,63,140,130
76,93,233,351,0,0,0,300,582,108,68,65
127,158,161,76,0,0,0,11,102,175,178,124
54,42,84,428,344,0,193,721,80,50,60,64
42,43,68,121,643,984,919,141,28,55,56,60
