"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0,0,12.609375,162.5625,370.75,546.75,687.25,760.75,813,791.25,746.5,513.5,357.25,237.0625,84.15625,1.617675662,0,0,0,0,0
0,0,0,0,0,4.091796875,89.625,281.375,537.25,778,865,853.25,824.75,808.5,703.25,527,251.1875,79.875,0.892822206,0,0,0,0,0
0,0,0,0,0,5.525390625,87.84375,261.125,447.375,600,747.75,903,943,851.25,715.25,498.75,269.875,74.28125,0.410644501,0,0,0,0,0
0,0,0,0,0,0.0239715,88.40625,277.375,441.5,639,852,944,921.75,812,666.75,488.25,255.75,47.75,0,0,0,0,0,0
0,0,0,0,0,0.0073242,47.859375,195,380,643,844.75,904.25,867.75,773.25,633.5,449,222.5625,31.59375,0,0,0,0,0,0
0,0,0,0,0,0.002017,68.9375,267.125,490.625,704.75,865.75,901.75,879.5,776.5,637.75,422.75,194.75,28.8359375,0,0,0,0,0,0
0,0,0,0,0,0,71.875,280.75,504.875,692.75,817.25,887,871,782.75,645.5,436,216.9375,36.265625,0,0,0,0,0,0
0,0,0,0,0,0,74.875,294.625,537,732.25,871.75,933,903,774.25,636,449.5,219,33.46875,0,0,0,0,0,0
0,0,0,0,0,0,65.71875,274.625,528.25,719.75,849.5,911.25,879.25,785,615.5,392.5,209.4375,32.796875,0,0,0,0,0,0
0,0,0,0,0,0,64.46875,268.5,520.5,721.75,853.25,928,912.5,825.5,673,467.5,223.9375,33.265625,0,0,0,0,0,0
0,0,0,0,0,0,65.34375,276.625,532,731.5,865.25,927.25,909.5,819.75,664.25,471.875,232,32.890625,0,0,0,0,0,0
0,0,0,0,0,0,62.09375,261.625,513.75,703.5,844,911.25,885.5,797.75,660.75,463,215.8125,22.0703125,0,0,0,0,0,0
0,0,0,0,0,0,61.578125,264.25,499.125,699.25,822,888,870.25,805.75,660.25,460.375,223.6875,23.8984375,0,0,0,0,0,0
0,0,0,0,0,0,58.5625,268.25,525.5,712.75,840.75,907,905.25,826.25,675.5,469.625,227.25,24.875,0,0,0,0,0,0
0,0,0,0,0,0,57.53125,270.625,520.25,708.75,852.5,920.75,911.25,826.25,674,467.375,223.625,27.390625,0,0,0,0,0,0
0,0,0,0,0,0,53.0625,245.9375,473.25,666,776.5,849.5,843,755.25,593.75,410.5,179.5625,21.7734375,0,0,0,0,0,0
0,0,0,0,0,0,51,255.3125,514.25,710.25,843.75,907.75,897.5,814,664.25,461.25,227,27.609375,0,0,0,0,0,0
0,0,0,0,0,0,50.40625,254.375,503.75,695,827.5,891.5,882,798.75,638,438.25,220.4375,25.8984375,0,0,0,0,0,0
0,0,0,0,0,0,58.609375,276.625,505.75,693.75,825,888.75,879,797.5,649.5,450,217.6875,25.4765625,0,0,0,0,0,0
0,0,0,0,0,0,57.703125,277.5,503.875,692,822,886,876.5,794.5,645,420,180.6875,22.1015625,0,0,0,0,0,0
0,0,0,0,0,0,49.75,248.6875,490.125,679.5,811.25,874.75,863.5,774,613.25,425.75,202.75,22.7890625,0,0,0,0,0,0
0,0,0,0,0,0,44.53125,230.625,459.625,649.75,783.75,859,859.75,774.25,624.75,428.875,202.4375,19.640625,0,0,0,0,0,0
0,0,0,0,0,0,44.453125,236.625,481.125,677.5,809.75,872.75,862.25,781.75,635.75,437.25,208.125,19.9921875,0,0,0,0,0,0
0,0,0,0,0,0,45.625,238.875,486.625,676,805.5,868,858,776.75,626.75,417.75,170.125,16.5234375,0,0,0,0,0,0
0,0,0,0,0,0,41.890625,229.9375,479.25,667.5,797.25,860.5,850.75,770,623,421.625,169.625,15.109375,0,0,0,0,0,0
0,0,0,0,0,0,38.90625,225.3125,459,649.25,778.25,841,830,752.25,609,415.25,192.5625,16.921875,0,0,0,0,0,0
0,0,0,0,0,0,39.703125,234.9375,468.25,653.75,783.75,846.25,837.5,757.5,613,417,191.8125,16,0,0,0,0,0,0
0,0,0,0,0,0,41.3125,246.9375,473.75,658,783.5,843,826.25,752.25,611.25,386.375,163.25,10.625,0,0,0,0,0,0
0,0,0,0,0,0,48.546875,257.875,480.75,666.25,796.25,859.25,849.75,768.5,622.5,425.625,199.8125,19.109375,0,0,0,0,0,0
0,0,0,0,0,0,43.921875,232.4375,481,667.25,794.75,853.75,843.25,766.25,615,416.875,186.625,19.09375,0,0,0,0,0,0
0,0,0,0,0,0,45.234375,254.5,488.75,673.25,803.5,869.5,865.75,785,639.25,441.25,212.125,22.328125,0,0,0,0,0,0
0,0,0,0,0,0,48.5,250.1875,504.375,696.25,828,891.25,881,798.25,649.75,448.5,216.125,23.171875,0,0,0,0,0,0
0,0,0,0,0,0,48.90625,257.25,506.625,695.5,826.75,891.25,881,798.5,650.25,448.5,215.5625,23.1484375,0,0,0,0,0,0
0,0,0,0,0,0,48.90625,251.8125,495.75,683.25,815,879.75,871.75,791.5,645.5,446.75,216.5,23.9453125,0,0,0,0,0,0
0,0,0,0,0,0,49.25,259.25,507.125,699,832.5,897.25,888,806,657.5,455.375,221.3125,24.953125,0,0,0,0,0,0
0,0,0,0,0,0,51.796875,269.75,508.25,697.75,823,873.75,843.5,747,573.25,362.625,127.0625,16.265625,0,0,0,0,0,0
0,0,0,0,0,0,51.140625,267.5,505.125,695,820.25,882,875.25,792.5,647,439.5,195.625,20.46875,0,0,0,0,0,0
0,0,0,0,0,0,47.953125,265.375,505.5,696.75,829.25,893,879.25,782.75,640,441.375,150.125,14.9453125,0,0,0,0,0,0
0,0,0,0,0,0,51.078125,264.125,503.5,692.75,824.25,886.5,874.25,784.25,621.75,386.375,152.1875,20.171875,0,0,0,0,0,0
0,0,0,0,0,0,51.234375,271.25,493.875,674.75,798.25,855,859.25,765.25,592.25,326.125,171,21.875,0,0,0,0,0,0
0,0,0,0,0,0,53.171875,266.875,502.625,692.5,823.5,881.75,867,775,622.75,432.25,204.625,21.3515625,0,0,0,0,0,0
0,0,0,0,0,0,49.53125,265,502.125,694.5,825.75,880.75,841.5,718.5,548.5,354.125,146.125,15.8125,0,0,0,0,0,0
0,0,0,0,0,0,57.265625,278.5,518,708.75,841.75,906.25,893.75,807,581,344.125,188.0625,22.65625,0,0,0,0,0,0
0,0,0,0,0,0,53.71875,265.25,507.375,699.75,833.25,896.75,887.5,804.25,651.75,442.75,212.125,26.78125,0,0,0,0,0,0
0,0,0,0,0,0,58.90625,269.375,508.375,705.25,846.75,914.75,907.5,826,677.25,474.25,238.5,32.703125,0,0,0,0,0,0
0,0,0,0,0,0.0003781,72.4375,298.875,532,728.5,867,933.5,918.25,810.75,647,457,233.5,35.421875,0,0,0,0,0,0
0,0,0,0,0,0.067474298,85.78125,294.25,563.5,783.5,903.5,844.25,726,669,598.25,497.875,284.125,54.125,0,0,0,0,0,0
0,0,0,0,0,0.087738,84.5625,340.625,567.25,745.75,855,868.5,817.75,764.5,686.75,517.5,282.875,53.390625,0,0,0,0,0,0
0,0,0,0,0,0.1772459,78.21875,283.875,508,724.5,815.75,778.75,912,902,749.5,421.625,122.5,30.265625,0,0,0,0,0,0
0,0,0,0,0,3.135742188,96.78125,300.375,512.25,696.25,839,921,932.75,780.25,695.75,503.25,211.5625,61.046875,0.0221786,0,0,0,0,0
0,0,0,0,0,2.260742188,99.21875,300.375,543,724.75,864.25,856.5,812,721.75,584,417,225.8125,65.21875,0.044906601,0,0,0,0,0
0,0,0,0,0,2.887695313,44.375,132.0625,265.5,480,728,955.25,1027,959.75,814.25,602.5,338.25,92.4375,0.979492128,0,0,0,0,0
0,0,0,0,0,8.12890625,91.0625,247.0625,426,602,803,901.5,970.5,883.25,766.5,531.5,290.25,116.4375,2.764648438,0,0,0,0,0
0,0,0,0,0,16.0703125,168.375,376.125,582.75,701.25,726.25,706,751.25,711.75,572,456,277.125,105.90625,3.381835938,0,0,0,0,0
0,0,0,0,0,10.24609375,107.4375,297,527.25,690.75,807.5,823.75,797.5,734.75,609.5,408.75,228.4375,93.90625,3.256835938,0,0,0,0,0
0,0,0,0,0,15.125,145.5625,318,452.5,561.25,688,787,827.75,851.5,752.75,550.5,303.25,106.59375,4.17578125,0,0,0,0,0
0,0,0,0,0,14.12109375,151,368,583,715,753.25,759.75,716.75,654.75,679.75,595.5,356.125,125.46875,3.689453125,0,0,0,0,0
0,0,0,0,0,0.805664003,65.125,168.4375,395.875,685,842,933.75,951.25,868,694.25,480.125,251.4375,53.125,0,0,0,0,0,0
0,0,0,0,0,0.455932587,46.4375,163,334.75,583,804.75,936.75,936.75,840.25,667,448.125,211.125,47.109375,0,0,0,0,0,0
0,0,0,0,0,0.169311494,37.0625,138.0625,263.75,429.5,663.75,876,984.5,910.5,746.25,514.75,255.1875,58.46875,0,0,0,0,0,0
0,0,0,0,0,0.0003104,59.171875,231,475,639.25,744.5,845.75,894,853.75,704,499,245.4375,43.015625,0,0,0,0,0,0
0,0,0,0,0,0,51.640625,305.25,533.25,726.25,853.5,908.25,887,797.25,638,438.125,194.1875,30.1171875,0,0,0,0,0,0
0,0,0,0,0,0,68.96875,280.625,500.125,684.25,833.5,926,903.25,831.75,688.75,474.5,230,33.5,0,0,0,0,0,0
0,0,0,0,0,0,60.0625,266.25,497.5,690,799.5,892.75,895.5,800.25,624.5,365.125,125.65625,15.91796875,0,0,0,0,0,0
0,0,0,0,0,0,40.140625,141.5,316.375,583.5,768.75,886.75,882.5,797.25,655.25,453.125,217.1875,28.4140625,0,0,0,0,0,0
0,0,0,0,0,0,45.8125,233.375,468.25,685.75,785.75,862.75,870.5,785,637.75,439,216.1875,27.8828125,0,0,0,0,0,0
0,0,0,0,0,0,48.796875,245.6875,490.625,698.75,837.75,890.25,851,716.25,519.25,309.5,145.5625,24.5859375,0,0,0,0,0,0
0,0,0,0,0,0,54.140625,248.5,496.75,676.25,800.75,863.5,849.75,756.5,625.25,455.375,223.375,26.6875,0,0,0,0,0,0
0,0,0,0,0,0,52.6875,247.6875,498.625,693.5,825.75,884.75,862.5,782.5,640.5,448.375,211.375,25.7421875,0,0,0,0,0,0
0,0,0,0,0,0,56,262.75,505.625,693.5,831.25,886,868.5,775.25,596.5,389.625,187.75,23.078125,0,0,0,0,0,0
0,0,0,0,0,0,51.265625,266.25,514.25,705,838.25,902.5,892.75,805.25,658,456.75,218.375,27.2421875,0,0,0,0,0,0
0,0,0,0,0,0,51.90625,243.875,490.25,683.75,798,829.25,828.25,750,600,400.25,148.3125,18.484375,0,0,0,0,0,0
0,0,0,0,0,0,47.046875,242.625,493.125,686.5,818.25,882,872.75,791.25,644.5,441.875,212.25,22.3203125,0,0,0,0,0,0
0,0,0,0,0,0,47.53125,241.4375,492.625,685,810,867.25,851.75,767.75,620.5,426.875,178.25,20.5625,0,0,0,0,0,0
0,0,0,0,0,0,45.453125,234.5625,477.75,664.25,795.25,851,839,757,615.5,389.5,174.25,17.9453125,0,0,0,0,0,0
0,0,0,0,0,0,44.28125,233.1875,448.375,666.5,790.25,853.5,840,758.25,602.5,404.625,171.0625,17.6484375,0,0,0,0,0,0
0,0,0,0,0,0,44.515625,235,494.125,687,822.25,888.25,878.5,794.75,644.5,441.625,209.1875,18.40625,0,0,0,0,0,0
0,0,0,0,0,0,39.890625,251.625,497.75,687.5,819,880.75,867.75,783.5,637,427,199.1875,13.6015625,0,0,0,0,0,0
0,0,0,0,0,0,39.515625,235.4375,493.25,684,815.25,877.5,866,782.25,634,434.25,196.1875,12.75390625,0,0,0,0,0,0
0,0,0,0,0,0,45.796875,253.6875,473.375,656.25,786.25,848.5,838.25,757.75,613.25,417.75,193.625,17.15625,0,0,0,0,0,0
0,0,0,0,0,0,34.671875,214.75,468.625,658.5,788.25,850.75,839.75,758.75,612.5,408.875,178.625,13.62890625,0,0,0,0,0,0
0,0,0,0,0,0,31.4140625,201.3125,457,656.5,790.5,857.25,851.25,771,625.25,428.625,201.9375,19.1875,0,0,0,0,0,0
0,0,0,0,0,0,40.953125,244.3125,486.875,676,808,872.25,863.5,782.75,636.25,436.625,205.75,19.8984375,0,0,0,0,0,0
0,0,0,0,0,0,41.921875,229.0625,484.125,672.75,805.75,868.25,858.75,776.75,629.75,431.125,203.25,18.8203125,0,0,0,0,0,0
0,0,0,0,0,0,41.6875,244.3125,482.75,672.25,803.25,870.25,862.25,782.25,636.5,437.625,208.1875,20.921875,0,0,0,0,0,0
0,0,0,0,0,0,44.375,266,501,692.25,823.5,884,870,784.5,635.5,435.5,189.4375,15.7734375,0,0,0,0,0,0
0,0,0,0,0,0,41.671875,231.25,431.75,635.25,768.25,852.75,864.5,785.75,639.75,440.625,210.5625,21.8125,0,0,0,0,0,0
0,0,0,0,0,0,46.65625,240.6875,492.25,682.5,812.25,879.25,868.75,786.75,640,440.875,211.4375,22.3203125,0,0,0,0,0,0
0,0,0,0,0,0,47.140625,264,495.25,690.5,823.75,888.25,878.25,795.75,647.75,446.875,215.1875,23.171875,0,0,0,0,0,0
0,0,0,0,0,0,44.828125,252.875,493.75,686.5,825,889.75,880.75,798.75,650.75,449.75,217.4375,23.90625,0,0,0,0,0,0
0,0,0,0,0,0,48.171875,253.5,499.125,688.5,826.5,893.25,884.5,802.5,654.25,452.375,219.1875,24.4296875,0,0,0,0,0,0
0,0,0,0,0,0,47.859375,241.25,499.25,686.5,828.5,893.75,885,802.25,654,452,220.0625,25.046875,0,0,0,0,0,0
0,0,0,0,0,0,47.5,241.1875,506.625,697.5,830,894.5,886,804,655,452.875,220.1875,25.2578125,0,0,0,0,0,0
0,0,0,0,0,0,53.015625,260.5,510.375,700.75,830.75,898,887.5,805.5,657,455.375,222.5,25.984375,0,0,0,0,0,0
0,0,0,0,0,0,51.84375,256.5,472.875,682.75,802.25,861,877,795.25,648.25,448.75,209.9375,21.359375,0,0,0,0,0,0
0,0,0,0,0,0,53.09375,251.8125,498.5,693.25,826.25,890.75,882.5,801,653.5,453.75,222.3125,22.90625,0,0,0,0,0,0
0,0,0,0,0,0,61.25,282.25,508.5,696.5,826.25,886.75,876.75,745.25,640.75,413.875,155.1875,17.703125,0,0,0,0,0,0
0,0,0,0,0,0,56.8125,267.25,501.5,691.75,823.75,887.75,874.5,783.5,621.5,430.875,189.625,20.765625,0,0,0,0,0,0
0,0,0,0,0,0,52.171875,250.875,493.25,685,819.75,886,875.5,793.25,646.5,441.375,213.625,20.515625,0,0,0,0,0,0
0,0,0,0,0,0,55.59375,275.375,506.125,694.75,827.75,892.25,882.75,800.75,653,439.625,194.3125,21.046875,0,0,0,0,0,0
0,0,0,0,0,0,58.796875,276.125,509.875,699.75,833.5,898.75,890,803.25,660.5,456,208.375,21.015625,0,0,0,0,0,0
0,0,0,0,0,0,54.03125,263.125,489.5,704.75,847,917.25,907.75,824.5,675.75,471.75,235.5625,31.703125,0,0,0,0,0,0
0,0,0,0,0,0,52.796875,226.375,442.75,684,864.25,924.25,923,835.75,687.25,481.5,243.4375,35.328125,0,0,0,0,0,0
0,0,0,0,0,0,67.15625,280.125,508.25,701.75,839.75,908.25,902.5,822.75,672.5,467.625,233.0625,34.484375,0,0,0,0,0,0
0,0,0,0,0,0.0032644,59.46875,234.8125,474.75,698.75,868.25,946,941.5,849.75,654.75,387.5,144.625,23.6484375,0,0,0,0,0,0
0,0,0,0,0,0.583740175,35.859375,143.9375,371,636,826,952.75,977.5,853.75,590.25,331.125,185.9375,39.046875,0,0,0,0,0,0
0,0,0,0,0,1.968261719,86.96875,269.125,505.375,739.25,784,858.5,884.25,818.25,666.25,463.375,220.6875,49.234375,0.0055999,0,0,0,0,0
0,0,0,0,0,2.482421875,88.3125,282.375,510,637,738.75,882.25,853,796,683,467.625,263,59.140625,0.032012802,0,0,0,0,0
0,0,0,0,0,3.686523438,120.78125,319.75,515.25,687.75,809.75,834.5,845.5,764.75,591.5,403.875,203.1875,59.78125,0.048232999,0,0,0,0,0
0,0,0,0,0,9.1171875,141.625,372.25,574.75,708.75,761.5,689.25,711,788,625.75,411.875,260.625,88.90625,1.142578125,0,0,0,0,0
0,0,0,0,0,16.921875,149.8125,319.875,513,763.75,830.75,772.5,736.25,758.75,736.25,611.5,386.625,153.3125,6.833984375,0,0,0,0,0
0,0,0,0,0,15.66796875,146.375,355.375,579.5,744.25,760.5,786.25,785.5,729.5,619.25,468.75,230.125,68.84375,2.606445313,0,0,0,0,0
0,0,0,0,0,12.203125,147.625,318.75,473,591.25,676.25,726,740.25,750.25,691.75,549.5,319.875,122.09375,2.395507813,0,0,0,0,0
0,0,0,0,0,1.73779285,59.921875,192.3125,350.75,566.5,817,902,941,863,713,454,270.375,79.34375,0.058807299,0,0,0,0,0
0,0,0,0,0,1.633788943,53.34375,159.625,315,573,834.5,996.75,1022.25,929.25,753.25,495.25,216.625,49.140625,0.0001208,0,0,0,0,0
0,0,0,0,0,1.490234256,79.125,255.4375,483.875,684.75,811.75,843.25,798,715.25,589.25,436.375,254.6875,64.21875,0,0,0,0,0,0
0,0,0,0,0,1.517089844,95.8125,307.875,546.75,773.5,847,843.75,750.5,725.75,625,447.5,207.875,45.359375,0,0,0,0,0,0
0,0,0,0,0,1.19091785,96.25,256,435.5,625.25,826.5,961,969.5,849.5,693.25,518,288.25,69.09375,0,0,0,0,0,0
0,0,0,0,0,0.073150598,54.6875,186.3125,374.875,609,804.75,940.25,966.75,886,706,488.125,227.8125,46.96875,0,0,0,0,0,0
