"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0,0,21.84375,176.875,379.75,565,757.25,967.75,1049,1030,949.5,786.5,570.5,338,124.5625,4.41796875,0,0,0,0,0
0,0,0,0,0,7.02734375,82.625,255.1875,478.75,732,933.5,1072,1067.5,967,810.75,615,326.625,136.625,5.419921875,0,0,0,0,0
0,0,0,0,0,12.46484375,117.09375,340,593.25,798,939.75,1000.75,1000,896,711.75,568.25,339.75,141.8125,5.859375,0,0,0,0,0
0,0,0,0,0,19.484375,183.4375,460.375,695.75,886.75,1016.75,1077.5,1054,957.25,817.25,611.25,351.375,119.9375,4.470703125,0,0,0,0,0
0,0,0,0,0,16.078125,143.375,359.625,599.5,795.5,973.5,1079.5,1055.5,935.5,757.5,539.5,282.25,91.125,3.221679688,0,0,0,0,0
0,0,0,0,0,18.8125,188.9375,466.5,705.25,897,1029.5,1088.5,1064.5,967.5,802.75,584.5,344.875,108.71875,2.520507813,0,0,0,0,0
0,0,0,0,0,9.1484375,114,308.125,472.25,647.25,869,1027,1063,971.75,818.75,567.75,380.125,133.4375,4.224609375,0,0,0,0,0
0,0,0,0,0,18.6171875,181.625,437.625,672.75,866.25,1008.25,1088,1077.5,986.5,835.5,631.75,351,142.5625,4.302734375,0,0,0,0,0
0,0,0,0,0,19.6875,198.8125,467.25,704.75,895.75,1009.75,1059,1037.5,961,814,613,381.875,140.3125,4.205078125,0,0,0,0,0
0,0,0,0,0,21.1875,214.625,471.875,710.75,906.5,1041.5,1101.5,1084,992.75,822.25,628.75,377.125,119.9375,3.869140625,0,0,0,0,0
0,0,0,0,0,17.1328125,185.375,426.25,700.5,893.5,1018.25,1067.5,1001.25,927.5,783,586.5,308.625,110.3125,2.942382813,0,0,0,0,0
0,0,0,0,0,16.6171875,183.375,450.5,684,879.25,1021,1066.5,1031.5,910,763.5,574.75,353.75,112.09375,2.780273438,0,0,0,0,0
0,0,0,0,0,15.88671875,179,437,677,873.75,990,979.5,899,827.5,707.75,551.75,321.25,100.4375,2.35546875,0,0,0,0,0
0,0,0,0,0,7.76953125,115,346.125,592.75,782.5,912.5,945.25,913.25,822.5,610.75,386.375,223.6875,68.0625,1.478515625,0,0,0,0,0
0,0,0,0,0,12.61328125,164,427.375,659,813,898.75,905,857.75,761.5,558,342.125,166.25,48.8125,1.059082031,0,0,0,0,0
0,0,0,0,0,11.7734375,157.625,386.625,592,777.75,899.75,958.75,940.5,743,654.25,459,219.6875,63.984375,1.498046756,0,0,0,0,0
0,0,0,0,0,9.203125,141.3125,390.875,656.75,865.25,987.25,1055.5,1049,964.25,804,601.25,341,116.28125,1.616210938,0,0,0,0,0
0,0,0,0,0,12.1640625,170.125,414.375,653,868.75,1006.25,1073,1068,980.25,827.5,627.75,371.5,126.0625,1.766113162,0,0,0,0,0
0,0,0,0,0,11.48046875,169.6875,434.25,684.25,879.5,993.75,1071,1042,918.5,778.5,563,321.75,93.59375,1.244140625,0,0,0,0,0
0,0,0,0,0,10.625,169,400.625,549.25,648.5,742.25,1044,1034.5,934,720,417.125,231.4375,66.65625,0.739013612,0,0,0,0,0
0,0,0,0,0,4.091796875,89.625,281.375,537.25,778,865,853.25,824.75,808.5,703.25,527,251.1875,79.875,0.892822206,0,0,0,0,0
0,0,0,0,0,10.49609375,168,433,676.5,858.75,1002.25,1078.5,1062.5,955,770.75,535.5,335.375,126.53125,1.244628906,0,0,0,0,0
0,0,0,0,0,9.6953125,161.25,408,676.25,888.25,1015.75,1075.5,1024.5,825.5,663.5,597.75,338.125,108.875,1.0390625,0,0,0,0,0
0,0,0,0,0,9.8125,175.375,420,599,766,804.75,741.25,732,875.25,804,594.25,349.75,112.3125,0.858154178,0,0,0,0,0
0,0,0,0,0,5.41796875,120.5,333.25,551.5,837.25,986,1041,1032.5,959.25,808.75,599.5,349.375,110.125,0.348022401,0,0,0,0,0
0,0,0,0,0,3.963867188,112.375,297.75,515,711.5,901,968,953.75,820.25,650.5,450.625,256.625,63.015625,0.144409105,0,0,0,0,0
0,0,0,0,0,4.126953125,101.0625,302.625,610.25,836.75,964.75,985.75,945.75,853.5,696.75,496.75,249.6875,71.125,0.182678193,0,0,0,0,0
0,0,0,0,0,2.197265625,73.8125,252.8125,543,800.75,984.75,1074,1079,992.25,829.25,606,314.5,78.96875,0.163085893,0,0,0,0,0
0,0,0,0,0,5.158203125,131.1875,397.875,650.75,866,1018.75,1088.5,1077.5,983,815.5,587.5,320.375,93.625,0.154662997,0,0,0,0,0
0,0,0,0,0,4.341796875,116.59375,361.75,579.75,749,923.5,1073,1067,978.25,798.75,562.75,318,99.84375,0.1237792,0,0,0,0,0
0,0,0,0,0,4.56640625,108.34375,306,599.25,853.5,981,1006.75,953.25,859.5,659.25,507.125,261.75,77.3125,0.0681457,0,0,0,0,0
0,0,0,0,0,4.22265625,136.875,409.875,660.25,852.25,973.5,1018,981.25,878.25,728.75,532,294.375,88.65625,0.064208902,0,0,0,0,0
0,0,0,0,0,4.271484375,139.9375,414.5,663,867.5,1008.5,1077.5,1062.5,973.25,806.75,594.5,337.75,102.1875,0.044143599,0,0,0,0,0
0,0,0,0,0,1.828613162,98.03125,348.375,623,839.25,990.75,1055.5,1023.25,920.25,749.5,503.75,236.9375,56.203125,0.006151,0,0,0,0,0
0,0,0,0,0,1.442870975,67.59375,290.75,545.5,767.25,930.5,934.5,863.25,741.75,638.75,487.125,256.625,78.5625,0.0044803,0,0,0,0,0
0,0,0,0,0,3.234375,134.0625,391.875,656.5,865.25,1005,1074,1064.5,966.5,778.5,535.5,255.625,67.9375,0.0016417,0,0,0,0,0
0,0,0,0,0,2.959960938,128.8125,414.125,670.75,884.75,1029,1097,1083,990.75,824.75,603.5,345.375,90.59375,0,0,0,0,0,0
0,0,0,0,0,2.928710938,132.3125,400.25,670,883.75,1024,1088,1071.5,978.75,815.25,592,330.5,88.71875,0,0,0,0,0,0
0,0,0,0,0,2.749023438,134,414.125,665,869.25,1005.75,1038.5,967.75,879.75,749.5,569,290.25,84.75,0,0,0,0,0,0
0,0,0,0,0,1.970214844,88.53125,326.125,628.75,800.5,946,1040,1021.25,935.25,776.5,563.25,310.75,75.8125,0,0,0,0,0,0
0,0,0,0,0,2.29296875,126.90625,395.875,654.25,860.75,1004.75,1074.5,1065,976.75,817,599.25,343.625,84.71875,0,0,0,0,0,0
0,0,0,0,0,2.19921875,131.875,398.375,658,863.5,1005.25,1073,1061.5,972.25,812,586.75,323.625,62.90625,0,0,0,0,0,0
0,0,0,0,0,1.966308475,128.375,381.75,641.75,843.75,985.5,1044,1030,952,795.25,580.75,331.875,69.9375,0,0,0,0,0,0
0,0,0,0,0,1.789550662,125.15625,373.625,643.5,848.25,988,1039,1003.5,925.75,773.5,570,292.125,78.625,0,0,0,0,0,0
0,0,0,0,0,1.619628906,124.75,378.125,630.25,841.5,981.5,1040.5,1023.25,946.25,790,571.25,325.875,81.4375,0,0,0,0,0,0
0,0,0,0,0,1.719238162,132.8125,390.25,647.25,849.5,991.25,1059.5,1049,960.25,801,584.5,330.875,79.71875,0,0,0,0,0,0
0,0,0,0,0,1.555175662,136.75,392.75,644.25,848.5,988,1055.5,1049.5,961.25,801.75,584.75,299.125,64.5,0,0,0,0,0,0
0,0,0,0,0,0.802001894,90.8125,361.875,625.25,831.75,974.5,1046,1040,956.25,799,583,329.875,79.46875,0,0,0,0,0,0
0,0,0,0,0,0.775634706,96.75,351.5,627,836.75,972.25,1037,1031,951,793.75,573,303.5,57.546875,0,0,0,0,0,0
0,0,0,0,0,0.769287109,99.59375,347.75,611.75,832.5,991,1054.5,1003.75,886,736.25,526.5,264,45.78125,0,0,0,0,0,0
0,0,0,0,0,0.587646425,88.625,332.375,613,833.5,976.25,1041,1032,946.5,783,554.25,279.75,48.140625,0,0,0,0,0,0
0,0,0,0,0,0.639160097,105.28125,359.25,637.5,841,981,1046,1031.5,936.25,719.25,450.875,206.6875,41.953125,0,0,0,0,0,0
0,0,0,0,0,0.341796786,60.90625,219.6875,430.375,612.75,796.25,954.25,999.25,936,772.25,557,300.375,64.65625,0,0,0,0,0,0
0,0,0,0,0,0.428222597,98.84375,361.375,617.75,823.75,965.75,1034,1023.25,935.5,771.75,561,274.375,55.84375,0,0,0,0,0,0
0,0,0,0,0,0.413574189,107.09375,382.125,628.75,834.5,978.25,1046,1034,944.25,783.25,565.5,312.25,68.09375,0,0,0,0,0,0
0,0,0,0,0,0.344238192,103.40625,358,622,827,969,1037,1026,937.75,778.25,562,309.25,65.46875,0,0,0,0,0,0
0,0,0,0,0,0.286132813,101.34375,375.375,626,831.75,975.5,1045.5,1034.5,945.25,785,567.25,312.75,66.9375,0,0,0,0,0,0
0,0,0,0,0,0.238281205,103.65625,352.875,617.75,821.75,964.75,1035,1022,928.5,765.75,550,300.625,63.40625,0,0,0,0,0,0
0,0,0,0,0,0.186767504,100.78125,334.75,598,797.25,924.75,959.25,924,845,698.5,499.125,217.125,47.296875,0,0,0,0,0,0
0,0,0,0,0,0.157470703,106.4375,361.125,604.5,805.75,930.25,991,963.75,881.75,696.5,411.25,280.5,55.71875,0,0,0,0,0,0
0,0,0,0,0,0.128112704,109.71875,359.125,601.5,801.75,928,991.75,951,872,711.75,504.125,207.8125,41.484375,0,0,0,0,0,0
0,0,0,0,0,0.039459199,96.21875,338.75,583.25,782.75,920.5,985,958.75,871,719.25,507.875,226.0625,36.90625,0,0,0,0,0,0
0,0,0,0,0,0.0148773,87.75,335.5,579.5,783.25,919.5,981.25,965.25,873,707.75,455.75,203.1875,31.5703125,0,0,0,0,0,0
0,0,0,0,0,0,75.1875,295.375,544.5,738.25,873,939,922.25,851.5,698.75,494.375,257.75,41.34375,0,0,0,0,0,0
0,0,0,0,0,0,64.59375,265.875,507.375,733.5,882,947.5,937.5,853.25,701.25,495.25,256.375,40.90625,0,0,0,0,0,0
0,0,0,0,0,0,65.34375,276.625,532,731.5,865.25,927.25,909.5,819.75,664.25,471.875,232,32.890625,0,0,0,0,0,0
0,0,0,0,0,0,63.421875,270.75,534.25,734,869.25,932.25,920.5,835.75,683.75,478.5,221.25,27.5703125,0,0,0,0,0,0
0,0,0,0,0,0,57.0625,276.375,530.5,726,862,927.5,917.5,833.25,681.5,475.375,237.25,31.0546875,0,0,0,0,0,0
0,0,0,0,0,0,67.09375,299.375,537.75,733.5,870.75,937.75,928.75,845.25,693.5,486.625,246.4375,34.734375,0,0,0,0,0,0
0,0,0,0,0,0,64.6875,287.125,539.75,734.5,871,937.5,928.25,844.5,693,486.625,247,35.328125,0,0,0,0,0,0
0,0,0,0,0,0,71.28125,306.75,540,734.25,870.5,937.25,928.5,845,693.25,486.75,247.5,35.953125,0,0,0,0,0,0
0,0,0,0,0,0,69.59375,306.75,541,735,871.75,939.25,931.75,850.25,700.5,494.25,253.125,37.609375,0,0,0,0,0,0
0,0,0,0,0,0,73.15625,315.375,557.5,757,897.25,966,958,872,717.5,506.5,261.125,39.796875,0,0,0,0,0,0
0,0,0,0,0,0,78.71875,319.25,557.75,755.5,894,961,951.5,865.75,711.5,502,258.75,39.796875,0,0,0,0,0,0
0,0,0,0,0,0,81.28125,320.125,555.5,750,886.75,952.75,942.75,858.75,707,499.75,257.75,39.875,0,0,0,0,0,0
0,0,0,0,0,0,66.75,282.375,526,738,885.5,954.25,943.25,856.5,700.5,487.875,243.5,34.46875,0,0,0,0,0,0
0,0,0,0,0,0,68.59375,280,527.75,735.5,874.25,942.5,934.25,851,699.5,493.625,246.875,35.78125,0,0,0,0,0,0
0,0,0,0,0,0,84.875,325.75,565.25,764.75,904.75,973.5,965,880.25,725.75,514.75,268.75,44.140625,0,0,0,0,0,0
0,0,0,0,0,0,73.75,317.75,567.5,767.5,906.75,975,966.75,882,727,515.75,269.75,44.734375,0,0,0,0,0,0
0,0,0,0,0,0,76.21875,321,570.25,769,908,975.75,967,882,727.25,516.5,270.625,45.5625,0,0,0,0,0,0
0,0,0,0,0,0,72.90625,321.75,563.25,760.25,898.25,965.75,956.5,871,716.5,506.125,262.375,43.359375,0,0,0,0,0,0
0,0,0,0,0,0.0003781,72.4375,298.875,532,728.5,867,933.5,918.25,810.75,647,457,233.5,35.421875,0,0,0,0,0,0
0,0,0,0,0,0.0015263,82.65625,317,554.75,754.25,894.5,963,954,868.75,714.25,504.125,261.25,43.921875,0,0,0,0,0,0
0,0,0,0,0,0.0028133,68.4375,292.375,542.5,740.75,877,944.75,937.25,854.5,679,454.5,205.625,22.890625,0,0,0,0,0,0
0,0,0,0,0,0.0033006,58.6875,267.75,539.25,744.75,884.75,952,943.5,844.25,649.5,410,175.5,31.375,0,0,0,0,0,0
0,0,0,0,0,0.005455,75.3125,301.125,540.5,751.25,890.75,957.5,947.5,862.5,709.75,500.625,260,39.140625,0,0,0,0,0,0
0,0,0,0,0,0.0119437,80.5625,290,558.75,757.25,902,983.75,974.75,889.5,735,524.5,273.75,47.765625,0,0,0,0,0,0
0,0,0,0,0,0.022636401,88.6875,339.5,584,786.75,929.5,997.5,987.75,901,744.5,532,285.375,54.1875,0,0,0,0,0,0
0,0,0,0,0,0.025428601,87.09375,340.5,583.75,785.25,926.75,996.25,988.75,903,747.25,533.25,283.25,53.453125,0,0,0,0,0,0
0,0,0,0,0,0.051345699,92.375,345.375,591.75,793.25,934,1002.25,992.5,905.5,749,535.5,287,55.15625,0,0,0,0,0,0
0,0,0,0,0,0.087738,84.5625,340.625,567.25,745.75,855,868.5,817.75,764.5,686.75,517.5,282.875,53.390625,0,0,0,0,0,0
0,0,0,0,0,0.130676195,92.46875,346.375,589.75,790.5,931,999.5,989.75,903.5,747.25,534.5,287.25,56.375,0,0,0,0,0,0
0,0,0,0,0,0.246459901,102.1875,340.25,563,764,929.5,1000.25,931,773.75,577.25,401.125,275.125,55.890625,0,0,0,0,0,0
0,0,0,0,0,0.268310487,104.5,350.375,593,792,931.5,998.25,960,841.5,678,410.375,116.21875,21.2265625,0,0,0,0,0,0
0,0,0,0,0,0.272583008,72.40625,253.1875,520.75,746.25,883.5,982.25,996.25,910.75,754.75,507.875,235.6875,29.515625,0,0,0,0,0,0
0,0,0,0,0,0.375488192,90.96875,291,498.25,778.25,946.25,1013.5,990,909.75,756,542.5,298.875,65.75,0,0,0,0,0,0
0,0,0,0,0,0.487670809,115.34375,363.25,603.75,804.5,945.25,1014.75,1004.75,919,763.25,551,303.875,64.28125,0,0,0,0,0,0
0,0,0,0,0,0.571777284,118.75,368.375,611.25,812.25,954,1023.25,1014.5,926.75,672.5,416.375,227.75,60.828125,0,0,0,0,0,0
0,0,0,0,0,0.600585878,86.625,317.875,584.25,798.25,939.5,1007,998,898.75,696,482.875,260.625,53.265625,0,0,0,0,0,0
0,0,0,0,0,0.587402284,96.6875,320.25,572,786,933.5,1002.75,992.5,902.5,743,531.25,286.25,44.84375,0,0,0,0,0,0
0,0,0,0,0,0.707275271,103.21875,343,586.5,795.25,940.25,934.75,902.5,856.25,697,480.75,191.125,42.765625,0,0,0,0,0,0
