   Avg_Silhouette_Value
 [1,]           0.00000000
 [2,]           0.44492818 esse
 [3,]           0.37111587
 [4,]           0.25591014
 [5,]           0.24463502
 [6,]           0.23768369
 [7,]           0.17303462
 [8,]           0.17388186
 [9,]           0.15244615
[10,]           0.11402086
[11,]           0.12717440
[12,]           0.09368336

     CH_Value
 [1,]  0.00000
 [2,] 22.47492
 [3,] 23.15694 esse
 [4,] 18.83320
 [5,] 16.54348
 [6,] 16.11488
 [7,] 13.70548
 [8,] 15.84497
 [9,] 14.46858
[10,] 13.46836
[11,] 16.45255
[12,] 16.60077

      DB_Value
 [1,] 0.0000000
 [2,] 1.0065141
 [3,] 1.1125261
 [4,] 1.3485078
 [5,] 1.0716182
 [6,] 1.3858752
 [7,] 1.1317740
 [8,] 1.0572291
 [9,] 0.8943266
[10,] 0.7165029
[11,] 0.6640382
[12,] 0.6289419 esse
