"","x"
"1",4
"2",4
"3",4
"4",4
"5",12
"6",11
"7",11
"8",2
"9",12
"10",12
"11",6
"12",2
"13",3
"14",4
"15",7
"16",6
"17",12
"18",11
"19",12
"20",12
"21",12
"22",12
"23",8
"24",12
"25",12
"26",10
"27",11
"28",10
"29",10
"30",11
"31",10
"32",10
"33",8
"34",4
"35",3
"36",12
"37",12
"38",12
"39",11
"40",9
"41",12
"42",12
"43",11
"44",9
"45",4
"46",7
"47",4
"48",1
"49",9
"50",3
"51",12
"52",9
"53",11
"54",12
"55",12
"56",12
"57",11
"58",12
"59",12
"60",6
"61",12
"62",9
"63",12
"64",12
"65",12
"66",12
"67",12
"68",12
"69",12
"70",12
"71",12
"72",12
"73",12
"74",12
"75",6
"76",12
"77",12
"78",12
"79",12
"80",12
"81",9
"82",12
"83",12
"84",12
"85",12
"86",12
"87",11
"88",11
"89",11
"90",10
"91",1
"92",11
"93",9
"94",11
"95",9
"96",10
"97",9
"98",9
"99",9
"100",7
"101",9
"102",9
"103",9
"104",9
"105",9
"106",10
"107",9
"108",9
"109",9
"110",9
"111",9
"112",9
"113",9
"114",9
"115",9
"116",9
"117",9
"118",9
"119",9
"120",5
"121",9
"122",9
"123",9
"124",9
"125",9
"126",2
"127",9
"128",9
"129",9
"130",9
"131",9
"132",9
"133",9
"134",9
"135",9
"136",9
"137",9
"138",5
"139",9
"140",5
"141",9
"142",9
"143",9
"144",5
"145",9
"146",9
"147",9
"148",9
"149",9
"150",2
"151",9
"152",9
"153",1
"154",4
"155",7
"156",9
"157",9
"158",9
"159",9
"160",9
"161",9
"162",9
"163",9
"164",9
"165",9
"166",9
"167",9
"168",9
"169",5
"170",5
"171",4
"172",2
"173",2
"174",5
"175",2
"176",3
"177",2
"178",2
"179",3
"180",9
"181",9
"182",9
"183",9
"184",9
"185",9
"186",9
"187",9
"188",9
"189",9
"190",9
"191",9
"192",9
"193",9
"194",9
"195",9
"196",9
"197",9
"198",9
"199",9
"200",9
"201",9
"202",9
"203",9
"204",9
"205",9
"206",9
"207",9
"208",9
"209",9
"210",9
"211",9
"212",9
"213",9
"214",9
"215",9
"216",9
"217",9
"218",9
"219",9
"220",9
"221",9
"222",9
"223",9
"224",9
"225",9
"226",9
"227",9
"228",2
"229",9
"230",9
"231",9
"232",9
"233",9
"234",9
"235",9
"236",9
"237",11
"238",11
"239",11
"240",9
"241",9
"242",11
"243",11
"244",11
"245",11
"246",9
"247",11
"248",9
"249",9
"250",11
"251",11
"252",11
"253",11
"254",11
"255",10
"256",9
"257",11
"258",9
"259",11
"260",11
"261",11
"262",11
"263",11
"264",11
"265",11
"266",11
"267",11
"268",9
"269",9
"270",11
"271",9
"272",3
"273",11
"274",12
"275",12
"276",12
"277",12
"278",12
"279",11
"280",9
"281",12
"282",12
"283",12
"284",11
"285",9
"286",2
"287",9
"288",9
"289",12
"290",12
"291",12
"292",12
"293",12
"294",12
"295",12
"296",12
"297",12
"298",12
