"","x"
"1",40
"2",44
"3",49
"4",52
"5",62
"6",81
"7",93
"8",95
"9",97
"10",98
"11",99
"12",101
"13",102
"14",103
"15",104
"16",105
"17",107
"18",108
"19",109
"20",110
"21",111
"22",112
"23",113
"24",114
"25",115
"26",116
"27",117
"28",118
"29",119
"30",121
"31",122
"32",123
"33",124
"34",125
"35",127
"36",128
"37",129
"38",130
"39",131
"40",132
"41",133
"42",134
"43",135
"44",136
"45",137
"46",139
"47",141
"48",142
"49",143
"50",145
"51",146
"52",147
"53",148
"54",149
"55",151
"56",152
"57",156
"58",157
"59",158
"60",159
"61",160
"62",161
"63",162
"64",163
"65",164
"66",165
"67",166
"68",167
"69",168
"70",180
"71",181
"72",182
"73",183
"74",184
"75",185
"76",186
"77",187
"78",188
"79",189
"80",190
"81",191
"82",192
"83",193
"84",194
"85",195
"86",196
"87",197
"88",198
"89",199
"90",200
"91",201
"92",202
"93",203
"94",204
"95",205
"96",206
"97",207
"98",208
"99",209
"100",210
"101",211
"102",212
"103",213
"104",214
"105",215
"106",216
"107",217
"108",218
"109",219
"110",220
"111",221
"112",222
"113",223
"114",224
"115",225
"116",226
"117",227
"118",229
"119",230
"120",231
"121",232
"122",233
"123",234
"124",235
"125",236
"126",240
"127",241
"128",246
"129",248
"130",249
"131",256
"132",258
"133",268
"134",269
"135",271
"136",280
"137",285
"138",287
"139",288
"140",307
"141",318
"142",325
"143",331
"144",341
"145",347
"146",368
"147",378
"148",386
"149",441
"150",443
"151",452
"152",459
"153",460
"154",464
"155",466
"156",467
"157",469
"158",470
"159",472
"160",473
"161",474
"162",476
"163",477
"164",478
"165",479
"166",480
"167",481
"168",482
"169",483
"170",484
"171",485
"172",486
"173",487
"174",488
"175",491
"176",492
"177",493
"178",494
"179",495
"180",496
"181",497
"182",498
"183",499
"184",500
"185",501
"186",502
"187",503
"188",505
"189",506
"190",507
"191",508
"192",510
"193",511
"194",513
"195",515
"196",516
"197",517
"198",518
"199",521
"200",526
"201",527
"202",529
"203",530
"204",531
"205",532
"206",533
"207",534
"208",535
"209",536
"210",537
"211",538
"212",539
"213",540
"214",544
"215",545
"216",546
"217",547
"218",548
"219",549
"220",550
"221",551
"222",552
"223",553
"224",555
"225",556
"226",557
"227",558
"228",559
"229",560
"230",561
"231",562
"232",563
"233",565
"234",566
"235",567
"236",568
"237",569
"238",570
"239",571
"240",572
"241",574
"242",576
"243",577
"244",578
"245",579
"246",580
"247",581
"248",582
"249",583
"250",584
"251",585
"252",586
"253",587
"254",588
"255",589
"256",590
"257",591
"258",592
"259",593
"260",594
"261",595
"262",596
"263",597
"264",598
"265",599
"266",600
