"January","February","March","April","May","June","July","August","September","October","November","December"
111,93,104,78,42,35,8,5,10,60,137,128
75,62,75,59,85,58,33,12,27,49,91,95
106,91,106,131,80,21,26,88,95,153,134,105
109,73,108,79,127,107,65,22,28,67,124,113
58,55,148,428,10,0,0,551,231,52,45,61
55,66,65,112,507,1007,785,73,35,47,71,73
62,44,70,234,420,2,354,503,47,35,58,67
333,286,82,0,0,0,0,0,13,335,280,318
176,158,157,34,0,0,0,7,83,191,160,151
186,220,356,75,0,0,0,10,661,282,130,160
