"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0,0,8.54296875,88.6875,217.3125,410.125,616.75,800.5,852.5,758,614,416.75,262.25,125.625,28.84375,0.361450106,0,0,0,0,0
0,0,0,0,0,13.265625,135,362.75,563.5,706.5,753.25,769.5,733.5,626.5,497.625,353.5,207.75,73.25,1.174804568,0,0,0,0,0
0,0,0,0,0,7.126953125,102.125,267.625,446.5,589.5,773,872.75,836.75,661.75,400.75,238.8125,104.53125,24.96875,0.114990197,0,0,0,0,0
0,0,0,0,0,3.48046875,96.78125,343.625,600.5,747.25,828.75,894.25,845.5,690.5,463.625,244.875,123.65625,36.140625,0.0124473,0,0,0,0,0
0,0,0,0,0,4.40625,89,286.75,613.5,867,969.5,909.75,762,602,347.25,157.25,70.28125,19.4921875,0.0019216,0,0,0,0,0
0,0,0,0,0,4.32421875,149.25,420.125,644.5,830,984,1009.25,829.75,524.25,300.875,214.1875,153.4375,47.203125,0,0,0,0,0,0
0,0,0,0,0,3.134765625,134.5,391.25,651.5,850.5,930,820.75,652,562.75,419.625,256.125,123.21875,33.1875,0,0,0,0,0,0
0,0,0,0,0,0.393188387,90.5,296.125,514.5,702.25,851.75,841,836.75,703.25,496.25,362.75,186.6875,28.796875,0,0,0,0,0,0
0,0,0,0,0,0.122650102,77,271.25,507.5,742.5,888.25,890,803.25,651,463.5,263.5,146.5,23.015625,0,0,0,0,0,0
0,0,0,0,0,0,77.75,310,527,699.5,819.75,894,847.25,680.25,484.625,268.375,113.59375,16.6015625,0,0,0,0,0,0
0,0,0,0,0,0,81.65625,321.625,559,734.5,869,939,863,595.75,285.125,187.5625,87.625,10.73046875,0,0,0,0,0,0
0,0,0,0,0,0,58.09375,274.625,492.875,672.75,783,813.25,755,601.5,404.625,264.5,127.78125,11.9453125,0,0,0,0,0,0
0,0,0,0,0,0,81.9375,315.5,552.75,756,890,943.5,907.25,774,533.75,316.25,134.0625,19.4921875,0,0,0,0,0,0
0,0,0,0,0,1.165038943,103.1875,330.75,600.5,820.25,958.75,1023.75,959.25,696,359.625,249.8125,132.1875,24.28125,0,0,0,0,0,0
0,0,0,0,0,1.609375,128.375,374.5,615.75,811,898.5,938.5,857.25,642.25,465.875,296.875,143.6875,25.7578125,0,0,0,0,0,0
0,0,0,0,0,2.389648438,87.1875,247.375,441.875,689.75,925.75,1055,1015.75,742.75,415.5,256,136.8125,34.171875,0,0,0,0,0,0
0,0,0,0,0,3.171875,115.375,324.125,544.25,716,823.5,847.75,767.25,639.75,513,360,145.625,28.953125,0,0,0,0,0,0
0,0,0,0,0,4.3203125,143.9375,400.875,647,847.25,987.25,1005,768.25,588.25,409.5,253.3125,121.3125,26.375,0,0,0,0,0,0
0,0,0,0,0,2.796875,98.28125,258.625,446.875,680.75,868.5,848.25,776.75,634,386.25,209.125,104.5,23.9765625,0,0,0,0,0,0
0,0,0,0,0,7.83203125,123.3125,269.375,432.75,673.5,910.75,1014.25,861.5,684.5,424.625,255.25,121.4375,25.515625,0.042114198,0,0,0,0,0
0,0,0,0,0,9.265625,120,271.875,419.625,627,816.75,785.75,826.25,697.25,435.75,277.25,134.125,35.828125,0.167236298,0,0,0,0,0
0,0,0,0,0,13.8515625,162.75,393.125,608.25,758.25,805.75,767,664.25,531.25,383.75,296.5,214.25,73.625,0.880126894,0,0,0,0,0
0,0,0,0,0,12.58984375,157.6875,378.875,587.5,820.75,893.75,900,780.5,686.75,528.25,336,194.25,60.328125,0.700927675,0,0,0,0,0
0,0,0,0,0,15.7890625,158,328.75,561.5,778.75,871.75,850.75,723,572,407.75,298,162.625,49.609375,0.691162109,0,0,0,0,0
0,0,0,0,0,11.69140625,136.9375,370.875,605,784.5,892.75,914.75,828.5,680.75,421,317.75,194.6875,70.59375,1.09765625,0,0,0,0,0
0,0,0,0,0,13.30859375,165.3125,422.5,659,831.75,943.75,975,801.75,533,395.625,290.25,184,83.125,0.905273378,0,0,0,0,0
0,0,0,0,0,10.6953125,179.375,439.125,691.75,876,1017,932.5,675.75,628.5,495.125,358.875,189.5625,50.890625,0.083374001,0,0,0,0,0
0,0,0,0,0,5.322265625,141.6875,365.875,621.75,842.25,938,745.75,642.75,554.25,465.375,352.625,201.3125,51.28125,0,0,0,0,0,0
0,0,0,0,0,3.9296875,116.8125,318.875,533.25,732.25,891.25,940.5,850.5,668,542.25,395.5,236,57.3125,0,0,0,0,0,0
0,0,0,0,0,1.389160156,74.75,243.25,439.25,632.5,784.25,839.75,813.25,608.25,423.375,250.6875,110.125,22.8828125,0,0,0,0,0,0
0,0,0,0,0,0.282104403,92.25,307.75,558,759.25,886.5,922.25,839.25,623.25,398.375,255.8125,143.625,29.796875,0,0,0,0,0,0
0,0,0,0,0,0.265625,108.625,353.25,600.5,759.75,793.75,823.25,774.75,656.5,471.375,293.125,146.25,24.734375,0,0,0,0,0,0
0,0,0,0,0,0.0068988,88.34375,316.75,568.25,758,877.75,918.25,868.75,735,548.5,328.375,139,17.7734375,0,0,0,0,0,0
0,0,0,0,0,0,71.3125,311.125,537,708.25,785.75,762.25,732.75,616.75,542,333.625,143.5625,15.953125,0,0,0,0,0,0
0,0,0,0,0,0,59.40625,275.375,496.625,677.5,800.5,838.5,806.75,715.5,433.625,321.125,152.125,16.5859375,0,0,0,0,0,0
0,0,0,0,0,0,83.25,313.75,544.5,735.25,851.25,865.75,794.75,617,386.625,233.625,105.96875,13.87109375,0,0,0,0,0,0
0,0,0,0,0,2.491210938,125.03125,358.125,599.25,805.75,953.75,1005.75,859.25,640.25,440.5,238.5625,99.6875,23.140625,0,0,0,0,0,0
0,0,0,0,0,3.116210938,117,323,532,714,862.75,943.5,864,665.5,419.625,242.1875,112.9375,25.1953125,0,0,0,0,0,0
0,0,0,0,0,6.150390625,153.375,402.125,643.25,840.75,963.75,1003.5,907.25,708.25,385.125,239.875,115.53125,26.625,0.0009288,0,0,0,0,0
0,0,0,0,0,7.90234375,158.6875,390.75,615,821,964.25,1015.5,832.25,653,413.375,243.625,123.53125,30.8828125,0.017799299,0,0,0,0,0
0,0,0,0,0,7.650390625,138.4375,339.75,534.25,794.5,938.5,937.25,826.75,639.25,560.75,379,172.5,44.203125,0.123351999,0,0,0,0,0
0,0,0,0,0,8.9140625,133.5,319,498.25,715,909.5,977,882.25,716.25,476.75,243.9375,98.09375,23.8671875,0.065307498,0,0,0,0,0
0,0,0,0,0,6.70703125,91.3125,220.6875,452.5,670.5,800.5,849.25,783.75,577.75,302.75,158.0625,72.8125,17.6171875,0.051773001,0,0,0,0,0
0,0,0,0,0,8.27734375,112.8125,332.5,591.5,778.5,871.75,878,828.25,738,562.5,330.375,140.75,30.734375,0.145385698,0,0,0,0,0
0,0,0,0,0,12.3671875,158,332.125,534.5,788.5,952.75,942.75,819.5,690.25,537.75,329.75,208.5,75.21875,1.043945313,0,0,0,0,0
0,0,0,0,0,16.8828125,199.625,454.5,672,820.75,878,790.5,738.5,672.25,497.125,407.375,223.6875,67.5,0.82421869,0,0,0,0,0
0,0,0,0,0,8.46484375,110.875,307.75,541.5,705,825,886,824,653.75,480.75,302.125,153.0625,39.171875,0.555664003,0,0,0,0,0
0,0,0,0,0,4.24609375,144.5,397.75,620,784,822.25,718.5,624.5,638.5,551.75,350.5,165.4375,40.015625,0,0,0,0,0,0
0,0,0,0,0,0.749511719,89.65625,299.75,494.625,693.25,812.75,846.25,813.25,718.75,521.5,311.625,136.25,24.328125,0,0,0,0,0,0
0,0,0,0,0,0.134460405,68.84375,229,410.25,678.5,799.5,849.5,817.5,617.75,387.375,233.6875,112,18.3125,0,0,0,0,0,0
0,0,0,0,0,0.085266098,63.34375,241.5,459.125,660.5,812.75,956.25,945.25,776.75,485,175.5625,61.078125,9.1875,0,0,0,0,0,0
0,0,0,0,0,0,74.84375,307.25,535.25,716.5,840.75,848.75,806.5,750,514.25,252.4375,110.0625,18.4765625,0,0,0,0,0,0
0,0,0,0,0,0,64.09375,280.875,507.375,698.25,812.5,842.5,756.5,549,421.5,246.375,121.6875,15.82421875,0,0,0,0,0,0
0,0,0,0,0,0,43.453125,248.5625,461.875,641.25,773,827.25,778.25,618.25,450.375,284.75,130.875,12.32421875,0,0,0,0,0,0
0,0,0,0,0,0,48.65625,191.25,375.125,621.25,784.25,864.25,851.75,695.5,356.25,215.625,80.28125,7.451171875,0,0,0,0,0,0
0,0,0,0,0,0,66.78125,285.875,509.375,695.25,821.75,871.5,777.25,664.75,376.5,239.0625,106.4375,11.44140625,0,0,0,0,0,0
0,0,0,0,0,0,59.734375,275.25,513,718.75,859.25,921,884.75,723,517.25,324.125,153.875,18.921875,0,0,0,0,0,0
0,0,0,0,0,0,67.875,313.25,544,735.5,869,931.5,887.25,697.25,484.75,241.875,108.21875,11.8984375,0,0,0,0,0,0
