"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0,0,4.7890625,51.109375,125.03125,232.375,405.875,579.5,623,486,355.625,264.875,196.875,142,51.53125,0.922607422,0,0,0,0,0
0,0,0,0,0,6.2734375,61.8125,151.1875,263.625,367.75,482.25,574.25,614.75,541.75,425.25,292.75,154.125,44.171875,0.603271425,0,0,0,0,0
0,0,0,0,0,11.8515625,133.75,308.25,441.375,524.75,622.25,623,591.75,458.125,307.75,198.625,100.1875,32.671875,0.551269472,0,0,0,0,0
0,0,0,0,0,16.8125,179.875,350.875,471.625,587,683.75,660.5,568,456.125,314.125,183.375,97.4375,30.359375,0.4372558,0,0,0,0,0
0,0,0,0,0,4.44140625,52.78125,147.4375,334.375,528.5,656.75,724.5,692,596.25,448.125,335.875,207.5625,64.21875,0.761962771,0,0,0,0,0
0,0,0,0,0,4.228515625,63.59375,161.1875,276.625,355.75,379.125,384.25,390,417.375,441,324.5,194.375,49.640625,0.160949707,0,0,0,0,0
0,0,0,0,0,3.123046875,49.890625,144.375,257.5,370.75,500.375,641.75,724.5,721.5,626,394.25,171.5625,39.734375,0.136291504,0,0,0,0,0
0,0,0,0,0,6.05859375,93.09375,222.5,314.125,366.875,443.625,573.75,661.5,643,473.25,270.25,118.15625,30.34375,0.116638102,0,0,0,0,0
0,0,0,0,0,3.403320313,81.3125,247.8125,423.75,569.75,669.25,610.5,486.75,324,219.1875,154.9375,89.5,25.4140625,0.055618201,0,0,0,0,0
0,0,0,0,0,2.72265625,48.328125,129.125,204.6875,255.5625,314.625,371,422.5,423.125,366,281.5,172.4375,46.6875,0.1081848,0,0,0,0,0
0,0,0,0,0,2.00390625,28.953125,78.03125,136.8125,220.4375,334.5,450.75,544,562,396.375,210.5,98.75,28.0625,0.051025301,0,0,0,0,0
0,0,0,0,0,3.801757813,67.53125,107.78125,184.5625,276.375,429.125,432.125,391.875,336.5,253.5625,169.8125,89.75,25.8203125,0.0417022,0,0,0,0,0
0,0,0,0,0,7.900390625,159.25,418.125,593.25,541.5,555.5,648.25,641,492.125,358.25,240.4375,137.375,36.703125,0.0147094,0,0,0,0,0
0,0,0,0,0,2.477539063,43.59375,121.375,235.125,398.25,566.5,668,651.5,558,443.25,274.875,132.75,31.59375,0.0065364,0,0,0,0,0
