"January","February","March","April","May","June","July","August","September","October","November","December"
35,35,32,32,31,14,12,5,11,19,56,51
47,38,50,41,81,64,32,14,22,25,50,52
36,33,38,25,24,15,6,1,8,33,37,43
55,37,56,47,24,14,5,4,6,38,74,65
120,109,174,582,889,920,1090,952,140,87,110,133
44,31,47,89,147,159,110,45,21,31,50,37
57,27,53,20,30,22,9,7,10,43,76,63
59,61,56,34,30,22,7,2,6,22,63,68
92,87,105,77,7,0,0,40,96,148,104,76
69,52,41,36,8,0,0,19,36,72,78,71
137,141,151,20,0,0,0,0,64,156,128,125
520,497,468,227,0,0,0,182,810,597,404,487
