"","x"
"1",8
"2",9
"3",15
"4",32
"5",91
"6",107
"7",120
"8",155
"9",177
"10",224
"11",234
"12",309
"13",319
"14",320
"15",344
"16",407
"17",426
"18",454
"19",642
"20",683
"21",697
"22",723
"23",728
"24",755
"25",880
"26",990
"27",995
"28",996
"29",1009
"30",1017
"31",1095
"32",1130
"33",1224
"34",1246
"35",1400
"36",1401
"37",1410
"38",1412
"39",1421
"40",1423
"41",1429
"42",1437
"43",1504
"44",1516
"45",1586
"46",1593
"47",1670
"48",1720
"49",1760
"50",1776
"51",1837
"52",1843
"53",1898
"54",1958
"55",2105
"56",2130
"57",2155
"58",2160
"59",2162
"60",2165
"61",2183
"62",2189
"63",2283
"64",2310
"65",2351
"66",2362
"67",2539
"68",2597
"69",2604
"70",2639
"71",2649
"72",2652
"73",2676
"74",2840
"75",2863
"76",2878
"77",2879
"78",2899
"79",2930
"80",2970
"81",2975
"82",3021
"83",3068
"84",3227
"85",3244
"86",3261
"87",3315
"88",3374
"89",3401
"90",3421
"91",3475
"92",3569
"93",3583
"94",3598
"95",3627
"96",3696
"97",3697
"98",3704
"99",3786
"100",3828
"101",3959
"102",3980
"103",3986
"104",4155
"105",4179
"106",4208
"107",4334
"108",4343
"109",4352
"110",4369
"111",4387
"112",4415
"113",4434
"114",4476
"115",4687
"116",4756
"117",4759
"118",4764
"119",4790
"120",4791
"121",4801
"122",4819
"123",4846
"124",5007
"125",5097
"126",5112
"127",5140
"128",5149
"129",5171
"130",5224
"131",5233
"132",5410
"133",5446
"134",5459
"135",5460
"136",5466
"137",5467
"138",5471
"139",5548
"140",5552
"141",5562
"142",5576
"143",5584
"144",5602
"145",5607
"146",5724
"147",5760
"148",5778
"149",5782
"150",5910
"151",5947
"152",5965
"153",6126
"154",6148
"155",6151
"156",6173
"157",6196
"158",6201
"159",6229
"160",6303
"161",6307
"162",6326
"163",6392
"164",6482
"165",6508
"166",6535
"167",6536
"168",6615
"169",6773
"170",6787
"171",6920
"172",6969
"173",6990
"174",7071
"175",7246
"176",7264
"177",7273
"178",7291
"179",7309
"180",7336
"181",7499
"182",7620
"183",7656
"184",7686
"185",7716
"186",7728
"187",7774
"188",7781
"189",7817
"190",7820
"191",7889
"192",7926
"193",7977
"194",8005
"195",8101
"196",8108
"197",8228
"198",8277
"199",8301
"200",8342
"201",8378
"202",8449
"203",8458
"204",8491
"205",8543
"206",8714
"207",8784
"208",8794
"209",8798
"210",8824
"211",8866
"212",8868
"213",8877
"214",8878
"215",8930
"216",8956
"217",9039
"218",9089
"219",9108
"220",9116
"221",9174
"222",9215
"223",9232
"224",9276
"225",9354
"226",9440
"227",9474
"228",9527
"229",9534
"230",9615
"231",9853
"232",9903
"233",9933
"234",9934
"235",10186
"236",10223
"237",10284
"238",10294
"239",10310
"240",10312
"241",10313
"242",10539
"243",10554
"244",10580
"245",10706
"246",10726
"247",10834
"248",10964
"249",11233
"250",11283
"251",11295
"252",11296
"253",11303
"254",11308
"255",11328
"256",11329
"257",11436
"258",11440
"259",11522
"260",11636
"261",11645
"262",11652
"263",11658
"264",11684
"265",11685
"266",11690
"267",11699
"268",11701
"269",11758
"270",11830
"271",12051
"272",12104
"273",12116
"274",12156
"275",12174
"276",12244
"277",12325
"278",12397
"279",12402
"280",12404
"281",12428
"282",12470
"283",12472
"284",12479
"285",12487
"286",12570
"287",12581
"288",12723
"289",12746
"290",12762
"291",12885
"292",12910
"293",12937
"294",12949
"295",13092
"296",13168
"297",13229
"298",13284
"299",13474
"300",13487
"301",13542
"302",13555
"303",13589
"304",13599
"305",13661
"306",13850
"307",13865
"308",13897
"309",13947
"310",14017
"311",14177
"312",14183
"313",14186
"314",14201
"315",14245
"316",14327
"317",14343
"318",14480
"319",14565
"320",14605
"321",14625
"322",14628
"323",14647
"324",14659
"325",14680
"326",14727
"327",14740
"328",14800
"329",14808
"330",14902
"331",14903
"332",14926
"333",14932
