     Avg_Silhouette_Value
 [1,]           0.00000000
 [2,]           0.44475576
 [3,]           0.36814489
 [4,]           0.30551555
 [5,]           0.27157807
 [6,]           0.18607525
 [7,]           0.21210158
 [8,]           0.17042522
 [9,]           0.16135557
[10,]           0.17384923
[11,]           0.13466275
[12,]           0.07380526

    CH_Value
 [1,]  0.00000
 [2,] 22.47198
 [3,] 22.06111
 [4,] 20.06163
 [5,] 16.13056
 [6,] 13.43583
 [7,] 15.05326
 [8,] 13.39885
 [9,] 15.84184
[10,] 18.92117
[11,] 18.60779
[12,] 17.12115

      DB_Value
 [1,] 0.0000000
 [2,] 1.0429413
 [3,] 1.0807970
 [4,] 1.2761763
 [5,] 1.2186831
 [6,] 1.0150068
 [7,] 0.9478931
 [8,] 0.9285424
 [9,] 0.8256377
[10,] 0.7718866
[11,] 0.6486926
[12,] 0.4918056 esse
